model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
ai21_j1-grande,0.0,0.7843137254901961,,0.7843137254901961,50,hellaswag
ai21_j1-grande-v2-beta,0.0,0.8627450980392157,,0.8627450980392157,50,hellaswag
ai21_j1-jumbo,0.0,0.8823529411764706,,0.8823529411764706,50,hellaswag
ai21_j1-large,0.0,0.5882352941176471,,0.5882352941176471,50,hellaswag
anthropic_stanford-online-all-v4-s3,0.0,0.9607843137254902,,0.9607843137254902,50,hellaswag
cohere_command-medium-beta,0.0,0.8235294117647058,,0.8235294117647058,50,hellaswag
cohere_command-xlarge-beta,0.0,1.0,,1.0,50,hellaswag
cohere_large-20220720,0.0,0.7254901960784313,,0.7254901960784313,50,hellaswag
cohere_medium-20220720,0.0,0.5294117647058824,,0.5294117647058824,50,hellaswag
cohere_medium-20221108,0.0,0.6078431372549019,,0.6078431372549019,50,hellaswag
cohere_small-20220720,0.0,0.0,,0.0,50,hellaswag
cohere_xlarge-20220609,0.0,1.0,,1.0,50,hellaswag
cohere_xlarge-20221108,0.0,1.0,,1.0,50,hellaswag
microsoft_TNLGv2_530B,0.0,0.9607843137254902,,0.9607843137254902,50,hellaswag
microsoft_TNLGv2_7B,0.0,0.49019607843137253,,0.49019607843137253,50,hellaswag
openai_ada,0.0,0.0,,0.0,50,hellaswag
openai_babbage,0.0,0.0,,0.0,50,hellaswag
openai_curie,0.0,0.27450980392156865,,0.27450980392156865,50,hellaswag
openai_davinci,0.0,0.8627450980392157,,0.8627450980392157,50,hellaswag
openai_text-ada-001,0.0,0.0196078431372549,,0.0196078431372549,50,hellaswag
openai_text-babbage-001,0.0,0.0196078431372549,,0.0196078431372549,50,hellaswag
openai_text-curie-001,0.0,0.19607843137254902,,0.19607843137254902,50,hellaswag
openai_text-davinci-002,0.0,0.9411764705882353,,0.9411764705882353,50,hellaswag
openai_text-davinci-003,0.0,0.9803921568627451,,0.9803921568627451,50,hellaswag
together_bloom,0.0,0.7058823529411765,,0.7058823529411765,50,hellaswag
together_gpt-j-6b,0.0,0.17647058823529413,,0.17647058823529413,50,hellaswag
together_gpt-neox-20b,0.0,0.5686274509803921,,0.5686274509803921,50,hellaswag
together_opt-175b,0.0,0.8823529411764706,,0.8823529411764706,50,hellaswag
together_opt-66b,0.0,0.7450980392156863,,0.7450980392156863,50,hellaswag
ai21_j1-grande,0.0,0.7843137254901961,,0.7843137254901961,50,hellaswag
ai21_j1-grande-v2-beta,0.0,0.8627450980392157,,0.8627450980392157,50,hellaswag
ai21_j1-jumbo,0.0,0.8823529411764706,,0.8823529411764706,50,hellaswag
ai21_j1-large,0.0,0.5882352941176471,,0.5882352941176471,50,hellaswag
anthropic_stanford-online-all-v4-s3,0.0,0.9607843137254902,,0.9607843137254902,50,hellaswag
cohere_command-medium-beta,0.0,0.8235294117647058,,0.8235294117647058,50,hellaswag
cohere_command-xlarge-beta,0.0,1.0,,1.0,50,hellaswag
cohere_large-20220720,0.0,0.7254901960784313,,0.7254901960784313,50,hellaswag
cohere_medium-20220720,0.0,0.5294117647058824,,0.5294117647058824,50,hellaswag
cohere_medium-20221108,0.0,0.6078431372549019,,0.6078431372549019,50,hellaswag
cohere_small-20220720,0.0,0.0,,0.0,50,hellaswag
cohere_xlarge-20220609,0.0,1.0,,1.0,50,hellaswag
cohere_xlarge-20221108,0.0,1.0,,1.0,50,hellaswag
microsoft_TNLGv2_530B,0.0,0.9607843137254902,,0.9607843137254902,50,hellaswag
microsoft_TNLGv2_7B,0.0,0.49019607843137253,,0.49019607843137253,50,hellaswag
openai_ada,0.0,0.0,,0.0,50,hellaswag
openai_babbage,0.0,0.0,,0.0,50,hellaswag
openai_curie,0.0,0.27450980392156865,,0.27450980392156865,50,hellaswag
openai_davinci,0.0,0.8627450980392157,,0.8627450980392157,50,hellaswag
openai_text-ada-001,0.0,0.0196078431372549,,0.0196078431372549,50,hellaswag
openai_text-babbage-001,0.0,0.0196078431372549,,0.0196078431372549,50,hellaswag
openai_text-curie-001,0.0,0.19607843137254902,,0.19607843137254902,50,hellaswag
openai_text-davinci-002,0.0,0.9411764705882353,,0.9411764705882353,50,hellaswag
openai_text-davinci-003,0.0,0.9803921568627451,,0.9803921568627451,50,hellaswag
together_bloom,0.0,0.7058823529411765,,0.7058823529411765,50,hellaswag
together_gpt-j-6b,0.0,0.17647058823529413,,0.17647058823529413,50,hellaswag
together_gpt-neox-20b,0.0,0.5686274509803921,,0.5686274509803921,50,hellaswag
together_opt-175b,0.0,0.8823529411764706,,0.8823529411764706,50,hellaswag
together_opt-66b,0.0,0.7450980392156863,,0.7450980392156863,50,hellaswag
ai21_j1-grande,0.0,0.7843137254901961,,0.7843137254901961,50,hellaswag
ai21_j1-grande-v2-beta,0.0,0.8627450980392157,,0.8627450980392157,50,hellaswag
ai21_j1-jumbo,0.0,0.8823529411764706,,0.8823529411764706,50,hellaswag
ai21_j1-large,0.0,0.5882352941176471,,0.5882352941176471,50,hellaswag
anthropic_stanford-online-all-v4-s3,0.0,0.9607843137254902,,0.9607843137254902,50,hellaswag
cohere_command-medium-beta,0.0,0.8235294117647058,,0.8235294117647058,50,hellaswag
cohere_command-xlarge-beta,0.0,1.0,,1.0,50,hellaswag
cohere_large-20220720,0.0,0.7254901960784313,,0.7254901960784313,50,hellaswag
cohere_medium-20220720,0.0,0.5294117647058824,,0.5294117647058824,50,hellaswag
cohere_medium-20221108,0.0,0.6078431372549019,,0.6078431372549019,50,hellaswag
cohere_small-20220720,0.0,0.0,,0.0,50,hellaswag
cohere_xlarge-20220609,0.0,1.0,,1.0,50,hellaswag
cohere_xlarge-20221108,0.0,1.0,,1.0,50,hellaswag
microsoft_TNLGv2_530B,0.0,0.9607843137254902,,0.9607843137254902,50,hellaswag
microsoft_TNLGv2_7B,0.0,0.49019607843137253,,0.49019607843137253,50,hellaswag
openai_ada,0.0,0.0,,0.0,50,hellaswag
openai_babbage,0.0,0.0,,0.0,50,hellaswag
openai_curie,0.0,0.27450980392156865,,0.27450980392156865,50,hellaswag
openai_davinci,0.0,0.8627450980392157,,0.8627450980392157,50,hellaswag
openai_text-ada-001,0.0,0.0196078431372549,,0.0196078431372549,50,hellaswag
openai_text-babbage-001,0.0,0.0196078431372549,,0.0196078431372549,50,hellaswag
openai_text-curie-001,0.0,0.19607843137254902,,0.19607843137254902,50,hellaswag
openai_text-davinci-002,0.0,0.9411764705882353,,0.9411764705882353,50,hellaswag
