model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
ai21_j1-grande,1.1,0.27744099702566233,,0.27744099702566233,40,msmarco:track=trec
ai21_j1-grande-v2-beta,1.1,0.47290759728115334,,0.47290759728115334,40,msmarco:track=trec
ai21_j1-jumbo,1.1,0.33583779829455435,,0.33583779829455435,40,msmarco:track=trec
ai21_j1-large,1.1,0.21581726319564482,,0.21581726319564482,40,msmarco:track=trec
anthropic_stanford-online-all-v4-s3,1.1,0.7541752188884783,,0.7541752188884783,40,msmarco:track=trec
cohere_command-medium-beta,1.1,0.797976816200914,,0.797976816200914,40,msmarco:track=trec
cohere_command-xlarge-beta,1.1,0.8284770330552409,,0.8284770330552409,40,msmarco:track=trec
cohere_large-20220720,1.1,0.2555385717444367,,0.2555385717444367,40,msmarco:track=trec
cohere_medium-20220720,1.1,0.3268467934374439,,0.3268467934374439,40,msmarco:track=trec
cohere_medium-20221108,1.1,0.30599154285058816,,0.30599154285058816,40,msmarco:track=trec
cohere_small-20220720,1.1,0.2632616854169144,,0.2632616854169144,40,msmarco:track=trec
cohere_xlarge-20220609,1.1,0.4513120059860154,,0.4513120059860154,40,msmarco:track=trec
cohere_xlarge-20221108,1.1,0.6013129390242538,,0.6013129390242538,40,msmarco:track=trec
microsoft_TNLGv2_530B,1.1,0.7188523448111758,,0.7188523448111758,40,msmarco:track=trec
microsoft_TNLGv2_7B,1.1,0.26016047213589577,,0.26016047213589577,40,msmarco:track=trec
openai_ada,1.1,0.1534190108709775,,0.1534190108709775,40,msmarco:track=trec
openai_babbage,1.1,0.21923419279426587,,0.21923419279426587,40,msmarco:track=trec
openai_curie,1.1,0.22442659044691604,,0.22442659044691604,40,msmarco:track=trec
openai_davinci,1.1,0.36258036201833466,,0.36258036201833466,40,msmarco:track=trec
openai_text-ada-001,1.1,0.19781942149027434,,0.19781942149027434,40,msmarco:track=trec
openai_text-babbage-001,1.1,0.4452783033096307,,0.4452783033096307,40,msmarco:track=trec
openai_text-curie-001,1.1,0.522087288681518,,0.522087288681518,40,msmarco:track=trec
openai_text-davinci-002,1.1,0.7611717602532957,,0.7611717602532957,40,msmarco:track=trec
openai_text-davinci-003,1.1,0.6983330119320077,,0.6983330119320077,40,msmarco:track=trec
together_bloom,1.1,0.36654451530540627,,0.36654451530540627,40,msmarco:track=trec
together_gpt-j-6b,1.1,0.2689044477446873,,0.2689044477446873,40,msmarco:track=trec
together_gpt-neox-20b,1.1,0.3856664581917662,,0.3856664581917662,40,msmarco:track=trec
together_opt-175b,1.1,0.4467348365434688,,0.4467348365434688,40,msmarco:track=trec
together_opt-66b,1.1,0.5252066674368103,,0.5252066674368103,40,msmarco:track=trec
ai21_j1-grande,1.1,0.27744099702566233,,0.27744099702566233,40,msmarco:track=trec
ai21_j1-grande-v2-beta,1.1,0.47290759728115334,,0.47290759728115334,40,msmarco:track=trec
ai21_j1-jumbo,1.1,0.33583779829455435,,0.33583779829455435,40,msmarco:track=trec
ai21_j1-large,1.1,0.21581726319564482,,0.21581726319564482,40,msmarco:track=trec
anthropic_stanford-online-all-v4-s3,1.1,0.7541752188884783,,0.7541752188884783,40,msmarco:track=trec
cohere_command-medium-beta,1.1,0.797976816200914,,0.797976816200914,40,msmarco:track=trec
cohere_command-xlarge-beta,1.1,0.8284770330552409,,0.8284770330552409,40,msmarco:track=trec
