,model,balanced_score,n_samples,trial_num,win_rate,scenario
0,AlephAlpha_luminous-base,0.3342513538682597,20000,0,0.4444444444444444,quac
1,AlephAlpha_luminous-extended,0.3488347196739046,20000,0,0.5277777777777778,quac
2,AlephAlpha_luminous-supreme,0.3702008493627177,20000,0,0.7777777777777778,quac
3,ai21_j1-grande,0.362358110803214,20000,0,0.75,quac
4,ai21_j1-grande-v2-beta,0.3924659267286058,20000,0,0.8888888888888888,quac
5,ai21_j1-jumbo,0.3582826487022247,20000,0,0.6111111111111112,quac
6,ai21_j1-large,0.3277525849319994,20000,0,0.3888888888888889,quac
7,anthropic_stanford-online-all-v4-s3,0.4312201844030331,20000,0,0.9166666666666666,quac
8,cohere_command-medium-beta,0.3750505324067837,20000,0,0.8333333333333334,quac
9,cohere_command-xlarge-beta,0.4320163638545443,20000,0,0.9444444444444444,quac
10,cohere_large-20220720,0.338358663731601,20000,0,0.4722222222222222,quac
11,cohere_medium-20220720,0.2791948993600368,20000,0,0.25,quac
12,cohere_medium-20221108,0.3139272618104652,20000,0,0.3055555555555556,quac
13,cohere_small-20220720,0.218564459385154,20000,0,0.1388888888888889,quac
14,cohere_xlarge-20220609,0.3605973104591267,20000,0,0.6944444444444444,quac
15,cohere_xlarge-20221108,0.3741522182063105,20000,0,0.8055555555555556,quac
16,microsoft_TNLGv2_530B,0.3903473765049918,20000,0,0.8611111111111112,quac
17,microsoft_TNLGv2_7B,0.34482018965479,20000,0,0.5,quac
18,openai_ada,0.2415563587627715,20000,0,0.16666666666666666,quac
19,openai_babbage,0.2726420179052804,20000,0,0.2222222222222222,quac
20,openai_curie,0.3211056138652355,20000,0,0.3333333333333333,quac
21,openai_davinci,0.3603925310938619,20000,0,0.6666666666666666,quac
22,openai_text-ada-001,0.1756100119695793,20000,0,0.1111111111111111,quac
23,openai_text-babbage-001,0.2840449397861994,20000,0,0.2777777777777778,quac
24,openai_text-curie-001,0.3579111587300225,20000,0,0.5833333333333334,quac
25,openai_text-davinci-002,0.445146684155376,20000,0,0.9722222222222222,quac
26,openai_text-davinci-003,0.5247817678036986,20000,0,1.0,quac
27,together_bloom,0.3606360965163295,20000,0,0.7222222222222222,quac
28,together_glm,0.2716383798165435,20000,0,0.19444444444444445,quac
29,together_gpt-j-6b,0.3295864131772361,20000,0,0.4166666666666667,quac
30,together_gpt-neox-20b,0.3264998038716455,20000,0,0.3611111111111111,quac
31,together_opt-175b,0.3600846532918795,20000,0,0.6388888888888888,quac
32,together_opt-66b,0.3565762395567167,20000,0,0.5555555555555556,quac
33,together_t0pp,0.1207685716129179,20000,0,0.027777777777777776,quac
34,together_t5-11b,0.1159367261320053,20000,0,0.0,quac
35,together_ul2,0.1444266800162979,20000,0,0.05555555555555555,quac
36,together_yalm,0.1618111011033199,20000,0,0.08333333333333333,quac
0,AlephAlpha_luminous-base,0.3342513538682597,20000,1,0.4444444444444444,quac
1,AlephAlpha_luminous-extended,0.3488347196739046,20000,1,0.5277777777777778,quac
2,AlephAlpha_luminous-supreme,0.3702008493627177,20000,1,0.7777777777777778,quac
3,ai21_j1-grande,0.362358110803214,20000,1,0.75,quac
4,ai21_j1-grande-v2-beta,0.3924659267286058,20000,1,0.8888888888888888,quac
5,ai21_j1-jumbo,0.3582826487022247,20000,1,0.6111111111111112,quac
