model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
ai21_j1-grande,1.1714285714285715,0.2829148460134214,,0.2829148460134214,70,msmarco:track=trec
ai21_j1-grande-v2-beta,1.1714285714285715,0.4500810414760119,,0.4500810414760119,70,msmarco:track=trec
ai21_j1-jumbo,1.1714285714285715,0.3335415647603182,,0.3335415647603182,70,msmarco:track=trec
ai21_j1-large,1.1714285714285715,0.22919558647798643,,0.22919558647798643,70,msmarco:track=trec
anthropic_stanford-online-all-v4-s3,1.1714285714285715,0.6912447889376272,,0.6912447889376272,70,msmarco:track=trec
cohere_command-medium-beta,1.1714285714285715,0.7698011812197391,,0.7698011812197391,70,msmarco:track=trec
cohere_command-xlarge-beta,1.1714285714285715,0.8169600911676368,,0.8169600911676368,70,msmarco:track=trec
cohere_large-20220720,1.1714285714285715,0.2762211495326829,,0.2762211495326829,70,msmarco:track=trec
cohere_medium-20220720,1.1714285714285715,0.3125822522475612,,0.3125822522475612,70,msmarco:track=trec
cohere_medium-20221108,1.1714285714285715,0.3144224746081891,,0.3144224746081891,70,msmarco:track=trec
cohere_small-20220720,1.1714285714285715,0.25076964801178964,,0.25076964801178964,70,msmarco:track=trec
cohere_xlarge-20220609,1.1714285714285715,0.44723642488615295,,0.44723642488615295,70,msmarco:track=trec
cohere_xlarge-20221108,1.1714285714285715,0.5874953826471403,,0.5874953826471403,70,msmarco:track=trec
microsoft_TNLGv2_530B,1.1714285714285715,0.6926592885936073,,0.6926592885936073,70,msmarco:track=trec
microsoft_TNLGv2_7B,1.1714285714285715,0.25515043960906547,,0.25515043960906547,70,msmarco:track=trec
openai_ada,1.1714285714285715,0.18105241966004318,,0.18105241966004318,70,msmarco:track=trec
openai_babbage,1.1714285714285715,0.2361758269268022,,0.2361758269268022,70,msmarco:track=trec
openai_curie,1.1714285714285715,0.24325775599783264,,0.24325775599783264,70,msmarco:track=trec
openai_davinci,1.1714285714285715,0.3534246254818878,,0.3534246254818878,70,msmarco:track=trec
openai_text-ada-001,1.1714285714285715,0.24461955840642702,,0.24461955840642702,70,msmarco:track=trec
openai_text-babbage-001,1.1714285714285715,0.42481670405371186,,0.42481670405371186,70,msmarco:track=trec
openai_text-curie-001,1.1714285714285715,0.5189136251218036,,0.5189136251218036,70,msmarco:track=trec
openai_text-davinci-002,1.1714285714285715,0.7279305014608844,,0.7279305014608844,70,msmarco:track=trec
openai_text-davinci-003,1.1714285714285715,0.687287991467833,,0.687287991467833,70,msmarco:track=trec
together_bloom,1.1714285714285715,0.35491191014976536,,0.35491191014976536,70,msmarco:track=trec
together_gpt-j-6b,1.1714285714285715,0.2741178533102451,,0.2741178533102451,70,msmarco:track=trec
together_gpt-neox-20b,1.1714285714285715,0.35629857154280603,,0.35629857154280603,70,msmarco:track=trec
together_opt-175b,1.1714285714285715,0.4226042686985823,,0.4226042686985823,70,msmarco:track=trec
together_opt-66b,1.1714285714285715,0.4868143986220726,,0.4868143986220726,70,msmarco:track=trec
ai21_j1-grande,1.1714285714285715,0.2829148460134214,,0.2829148460134214,70,msmarco:track=trec
ai21_j1-grande-v2-beta,1.1714285714285715,0.4500810414760119,,0.4500810414760119,70,msmarco:track=trec
ai21_j1-jumbo,1.1714285714285715,0.3335415647603182,,0.3335415647603182,70,msmarco:track=trec
ai21_j1-large,1.1714285714285715,0.22919558647798643,,0.22919558647798643,70,msmarco:track=trec
anthropic_stanford-online-all-v4-s3,1.1714285714285715,0.6912447889376272,,0.6912447889376272,70,msmarco:track=trec
cohere_command-medium-beta,1.1714285714285715,0.7698011812197391,,0.7698011812197391,70,msmarco:track=trec
cohere_command-xlarge-beta,1.1714285714285715,0.8169600911676368,,0.8169600911676368,70,msmarco:track=trec
cohere_large-20220720,1.1714285714285715,0.2762211495326829,,0.2762211495326829,70,msmarco:track=trec
cohere_medium-20220720,1.1714285714285715,0.3125822522475612,,0.3125822522475612,70,msmarco:track=trec
cohere_medium-20221108,1.1714285714285715,0.3144224746081891,,0.3144224746081891,70,msmarco:track=trec
cohere_small-20220720,1.1714285714285715,0.25076964801178964,,0.25076964801178964,70,msmarco:track=trec
cohere_xlarge-20220609,1.1714285714285715,0.44723642488615295,,0.44723642488615295,70,msmarco:track=trec
cohere_xlarge-20221108,1.1714285714285715,0.5874953826471403,,0.5874953826471403,70,msmarco:track=trec
microsoft_TNLGv2_530B,1.1714285714285715,0.6926592885936073,,0.6926592885936073,70,msmarco:track=trec
microsoft_TNLGv2_7B,1.1714285714285715,0.25515043960906547,,0.25515043960906547,70,msmarco:track=trec
openai_ada,1.1714285714285715,0.18105241966004318,,0.18105241966004318,70,msmarco:track=trec
openai_babbage,1.1714285714285715,0.2361758269268022,,0.2361758269268022,70,msmarco:track=trec
openai_curie,1.1714285714285715,0.24325775599783264,,0.24325775599783264,70,msmarco:track=trec
openai_davinci,1.1714285714285715,0.3534246254818878,,0.3534246254818878,70,msmarco:track=trec
openai_text-ada-001,1.1714285714285715,0.24461955840642702,,0.24461955840642702,70,msmarco:track=trec
