,model,balanced_score,n_samples,trial_num,win_rate,scenario
0,AlephAlpha_luminous-base,0.1,50,0,0.4166666666666667,mmlu
1,AlephAlpha_luminous-extended,0.7,50,0,0.6388888888888888,mmlu
2,AlephAlpha_luminous-supreme,0.86,50,0,0.7222222222222222,mmlu
3,ai21_j1-grande,0.04,50,0,0.25,mmlu
4,ai21_j1-grande-v2-beta,1.0,50,0,0.8333333333333334,mmlu
5,ai21_j1-jumbo,0.02,50,0,0.19444444444444445,mmlu
6,ai21_j1-large,0.04,50,0,0.25,mmlu
7,anthropic_stanford-online-all-v4-s3,1.0,50,0,0.8333333333333334,mmlu
8,cohere_command-medium-beta,0.92,50,0,0.7777777777777778,mmlu
9,cohere_command-xlarge-beta,1.0,50,0,0.8333333333333334,mmlu
10,cohere_large-20220720,0.5,50,0,0.6111111111111112,mmlu
11,cohere_medium-20220720,0.08,50,0,0.3333333333333333,mmlu
12,cohere_medium-20221108,0.04,50,0,0.25,mmlu
13,cohere_small-20220720,0.08,50,0,0.3333333333333333,mmlu
14,cohere_xlarge-20220609,0.78,50,0,0.6944444444444444,mmlu
15,cohere_xlarge-20221108,0.98,50,0,0.8055555555555556,mmlu
16,microsoft_TNLGv2_530B,1.0,50,0,0.8333333333333334,mmlu
17,microsoft_TNLGv2_7B,0.08,50,0,0.3333333333333333,mmlu
18,openai_ada,0.0,50,0,0.0,mmlu
19,openai_babbage,0.0,50,0,0.0,mmlu
20,openai_curie,0.02,50,0,0.19444444444444445,mmlu
21,openai_davinci,1.0,50,0,0.8333333333333334,mmlu
22,openai_text-ada-001,0.0,50,0,0.0,mmlu
23,openai_text-babbage-001,0.0,50,0,0.0,mmlu
24,openai_text-curie-001,0.0,50,0,0.0,mmlu
25,openai_text-davinci-002,1.0,50,0,0.8333333333333334,mmlu
26,openai_text-davinci-003,1.0,50,0,0.8333333333333334,mmlu
27,together_bloom,0.16,50,0,0.4722222222222222,mmlu
28,together_glm,0.74,50,0,0.6666666666666666,mmlu
29,together_gpt-j-6b,0.0,50,0,0.0,mmlu
30,together_gpt-neox-20b,0.12,50,0,0.4444444444444444,mmlu
31,together_opt-175b,0.38,50,0,0.5277777777777778,mmlu
32,together_opt-66b,0.32,50,0,0.5,mmlu
33,together_t0pp,0.9,50,0,0.75,mmlu
34,together_t5-11b,0.46,50,0,0.5833333333333334,mmlu
35,together_ul2,0.44,50,0,0.5555555555555556,mmlu
36,together_yalm,0.0,50,0,0.0,mmlu
0,AlephAlpha_luminous-base,0.1,50,1,0.4166666666666667,mmlu
1,AlephAlpha_luminous-extended,0.7,50,1,0.6388888888888888,mmlu
2,AlephAlpha_luminous-supreme,0.86,50,1,0.7222222222222222,mmlu
3,ai21_j1-grande,0.04,50,1,0.25,mmlu
4,ai21_j1-grande-v2-beta,1.0,50,1,0.8333333333333334,mmlu
5,ai21_j1-jumbo,0.02,50,1,0.19444444444444445,mmlu
6,ai21_j1-large,0.04,50,1,0.25,mmlu
7,anthropic_stanford-online-all-v4-s3,1.0,50,1,0.8333333333333334,mmlu
8,cohere_command-medium-beta,0.92,50,1,0.7777777777777778,mmlu
9,cohere_command-xlarge-beta,1.0,50,1,0.8333333333333334,mmlu
10,cohere_large-20220720,0.5,50,1,0.6111111111111112,mmlu
11,cohere_medium-20220720,0.08,50,1,0.3333333333333333,mmlu
12,cohere_medium-20221108,0.04,50,1,0.25,mmlu
13,cohere_small-20220720,0.08,50,1,0.3333333333333333,mmlu
14,cohere_xlarge-20220609,0.78,50,1,0.6944444444444444,mmlu
15,cohere_xlarge-20221108,0.98,50,1,0.8055555555555556,mmlu
16,microsoft_TNLGv2_530B,1.0,50,1,0.8333333333333334,mmlu
17,microsoft_TNLGv2_7B,0.08,50,1,0.3333333333333333,mmlu
18,openai_ada,0.0,50,1,0.0,mmlu
19,openai_babbage,0.0,50,1,0.0,mmlu
20,openai_curie,0.02,50,1,0.19444444444444445,mmlu
21,openai_davinci,1.0,50,1,0.8333333333333334,mmlu
22,openai_text-ada-001,0.0,50,1,0.0,mmlu
23,openai_text-babbage-001,0.0,50,1,0.0,mmlu
24,openai_text-curie-001,0.0,50,1,0.0,mmlu
25,openai_text-davinci-002,1.0,50,1,0.8333333333333334,mmlu
26,openai_text-davinci-003,1.0,50,1,0.8333333333333334,mmlu
27,together_bloom,0.16,50,1,0.4722222222222222,mmlu
28,together_glm,0.74,50,1,0.6666666666666666,mmlu
29,together_gpt-j-6b,0.0,50,1,0.0,mmlu
30,together_gpt-neox-20b,0.12,50,1,0.4444444444444444,mmlu
31,together_opt-175b,0.38,50,1,0.5277777777777778,mmlu
32,together_opt-66b,0.32,50,1,0.5,mmlu
33,together_t0pp,0.9,50,1,0.75,mmlu
34,together_t5-11b,0.46,50,1,0.5833333333333334,mmlu
35,together_ul2,0.44,50,1,0.5555555555555556,mmlu
36,together_yalm,0.0,50,1,0.0,mmlu
0,AlephAlpha_luminous-base,0.1,50,2,0.4166666666666667,mmlu
1,AlephAlpha_luminous-extended,0.7,50,2,0.6388888888888888,mmlu
2,AlephAlpha_luminous-supreme,0.86,50,2,0.7222222222222222,mmlu
3,ai21_j1-grande,0.04,50,2,0.25,mmlu
4,ai21_j1-grande-v2-beta,1.0,50,2,0.8333333333333334,mmlu
