,model,balanced_score,n_samples,trial_num,win_rate,scenario
0,ai21_j1-grande,0.52,20000,0,0.39285714285714285,openbookqa
1,ai21_j1-grande-v2-beta,0.56,20000,0,0.75,openbookqa
2,ai21_j1-jumbo,0.534,20000,0,0.4642857142857143,openbookqa
3,ai21_j1-large,0.514,20000,0,0.2857142857142857,openbookqa
4,anthropic_stanford-online-all-v4-s3,0.558,20000,0,0.7142857142857143,openbookqa
5,cohere_command-medium-beta,0.55,20000,0,0.6428571428571429,openbookqa
6,cohere_command-xlarge-beta,0.582,20000,0,0.8214285714285714,openbookqa
7,cohere_large-20220720,0.542,20000,0,0.6071428571428571,openbookqa
8,cohere_medium-20220720,0.496,20000,0,0.21428571428571427,openbookqa
9,cohere_medium-20221108,0.538,20000,0,0.5714285714285714,openbookqa
10,cohere_small-20220720,0.348,20000,0,0.03571428571428571,openbookqa
11,cohere_xlarge-20220609,0.55,20000,0,0.6428571428571429,openbookqa
12,cohere_xlarge-20221108,0.588,20000,0,0.9285714285714286,openbookqa
13,microsoft_TNLGv2_530B,0.562,20000,0,0.7857142857142857,openbookqa
14,microsoft_TNLGv2_7B,0.478,20000,0,0.17857142857142858,openbookqa
15,openai_ada,0.38,20000,0,0.07142857142857142,openbookqa
16,openai_babbage,0.438,20000,0,0.10714285714285714,openbookqa
17,openai_curie,0.502,20000,0,0.25,openbookqa
18,openai_davinci,0.586,20000,0,0.8571428571428571,openbookqa
19,openai_text-ada-001,0.346,20000,0,0.0,openbookqa
20,openai_text-babbage-001,0.452,20000,0,0.14285714285714285,openbookqa
21,openai_text-curie-001,0.514,20000,0,0.2857142857142857,openbookqa
22,openai_text-davinci-002,0.594,20000,0,0.9642857142857143,openbookqa
23,openai_text-davinci-003,0.646,20000,0,1.0,openbookqa
24,together_bloom,0.534,20000,0,0.4642857142857143,openbookqa
25,together_gpt-j-6b,0.514,20000,0,0.2857142857142857,openbookqa
26,together_gpt-neox-20b,0.524,20000,0,0.42857142857142855,openbookqa
27,together_opt-175b,0.586,20000,0,0.8571428571428571,openbookqa
28,together_opt-66b,0.534,20000,0,0.4642857142857143,openbookqa
0,ai21_j1-grande,0.52,20000,1,0.39285714285714285,openbookqa
1,ai21_j1-grande-v2-beta,0.56,20000,1,0.75,openbookqa
2,ai21_j1-jumbo,0.534,20000,1,0.4642857142857143,openbookqa
3,ai21_j1-large,0.514,20000,1,0.2857142857142857,openbookqa
4,anthropic_stanford-online-all-v4-s3,0.558,20000,1,0.7142857142857143,openbookqa
5,cohere_command-medium-beta,0.55,20000,1,0.6428571428571429,openbookqa
6,cohere_command-xlarge-beta,0.582,20000,1,0.8214285714285714,openbookqa
7,cohere_large-20220720,0.542,20000,1,0.6071428571428571,openbookqa
8,cohere_medium-20220720,0.496,20000,1,0.21428571428571427,openbookqa
9,cohere_medium-20221108,0.538,20000,1,0.5714285714285714,openbookqa
10,cohere_small-20220720,0.348,20000,1,0.03571428571428571,openbookqa
11,cohere_xlarge-20220609,0.55,20000,1,0.6428571428571429,openbookqa
12,cohere_xlarge-20221108,0.588,20000,1,0.9285714285714286,openbookqa
13,microsoft_TNLGv2_530B,0.562,20000,1,0.7857142857142857,openbookqa
14,microsoft_TNLGv2_7B,0.478,20000,1,0.17857142857142858,openbookqa
15,openai_ada,0.38,20000,1,0.07142857142857142,openbookqa
16,openai_babbage,0.438,20000,1,0.10714285714285714,openbookqa
17,openai_curie,0.502,20000,1,0.25,openbookqa
18,openai_davinci,0.586,20000,1,0.8571428571428571,openbookqa
19,openai_text-ada-001,0.346,20000,1,0.0,openbookqa
20,openai_text-babbage-001,0.452,20000,1,0.14285714285714285,openbookqa
21,openai_text-curie-001,0.514,20000,1,0.2857142857142857,openbookqa
22,openai_text-davinci-002,0.594,20000,1,0.9642857142857143,openbookqa
23,openai_text-davinci-003,0.646,20000,1,1.0,openbookqa
24,together_bloom,0.534,20000,1,0.4642857142857143,openbookqa
25,together_gpt-j-6b,0.514,20000,1,0.2857142857142857,openbookqa
26,together_gpt-neox-20b,0.524,20000,1,0.42857142857142855,openbookqa
27,together_opt-175b,0.586,20000,1,0.8571428571428571,openbookqa
28,together_opt-66b,0.534,20000,1,0.4642857142857143,openbookqa
0,ai21_j1-grande,0.52,20000,2,0.39285714285714285,openbookqa
1,ai21_j1-grande-v2-beta,0.56,20000,2,0.75,openbookqa
2,ai21_j1-jumbo,0.534,20000,2,0.4642857142857143,openbookqa
3,ai21_j1-large,0.514,20000,2,0.2857142857142857,openbookqa
4,anthropic_stanford-online-all-v4-s3,0.558,20000,2,0.7142857142857143,openbookqa
5,cohere_command-medium-beta,0.55,20000,2,0.6428571428571429,openbookqa
6,cohere_command-xlarge-beta,0.582,20000,2,0.8214285714285714,openbookqa
7,cohere_large-20220720,0.542,20000,2,0.6071428571428571,openbookqa
8,cohere_medium-20220720,0.496,20000,2,0.21428571428571427,openbookqa
9,cohere_medium-20221108,0.538,20000,2,0.5714285714285714,openbookqa
10,cohere_small-20220720,0.348,20000,2,0.03571428571428571,openbookqa
11,cohere_xlarge-20220609,0.55,20000,2,0.6428571428571429,openbookqa
12,cohere_xlarge-20221108,0.588,20000,2,0.9285714285714286,openbookqa
13,microsoft_TNLGv2_530B,0.562,20000,2,0.7857142857142857,openbookqa
14,microsoft_TNLGv2_7B,0.478,20000,2,0.17857142857142858,openbookqa
15,openai_ada,0.38,20000,2,0.07142857142857142,openbookqa
16,openai_babbage,0.438,20000,2,0.10714285714285714,openbookqa
17,openai_curie,0.502,20000,2,0.25,openbookqa
18,openai_davinci,0.586,20000,2,0.8571428571428571,openbookqa
19,openai_text-ada-001,0.346,20000,2,0.0,openbookqa
20,openai_text-babbage-001,0.452,20000,2,0.14285714285714285,openbookqa
21,openai_text-curie-001,0.514,20000,2,0.2857142857142857,openbookqa
22,openai_text-davinci-002,0.594,20000,2,0.9642857142857143,openbookqa
23,openai_text-davinci-003,0.646,20000,2,1.0,openbookqa
24,together_bloom,0.534,20000,2,0.4642857142857143,openbookqa
25,together_gpt-j-6b,0.514,20000,2,0.2857142857142857,openbookqa
26,together_gpt-neox-20b,0.524,20000,2,0.42857142857142855,openbookqa
27,together_opt-175b,0.586,20000,2,0.8571428571428571,openbookqa
28,together_opt-66b,0.534,20000,2,0.4642857142857143,openbookqa
0,ai21_j1-grande,0.52,20000,3,0.39285714285714285,openbookqa
1,ai21_j1-grande-v2-beta,0.56,20000,3,0.75,openbookqa
2,ai21_j1-jumbo,0.534,20000,3,0.4642857142857143,openbookqa
3,ai21_j1-large,0.514,20000,3,0.2857142857142857,openbookqa
4,anthropic_stanford-online-all-v4-s3,0.558,20000,3,0.7142857142857143,openbookqa
