,model,balanced_score,n_samples,trial_num,win_rate,scenario
0,AlephAlpha_luminous-base,0.0,50,0,0.0,truthful_qa
1,AlephAlpha_luminous-extended,0.12,50,0,0.5,truthful_qa
2,AlephAlpha_luminous-supreme,0.3,50,0,0.6666666666666666,truthful_qa
3,ai21_j1-grande,0.1,50,0,0.4722222222222222,truthful_qa
4,ai21_j1-grande-v2-beta,0.74,50,0,0.9166666666666666,truthful_qa
5,ai21_j1-jumbo,0.02,50,0,0.2222222222222222,truthful_qa
6,ai21_j1-large,0.06,50,0,0.3611111111111111,truthful_qa
7,anthropic_stanford-online-all-v4-s3,0.8461538461538461,50,0,0.9444444444444444,truthful_qa
8,cohere_command-medium-beta,0.04,50,0,0.2777777777777778,truthful_qa
9,cohere_command-xlarge-beta,0.46,50,0,0.75,truthful_qa
10,cohere_large-20220720,0.0,50,0,0.0,truthful_qa
11,cohere_medium-20220720,0.0,50,0,0.0,truthful_qa
12,cohere_medium-20221108,0.04,50,0,0.2777777777777778,truthful_qa
13,cohere_small-20220720,0.04,50,0,0.2777777777777778,truthful_qa
14,cohere_xlarge-20220609,0.14,50,0,0.5555555555555556,truthful_qa
15,cohere_xlarge-20221108,0.0,50,0,0.0,truthful_qa
16,microsoft_TNLGv2_530B,0.34,50,0,0.6944444444444444,truthful_qa
17,microsoft_TNLGv2_7B,0.0,50,0,0.0,truthful_qa
18,openai_ada,0.02,50,0,0.2222222222222222,truthful_qa
19,openai_babbage,0.0,50,0,0.0,truthful_qa
20,openai_curie,0.44,50,0,0.7222222222222222,truthful_qa
21,openai_davinci,0.08,50,0,0.4166666666666667,truthful_qa
22,openai_text-ada-001,0.5,50,0,0.8055555555555556,truthful_qa
23,openai_text-babbage-001,0.52,50,0,0.8333333333333334,truthful_qa
24,openai_text-curie-001,0.46,50,0,0.75,truthful_qa
25,openai_text-davinci-002,1.0,50,0,0.9722222222222222,truthful_qa
26,openai_text-davinci-003,1.0,50,0,0.9722222222222222,truthful_qa
27,together_bloom,0.1384615384615384,50,0,0.5277777777777778,truthful_qa
28,together_glm,0.1692307692307692,50,0,0.5833333333333334,truthful_qa
29,together_gpt-j-6b,0.0769230769230769,50,0,0.3888888888888889,truthful_qa
30,together_gpt-neox-20b,0.1692307692307692,50,0,0.5833333333333334,truthful_qa
31,together_opt-175b,0.5384615384615384,50,0,0.8611111111111112,truthful_qa
32,together_opt-66b,0.0923076923076923,50,0,0.4444444444444444,truthful_qa
33,together_t0pp,0.7230769230769231,50,0,0.8888888888888888,truthful_qa
34,together_t5-11b,0.0153846153846153,50,0,0.16666666666666666,truthful_qa
35,together_ul2,0.2,50,0,0.6388888888888888,truthful_qa
36,together_yalm,0.0153846153846153,50,0,0.16666666666666666,truthful_qa
0,AlephAlpha_luminous-base,0.0,50,1,0.0,truthful_qa
1,AlephAlpha_luminous-extended,0.12,50,1,0.5,truthful_qa
2,AlephAlpha_luminous-supreme,0.3,50,1,0.6666666666666666,truthful_qa
3,ai21_j1-grande,0.1,50,1,0.4722222222222222,truthful_qa
4,ai21_j1-grande-v2-beta,0.74,50,1,0.9166666666666666,truthful_qa
5,ai21_j1-jumbo,0.02,50,1,0.2222222222222222,truthful_qa
6,ai21_j1-large,0.06,50,1,0.3611111111111111,truthful_qa
7,anthropic_stanford-online-all-v4-s3,0.8461538461538461,50,1,0.9444444444444444,truthful_qa
8,cohere_command-medium-beta,0.04,50,1,0.2777777777777778,truthful_qa
9,cohere_command-xlarge-beta,0.46,50,1,0.75,truthful_qa
10,cohere_large-20220720,0.0,50,1,0.0,truthful_qa
11,cohere_medium-20220720,0.0,50,1,0.0,truthful_qa
12,cohere_medium-20221108,0.04,50,1,0.2777777777777778,truthful_qa
13,cohere_small-20220720,0.04,50,1,0.2777777777777778,truthful_qa
14,cohere_xlarge-20220609,0.14,50,1,0.5555555555555556,truthful_qa
15,cohere_xlarge-20221108,0.0,50,1,0.0,truthful_qa
16,microsoft_TNLGv2_530B,0.34,50,1,0.6944444444444444,truthful_qa
17,microsoft_TNLGv2_7B,0.0,50,1,0.0,truthful_qa
18,openai_ada,0.02,50,1,0.2222222222222222,truthful_qa
19,openai_babbage,0.0,50,1,0.0,truthful_qa
20,openai_curie,0.44,50,1,0.7222222222222222,truthful_qa
21,openai_davinci,0.08,50,1,0.4166666666666667,truthful_qa
22,openai_text-ada-001,0.5,50,1,0.8055555555555556,truthful_qa
23,openai_text-babbage-001,0.52,50,1,0.8333333333333334,truthful_qa
24,openai_text-curie-001,0.46,50,1,0.75,truthful_qa
