model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
ai21_j1-grande,0.0,0.74075,,0.74075,4000,hellaswag
ai21_j1-grande-v2-beta,0.0,0.7645,,0.7645,4000,hellaswag
ai21_j1-jumbo,0.0,0.76725,,0.76725,4000,hellaswag
ai21_j1-large,0.0,0.6985,,0.6985,4000,hellaswag
anthropic_stanford-online-all-v4-s3,0.0,0.808,,0.808,4000,hellaswag
cohere_command-medium-beta,0.0,0.75375,,0.75375,4000,hellaswag
cohere_command-xlarge-beta,0.0,0.80925,,0.80925,4000,hellaswag
cohere_large-20220720,0.0,0.7345,,0.7345,4000,hellaswag
cohere_medium-20220720,0.0,0.70525,,0.70525,4000,hellaswag
cohere_medium-20221108,0.0,0.72275,,0.72275,4000,hellaswag
cohere_small-20220720,0.0,0.481,,0.481,4000,hellaswag
cohere_xlarge-20220609,0.0,0.81175,,0.81175,4000,hellaswag
cohere_xlarge-20221108,0.0,0.81025,,0.81025,4000,hellaswag
microsoft_TNLGv2_530B,0.0,0.79875,,0.79875,4000,hellaswag
microsoft_TNLGv2_7B,0.0,0.70475,,0.70475,4000,hellaswag
openai_ada,0.0,0.438,,0.438,4000,hellaswag
openai_babbage,0.0,0.5525,,0.5525,4000,hellaswag
openai_curie,0.0,0.68525,,0.68525,4000,hellaswag
openai_davinci,0.0,0.77425,,0.77425,4000,hellaswag
openai_text-ada-001,0.0,0.433,,0.433,4000,hellaswag
openai_text-babbage-001,0.0,0.558,,0.558,4000,hellaswag
openai_text-curie-001,0.0,0.667,,0.667,4000,hellaswag
openai_text-davinci-002,0.0,0.81575,,0.81575,4000,hellaswag
openai_text-davinci-003,0.0,0.8225,,0.8225,4000,hellaswag
together_bloom,0.0,0.74825,,0.74825,4000,hellaswag
together_gpt-j-6b,0.0,0.6595,,0.6595,4000,hellaswag
together_gpt-neox-20b,0.0,0.72075,,0.72075,4000,hellaswag
together_opt-175b,0.0,0.79125,,0.79125,4000,hellaswag
together_opt-66b,0.0,0.74375,,0.74375,4000,hellaswag
ai21_j1-grande,0.0,0.7395,,0.7395,4000,hellaswag
ai21_j1-grande-v2-beta,0.0,0.76575,,0.76575,4000,hellaswag
ai21_j1-jumbo,0.0,0.7685,,0.7685,4000,hellaswag
ai21_j1-large,0.0,0.70725,,0.70725,4000,hellaswag
anthropic_stanford-online-all-v4-s3,0.0,0.81525,,0.81525,4000,hellaswag
cohere_command-medium-beta,0.0,0.76025,,0.76025,4000,hellaswag
cohere_command-xlarge-beta,0.0,0.82375,,0.82375,4000,hellaswag
cohere_large-20220720,0.0,0.74075,,0.74075,4000,hellaswag
cohere_medium-20220720,0.0,0.715,,0.715,4000,hellaswag
cohere_medium-20221108,0.0,0.738,,0.738,4000,hellaswag
cohere_small-20220720,0.0,0.4935,,0.4935,4000,hellaswag
cohere_xlarge-20220609,0.0,0.82075,,0.82075,4000,hellaswag
cohere_xlarge-20221108,0.0,0.82225,,0.82225,4000,hellaswag
microsoft_TNLGv2_530B,0.0,0.80725,,0.80725,4000,hellaswag
microsoft_TNLGv2_7B,0.0,0.708,,0.708,4000,hellaswag
openai_ada,0.0,0.4395,,0.4395,4000,hellaswag
openai_babbage,0.0,0.5555,,0.5555,4000,hellaswag
openai_curie,0.0,0.6885,,0.6885,4000,hellaswag
openai_davinci,0.0,0.777,,0.777,4000,hellaswag
openai_text-ada-001,0.0,0.44125,,0.44125,4000,hellaswag
openai_text-babbage-001,0.0,0.553,,0.553,4000,hellaswag
openai_text-curie-001,0.0,0.67925,,0.67925,4000,hellaswag
openai_text-davinci-002,0.0,0.8185,,0.8185,4000,hellaswag
openai_text-davinci-003,0.0,0.82875,,0.82875,4000,hellaswag
together_bloom,0.0,0.75275,,0.75275,4000,hellaswag
together_gpt-j-6b,0.0,0.66275,,0.66275,4000,hellaswag
together_gpt-neox-20b,0.0,0.72375,,0.72375,4000,hellaswag
together_opt-175b,0.0,0.79575,,0.79575,4000,hellaswag
