model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
ai21_j1-grande,1.0096,0.33776100960871075,,0.33776100960871075,5000,msmarco:track=trec
ai21_j1-grande-v2-beta,1.0096,0.4602936342010425,,0.4602936342010425,5000,msmarco:track=trec
ai21_j1-jumbo,1.0096,0.35881391296349163,,0.35881391296349163,5000,msmarco:track=trec
ai21_j1-large,1.0096,0.28897380026137864,,0.28897380026137864,5000,msmarco:track=trec
anthropic_stanford-online-all-v4-s3,1.0096,0.6410531465303491,,0.6410531465303491,5000,msmarco:track=trec
cohere_command-medium-beta,1.0096,0.7054602715769955,,0.7054602715769955,5000,msmarco:track=trec
cohere_command-xlarge-beta,1.0096,0.7581907701209238,,0.7581907701209238,5000,msmarco:track=trec
cohere_large-20220720,1.0096,0.3265414190650764,,0.3265414190650764,5000,msmarco:track=trec
cohere_medium-20220720,1.0096,0.36718038003941594,,0.36718038003941594,5000,msmarco:track=trec
cohere_medium-20221108,1.0096,0.3685950004581573,,0.3685950004581573,5000,msmarco:track=trec
cohere_small-20220720,1.0096,0.30287905911226715,,0.30287905911226715,5000,msmarco:track=trec
cohere_xlarge-20220609,1.0096,0.4547602201159795,,0.4547602201159795,5000,msmarco:track=trec
cohere_xlarge-20221108,1.0096,0.5440317597344476,,0.5440317597344476,5000,msmarco:track=trec
microsoft_TNLGv2_530B,1.0096,0.6441528777270471,,0.6441528777270471,5000,msmarco:track=trec
microsoft_TNLGv2_7B,1.0096,0.3303718977692882,,0.3303718977692882,5000,msmarco:track=trec
openai_ada,1.0096,0.28695413890362764,,0.28695413890362764,5000,msmarco:track=trec
openai_babbage,1.0096,0.3091044160757045,,0.3091044160757045,5000,msmarco:track=trec
openai_curie,1.0096,0.2976760019822555,,0.2976760019822555,5000,msmarco:track=trec
openai_davinci,1.0096,0.37350759135844064,,0.37350759135844064,5000,msmarco:track=trec
openai_text-ada-001,1.0096,0.29841970758285274,,0.29841970758285274,5000,msmarco:track=trec
openai_text-babbage-001,1.0096,0.44432504743739265,,0.44432504743739265,5000,msmarco:track=trec
openai_text-curie-001,1.0096,0.501335470529071,,0.501335470529071,5000,msmarco:track=trec
openai_text-davinci-002,1.0096,0.6636522412085283,,0.6636522412085283,5000,msmarco:track=trec
openai_text-davinci-003,1.0096,0.6436901071159455,,0.6436901071159455,5000,msmarco:track=trec
together_bloom,1.0096,0.38163444133290386,,0.38163444133290386,5000,msmarco:track=trec
together_gpt-j-6b,1.0096,0.34188763678570055,,0.34188763678570055,5000,msmarco:track=trec
together_gpt-neox-20b,1.0096,0.39439555529711856,,0.39439555529711856,5000,msmarco:track=trec
together_opt-175b,1.0096,0.44661149786032456,,0.44661149786032456,5000,msmarco:track=trec
together_opt-66b,1.0096,0.474970817558448,,0.474970817558448,5000,msmarco:track=trec
ai21_j1-grande,0.9782,0.3417892198657521,,0.3417892198657521,5000,msmarco:track=trec
ai21_j1-grande-v2-beta,0.9782,0.4622730661565412,,0.4622730661565412,5000,msmarco:track=trec
ai21_j1-jumbo,0.9782,0.3639199817582183,,0.3639199817582183,5000,msmarco:track=trec
ai21_j1-large,0.9782,0.2917948736390816,,0.2917948736390816,5000,msmarco:track=trec
anthropic_stanford-online-all-v4-s3,0.9782,0.6425860056332223,,0.6425860056332223,5000,msmarco:track=trec
cohere_command-medium-beta,0.9782,0.7130490329542112,,0.7130490329542112,5000,msmarco:track=trec
cohere_command-xlarge-beta,0.9782,0.7643032672069938,,0.7643032672069938,5000,msmarco:track=trec
cohere_large-20220720,0.9782,0.32876829662987306,,0.32876829662987306,5000,msmarco:track=trec
cohere_medium-20220720,0.9782,0.376227290099977,,0.376227290099977,5000,msmarco:track=trec
cohere_medium-20221108,0.9782,0.3742224413417234,,0.3742224413417234,5000,msmarco:track=trec
cohere_small-20220720,0.9782,0.30441300495477763,,0.30441300495477763,5000,msmarco:track=trec
cohere_xlarge-20220609,0.9782,0.4581546840007626,,0.4581546840007626,5000,msmarco:track=trec
cohere_xlarge-20221108,0.9782,0.5525132241959343,,0.5525132241959343,5000,msmarco:track=trec
microsoft_TNLGv2_530B,0.9782,0.6421155158142517,,0.6421155158142517,5000,msmarco:track=trec
microsoft_TNLGv2_7B,0.9782,0.3355037750209168,,0.3355037750209168,5000,msmarco:track=trec
openai_ada,0.9782,0.28920319393164295,,0.28920319393164295,5000,msmarco:track=trec
openai_babbage,0.9782,0.31780993109660005,,0.31780993109660005,5000,msmarco:track=trec
openai_curie,0.9782,0.3012449964872864,,0.3012449964872864,5000,msmarco:track=trec
openai_davinci,0.9782,0.3812128530319689,,0.3812128530319689,5000,msmarco:track=trec
openai_text-ada-001,0.9782,0.3007728986044804,,0.3007728986044804,5000,msmarco:track=trec
openai_text-babbage-001,0.9782,0.4467151591781054,,0.4467151591781054,5000,msmarco:track=trec
openai_text-curie-001,0.9782,0.5106317426810009,,0.5106317426810009,5000,msmarco:track=trec
openai_text-davinci-002,0.9782,0.6652731215063613,,0.6652731215063613,5000,msmarco:track=trec
openai_text-davinci-003,0.9782,0.6452955509725746,,0.6452955509725746,5000,msmarco:track=trec
together_bloom,0.9782,0.3843256883307142,,0.3843256883307142,5000,msmarco:track=trec
together_gpt-j-6b,0.9782,0.34441898212209554,,0.34441898212209554,5000,msmarco:track=trec
together_gpt-neox-20b,0.9782,0.3991335743258307,,0.3991335743258307,5000,msmarco:track=trec
together_opt-175b,0.9782,0.4505333585575616,,0.4505333585575616,5000,msmarco:track=trec
together_opt-66b,0.9782,0.48720653328376473,,0.48720653328376473,5000,msmarco:track=trec
ai21_j1-grande,0.9912,0.33761443376908135,,0.33761443376908135,5000,msmarco:track=trec
ai21_j1-grande-v2-beta,0.9912,0.4588584478928703,,0.4588584478928703,5000,msmarco:track=trec
ai21_j1-jumbo,0.9912,0.35985556706251287,,0.35985556706251287,5000,msmarco:track=trec
ai21_j1-large,0.9912,0.2904302262277051,,0.2904302262277051,5000,msmarco:track=trec
anthropic_stanford-online-all-v4-s3,0.9912,0.6423179612810864,,0.6423179612810864,5000,msmarco:track=trec
cohere_command-medium-beta,0.9912,0.7129718517120559,,0.7129718517120559,5000,msmarco:track=trec
cohere_command-xlarge-beta,0.9912,0.7632030852230223,,0.7632030852230223,5000,msmarco:track=trec
cohere_large-20220720,0.9912,0.32340176533060855,,0.32340176533060855,5000,msmarco:track=trec
cohere_medium-20220720,0.9912,0.3714516710373092,,0.3714516710373092,5000,msmarco:track=trec
cohere_medium-20221108,0.9912,0.3745940493171995,,0.3745940493171995,5000,msmarco:track=trec
cohere_small-20220720,0.9912,0.3002126057197559,,0.3002126057197559,5000,msmarco:track=trec
cohere_xlarge-20220609,0.9912,0.45670181128599713,,0.45670181128599713,5000,msmarco:track=trec
cohere_xlarge-20221108,0.9912,0.549627745457981,,0.549627745457981,5000,msmarco:track=trec
microsoft_TNLGv2_530B,0.9912,0.6419196627210866,,0.6419196627210866,5000,msmarco:track=trec
microsoft_TNLGv2_7B,0.9912,0.3327918393662093,,0.3327918393662093,5000,msmarco:track=trec
openai_ada,0.9912,0.2868792680962207,,0.2868792680962207,5000,msmarco:track=trec
openai_babbage,0.9912,0.31545498062987615,,0.31545498062987615,5000,msmarco:track=trec
openai_curie,0.9912,0.29804785447893817,,0.29804785447893817,5000,msmarco:track=trec
openai_davinci,0.9912,0.37694348202795697,,0.37694348202795697,5000,msmarco:track=trec
openai_text-ada-001,0.9912,0.3012369685767771,,0.3012369685767771,5000,msmarco:track=trec
openai_text-babbage-001,0.9912,0.44608825249583417,,0.44608825249583417,5000,msmarco:track=trec
openai_text-curie-001,0.9912,0.5074820412202051,,0.5074820412202051,5000,msmarco:track=trec
openai_text-davinci-002,0.9912,0.6638626146566474,,0.6638626146566474,5000,msmarco:track=trec
openai_text-davinci-003,0.9912,0.6451450647887298,,0.6451450647887298,5000,msmarco:track=trec
together_bloom,0.9912,0.3822999448712176,,0.3822999448712176,5000,msmarco:track=trec
together_gpt-j-6b,0.9912,0.3418140840660144,,0.3418140840660144,5000,msmarco:track=trec
