model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
AlephAlpha_luminous-base,1.03,0.18174386773483803,,0.18174386773483803,500,natural_qa:mode=closedbook
AlephAlpha_luminous-extended,1.03,0.25178025532328796,,0.25178025532328796,500,natural_qa:mode=closedbook
AlephAlpha_luminous-supreme,1.03,0.2831605052364796,,0.2831605052364796,500,natural_qa:mode=closedbook
ai21_j1-grande,1.03,0.22325329145680367,,0.22325329145680367,500,natural_qa:mode=closedbook
ai21_j1-grande-v2-beta,1.03,0.34054495536224355,,0.34054495536224355,500,natural_qa:mode=closedbook
ai21_j1-jumbo,1.03,0.2910470545220511,,0.2910470545220511,500,natural_qa:mode=closedbook
ai21_j1-large,1.03,0.174798581615363,,0.174798581615363,500,natural_qa:mode=closedbook
anthropic_stanford-online-all-v4-s3,1.03,0.27949350693927816,,0.27949350693927816,500,natural_qa:mode=closedbook
cohere_command-medium-beta,1.03,0.1948840573427009,,0.1948840573427009,500,natural_qa:mode=closedbook
cohere_command-xlarge-beta,1.03,0.38585918069929187,,0.38585918069929187,500,natural_qa:mode=closedbook
cohere_large-20220720,1.03,0.21927661151034097,,0.21927661151034097,500,natural_qa:mode=closedbook
cohere_medium-20220720,1.03,0.15615412213718205,,0.15615412213718205,500,natural_qa:mode=closedbook
cohere_medium-20221108,1.03,0.1871487181740501,,0.1871487181740501,500,natural_qa:mode=closedbook
cohere_small-20220720,1.03,0.05387524129344384,,0.05387524129344384,500,natural_qa:mode=closedbook
cohere_xlarge-20220609,1.03,0.3072416813483721,,0.3072416813483721,500,natural_qa:mode=closedbook
cohere_xlarge-20221108,1.03,0.3470046016164122,,0.3470046016164122,500,natural_qa:mode=closedbook
microsoft_TNLGv2_530B,1.03,0.3768641242827757,,0.3768641242827757,500,natural_qa:mode=closedbook
microsoft_TNLGv2_7B,1.03,0.19658959794506523,,0.19658959794506523,500,natural_qa:mode=closedbook
openai_ada,1.03,0.06419913303223727,,0.06419913303223727,500,natural_qa:mode=closedbook
openai_babbage,1.03,0.10587219987337584,,0.10587219987337584,500,natural_qa:mode=closedbook
openai_curie,1.03,0.1990454007738947,,0.1990454007738947,500,natural_qa:mode=closedbook
openai_davinci,1.03,0.32176044789705527,,0.32176044789705527,500,natural_qa:mode=closedbook
openai_text-ada-001,1.03,0.0249111808269703,,0.0249111808269703,500,natural_qa:mode=closedbook
openai_text-babbage-001,1.03,0.07499011853069044,,0.07499011853069044,500,natural_qa:mode=closedbook
openai_text-curie-001,1.03,0.17574431310926342,,0.17574431310926342,500,natural_qa:mode=closedbook
openai_text-davinci-002,1.03,0.38152654311620665,,0.38152654311620665,500,natural_qa:mode=closedbook
openai_text-davinci-003,1.03,0.41297458114612606,,0.41297458114612606,500,natural_qa:mode=closedbook
together_bloom,1.03,0.21145449993670307,,0.21145449993670307,500,natural_qa:mode=closedbook
together_glm,1.03,0.1439384492873314,,0.1439384492873314,500,natural_qa:mode=closedbook
together_gpt-j-6b,1.03,0.14139322708692695,,0.14139322708692695,500,natural_qa:mode=closedbook
together_gpt-neox-20b,1.03,0.18351277589928935,,0.18351277589928935,500,natural_qa:mode=closedbook
together_opt-175b,1.03,0.2957153091957418,,0.2957153091957418,500,natural_qa:mode=closedbook
together_opt-66b,1.03,0.23588476472124098,,0.23588476472124098,500,natural_qa:mode=closedbook
together_t0pp,1.03,0.031999496935477045,,0.031999496935477045,500,natural_qa:mode=closedbook
together_t5-11b,1.03,0.17480992549590074,,0.17480992549590074,500,natural_qa:mode=closedbook
together_ul2,1.03,0.19472434381952405,,0.19472434381952405,500,natural_qa:mode=closedbook
together_yalm,1.03,0.06027723301491721,,0.06027723301491721,500,natural_qa:mode=closedbook
AlephAlpha_luminous-base,1.044,0.22078853120673508,,0.22078853120673508,500,natural_qa:mode=closedbook
AlephAlpha_luminous-extended,1.044,0.24251626297213907,,0.24251626297213907,500,natural_qa:mode=closedbook
AlephAlpha_luminous-supreme,1.044,0.2823432387747465,,0.2823432387747465,500,natural_qa:mode=closedbook
ai21_j1-grande,1.044,0.24507035398964142,,0.24507035398964142,500,natural_qa:mode=closedbook
ai21_j1-grande-v2-beta,1.044,0.36374486870892997,,0.36374486870892997,500,natural_qa:mode=closedbook
ai21_j1-jumbo,1.044,0.3292207013801464,,0.3292207013801464,500,natural_qa:mode=closedbook
ai21_j1-large,1.044,0.21111555117581082,,0.21111555117581082,500,natural_qa:mode=closedbook
anthropic_stanford-online-all-v4-s3,1.044,0.3024279949600036,,0.3024279949600036,500,natural_qa:mode=closedbook
cohere_command-medium-beta,1.044,0.24819378269863765,,0.24819378269863765,500,natural_qa:mode=closedbook
cohere_command-xlarge-beta,1.044,0.3855691836304088,,0.3855691836304088,500,natural_qa:mode=closedbook
cohere_large-20220720,1.044,0.21383167812049056,,0.21383167812049056,500,natural_qa:mode=closedbook
cohere_medium-20220720,1.044,0.18515960414030888,,0.18515960414030888,500,natural_qa:mode=closedbook
