model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
AlephAlpha_luminous-base,1.003,0.4676666666666667,,0.4676666666666667,3000,raft
AlephAlpha_luminous-extended,1.003,0.517,,0.517,3000,raft
AlephAlpha_luminous-supreme,1.003,0.663,,0.663,3000,raft
ai21_j1-grande,1.003,0.667,,0.667,3000,raft
ai21_j1-grande-v2-beta,1.003,0.6936666666666667,,0.6936666666666667,3000,raft
ai21_j1-jumbo,1.003,0.694,,0.694,3000,raft
ai21_j1-large,1.003,0.5536666666666666,,0.5536666666666666,3000,raft
anthropic_stanford-online-all-v4-s3,1.003,0.7053333333333334,,0.7053333333333334,3000,raft
cohere_command-medium-beta,1.003,0.6533333333333333,,0.6533333333333333,3000,raft
cohere_command-xlarge-beta,1.003,0.682,,0.682,3000,raft
cohere_large-20220720,1.003,0.604,,0.604,3000,raft
cohere_medium-20220720,1.003,0.527,,0.527,3000,raft
cohere_medium-20221108,1.003,0.604,,0.604,3000,raft
cohere_small-20220720,1.003,0.4866666666666667,,0.4866666666666667,3000,raft
cohere_xlarge-20220609,1.003,0.6436666666666667,,0.6436666666666667,3000,raft
cohere_xlarge-20221108,1.003,0.6283333333333333,,0.6283333333333333,3000,raft
microsoft_TNLGv2_530B,1.003,0.6803333333333333,,0.6803333333333333,3000,raft
microsoft_TNLGv2_7B,1.003,0.534,,0.534,3000,raft
openai_ada,1.003,0.4236666666666667,,0.4236666666666667,3000,raft
openai_babbage,1.003,0.447,,0.447,3000,raft
openai_curie,1.003,0.49133333333333334,,0.49133333333333334,3000,raft
openai_davinci,1.003,0.664,,0.664,3000,raft
openai_text-ada-001,1.003,0.4176666666666667,,0.4176666666666667,3000,raft
openai_text-babbage-001,1.003,0.5063333333333333,,0.5063333333333333,3000,raft
openai_text-curie-001,1.003,0.48533333333333334,,0.48533333333333334,3000,raft
openai_text-davinci-002,1.003,0.7466666666666667,,0.7466666666666667,3000,raft
openai_text-davinci-003,1.003,0.77,,0.77,3000,raft
together_bloom,1.003,0.5986666666666667,,0.5986666666666667,3000,raft
together_glm,1.003,0.5923333333333334,,0.5923333333333334,3000,raft
together_gpt-j-6b,1.003,0.6216666666666667,,0.6216666666666667,3000,raft
together_gpt-neox-20b,1.003,0.51,,0.51,3000,raft
together_opt-175b,1.003,0.6123333333333333,,0.6123333333333333,3000,raft
together_opt-66b,1.003,0.5543333333333333,,0.5543333333333333,3000,raft
together_t0pp,1.003,0.11666666666666667,,0.11666666666666667,3000,raft
together_t5-11b,1.003,0.37966666666666665,,0.37966666666666665,3000,raft
together_ul2,1.003,0.407,,0.407,3000,raft
together_yalm,1.003,0.38966666666666666,,0.38966666666666666,3000,raft
AlephAlpha_luminous-base,1.0233333333333334,0.471,,0.471,3000,raft
AlephAlpha_luminous-extended,1.0233333333333334,0.5296666666666666,,0.5296666666666666,3000,raft
AlephAlpha_luminous-supreme,1.0233333333333334,0.669,,0.669,3000,raft
ai21_j1-grande,1.0233333333333334,0.6616666666666666,,0.6616666666666666,3000,raft
ai21_j1-grande-v2-beta,1.0233333333333334,0.6946666666666667,,0.6946666666666667,3000,raft
ai21_j1-jumbo,1.0233333333333334,0.6956666666666667,,0.6956666666666667,3000,raft
ai21_j1-large,1.0233333333333334,0.551,,0.551,3000,raft
anthropic_stanford-online-all-v4-s3,1.0233333333333334,0.7073333333333334,,0.7073333333333334,3000,raft
cohere_command-medium-beta,1.0233333333333334,0.6416666666666667,,0.6416666666666667,3000,raft
cohere_command-xlarge-beta,1.0233333333333334,0.6886666666666666,,0.6886666666666666,3000,raft
cohere_large-20220720,1.0233333333333334,0.6096666666666667,,0.6096666666666667,3000,raft
cohere_medium-20220720,1.0233333333333334,0.5253333333333333,,0.5253333333333333,3000,raft
cohere_medium-20221108,1.0233333333333334,0.6006666666666667,,0.6006666666666667,3000,raft
cohere_small-20220720,1.0233333333333334,0.48333333333333334,,0.48333333333333334,3000,raft
cohere_xlarge-20220609,1.0233333333333334,0.645,,0.645,3000,raft
cohere_xlarge-20221108,1.0233333333333334,0.6166666666666667,,0.6166666666666667,3000,raft
microsoft_TNLGv2_530B,1.0233333333333334,0.6833333333333333,,0.6833333333333333,3000,raft
microsoft_TNLGv2_7B,1.0233333333333334,0.5346666666666666,,0.5346666666666666,3000,raft
