model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
AlephAlpha_luminous-base,0.93,0.09502762063577291,,0.09502762063577291,200,summarization_cnndm
AlephAlpha_luminous-extended,0.93,0.12259696839900261,,0.12259696839900261,200,summarization_cnndm
AlephAlpha_luminous-supreme,0.93,0.13486985855757644,,0.13486985855757644,200,summarization_cnndm
ai21_j1-grande,0.93,0.1476627974504529,,0.1476627974504529,200,summarization_cnndm
ai21_j1-grande-v2-beta,0.93,0.14482694272973937,,0.14482694272973937,200,summarization_cnndm
ai21_j1-jumbo,0.93,0.15059079661527933,,0.15059079661527933,200,summarization_cnndm
ai21_j1-large,0.93,0.14094633518063313,,0.14094633518063313,200,summarization_cnndm
anthropic_stanford-online-all-v4-s3,0.93,0.15980855159898386,,0.15980855159898386,200,summarization_cnndm
cohere_command-medium-beta,0.93,0.1532241481684431,,0.1532241481684431,200,summarization_cnndm
cohere_command-xlarge-beta,0.93,0.16657067507509157,,0.16657067507509157,200,summarization_cnndm
cohere_large-20220720,0.93,0.13202938535603348,,0.13202938535603348,200,summarization_cnndm
cohere_medium-20220720,0.93,0.07525102628427432,,0.07525102628427432,200,summarization_cnndm
cohere_medium-20221108,0.93,0.1254500805773534,,0.1254500805773534,200,summarization_cnndm
cohere_small-20220720,0.93,0.05450258927206269,,0.05450258927206269,200,summarization_cnndm
cohere_xlarge-20220609,0.93,0.13598843969049582,,0.13598843969049582,200,summarization_cnndm
cohere_xlarge-20221108,0.93,0.15267778653947034,,0.15267778653947034,200,summarization_cnndm
microsoft_TNLGv2_530B,0.93,0.15407835622246777,,0.15407835622246777,200,summarization_cnndm
microsoft_TNLGv2_7B,0.93,0.14377001588878968,,0.14377001588878968,200,summarization_cnndm
openai_ada,0.93,0.08169624512242024,,0.08169624512242024,200,summarization_cnndm
openai_babbage,0.93,0.08687813133100354,,0.08687813133100354,200,summarization_cnndm
openai_curie,0.808695652173913,0.11203746713537276,,0.11203746713537276,200,summarization_cnndm
openai_davinci,0.808695652173913,0.12543063839040428,,0.12543063839040428,200,summarization_cnndm
openai_text-ada-001,0.93,0.13332860681010897,,0.13332860681010897,200,summarization_cnndm
openai_text-babbage-001,0.93,0.14920811610989104,,0.14920811610989104,200,summarization_cnndm
openai_text-curie-001,0.808695652173913,0.14640864088425834,,0.14640864088425834,200,summarization_cnndm
