model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
AlephAlpha_luminous-base,1.006,0.0979356578473737,,0.0979356578473737,500,summarization_xsum
AlephAlpha_luminous-extended,1.006,0.11352575392278486,,0.11352575392278486,500,summarization_xsum
AlephAlpha_luminous-supreme,1.006,0.12329931043466387,,0.12329931043466387,500,summarization_xsum
ai21_j1-grande,1.006,0.11204608708158498,,0.11204608708158498,500,summarization_xsum
ai21_j1-grande-v2-beta,1.006,0.13399280878708636,,0.13399280878708636,500,summarization_xsum
ai21_j1-jumbo,1.006,0.12147353508198691,,0.12147353508198691,500,summarization_xsum
ai21_j1-large,1.006,0.09593229387314466,,0.09593229387314466,500,summarization_xsum
anthropic_stanford-online-all-v4-s3,1.006,0.12074943040564537,,0.12074943040564537,500,summarization_xsum
cohere_command-medium-beta,1.006,0.1164953143547975,,0.1164953143547975,500,summarization_xsum
cohere_command-xlarge-beta,1.006,0.14327060708977096,,0.14327060708977096,500,summarization_xsum
cohere_large-20220720,1.006,0.10649393508898083,,0.10649393508898083,500,summarization_xsum
cohere_medium-20220720,1.006,0.0864924625088206,,0.0864924625088206,500,summarization_xsum
cohere_medium-20221108,1.006,0.09322195202868046,,0.09322195202868046,500,summarization_xsum
cohere_small-20220720,1.006,0.02884927716480525,,0.02884927716480525,500,summarization_xsum
cohere_xlarge-20220609,1.006,0.11703732672807025,,0.11703732672807025,500,summarization_xsum
cohere_xlarge-20221108,1.006,0.14217350640022092,,0.14217350640022092,500,summarization_xsum
microsoft_TNLGv2_530B,1.006,0.16040784505041472,,0.16040784505041472,500,summarization_xsum
microsoft_TNLGv2_7B,1.006,0.10324920583888687,,0.10324920583888687,500,summarization_xsum
openai_ada,1.006,0.022200878098703317,,0.022200878098703317,500,summarization_xsum
openai_babbage,1.006,0.03892215957212449,,0.03892215957212449,500,summarization_xsum
openai_curie,0.8717504332755632,0.08567272626798976,,0.08567272626798976,500,summarization_xsum
openai_davinci,0.8717504332755632,0.11485533350523419,,0.11485533350523419,500,summarization_xsum
openai_text-ada-001,1.006,0.03263142311064673,,0.03263142311064673,500,summarization_xsum
openai_text-babbage-001,1.006,0.04297722527814223,,0.04297722527814223,500,summarization_xsum
openai_text-curie-001,0.8717504332755632,0.06582587395290086,,0.06582587395290086,500,summarization_xsum
openai_text-davinci-002,0.8717504332755632,0.1340581746346237,,0.1340581746346237,500,summarization_xsum
openai_text-davinci-003,1.006,0.11349505943394853,,0.11349505943394853,500,summarization_xsum
together_bloom,1.006,0.028085267481778944,,0.028085267481778944,500,summarization_xsum
together_glm,1.006,0.12348471104900939,,0.12348471104900939,500,summarization_xsum
together_gpt-j-6b,1.006,0.0875856742887393,,0.0875856742887393,500,summarization_xsum
together_gpt-neox-20b,1.006,0.09598868397525505,,0.09598868397525505,500,summarization_xsum
together_opt-175b,1.006,0.14429533775313377,,0.14429533775313377,500,summarization_xsum
together_opt-66b,1.006,0.11654701653464593,,0.11654701653464593,500,summarization_xsum
together_t0pp,1.006,0.08459821999675446,,0.08459821999675446,500,summarization_xsum
together_t5-11b,1.006,0.013092245772998059,,0.013092245772998059,500,summarization_xsum
together_ul2,1.006,0.05217324115901631,,0.05217324115901631,500,summarization_xsum
together_yalm,1.006,0.016898824281550373,,0.016898824281550373,500,summarization_xsum
AlephAlpha_luminous-base,0.992,0.09994738503598606,,0.09994738503598606,500,summarization_xsum
AlephAlpha_luminous-extended,0.992,0.11845386263761981,,0.11845386263761981,500,summarization_xsum
AlephAlpha_luminous-supreme,0.992,0.13298503437656306,,0.13298503437656306,500,summarization_xsum
ai21_j1-grande,0.992,0.1199620080294269,,0.1199620080294269,500,summarization_xsum
ai21_j1-grande-v2-beta,0.992,0.1442540532789067,,0.1442540532789067,500,summarization_xsum
ai21_j1-jumbo,0.992,0.1252045461193184,,0.1252045461193184,500,summarization_xsum
ai21_j1-large,0.992,0.10115227340324218,,0.10115227340324218,500,summarization_xsum
anthropic_stanford-online-all-v4-s3,0.992,0.12846608936873566,,0.12846608936873566,500,summarization_xsum
cohere_command-medium-beta,0.992,0.10968904183660884,,0.10968904183660884,500,summarization_xsum
cohere_command-xlarge-beta,0.992,0.14623572067656992,,0.14623572067656992,500,summarization_xsum
cohere_large-20220720,0.992,0.10465397523531425,,0.10465397523531425,500,summarization_xsum
cohere_medium-20220720,0.992,0.07957813774308262,,0.07957813774308262,500,summarization_xsum
cohere_medium-20221108,0.992,0.09200169148351343,,0.09200169148351343,500,summarization_xsum
cohere_small-20220720,0.992,0.03144852040427001,,0.03144852040427001,500,summarization_xsum
cohere_xlarge-20220609,0.992,0.12529974171161423,,0.12529974171161423,500,summarization_xsum
cohere_xlarge-20221108,0.992,0.1483540582092246,,0.1483540582092246,500,summarization_xsum
microsoft_TNLGv2_530B,0.992,0.15825203139367275,,0.15825203139367275,500,summarization_xsum
microsoft_TNLGv2_7B,0.992,0.11159252629124422,,0.11159252629124422,500,summarization_xsum
openai_ada,0.992,0.026415379164017403,,0.026415379164017403,500,summarization_xsum
openai_babbage,0.992,0.045844589280763764,,0.045844589280763764,500,summarization_xsum
openai_curie,0.8507718696397941,0.08906293323589755,,0.08906293323589755,500,summarization_xsum
openai_davinci,0.8507718696397941,0.12303158445020598,,0.12303158445020598,500,summarization_xsum
openai_text-ada-001,0.992,0.035738546543490624,,0.035738546543490624,500,summarization_xsum
openai_text-babbage-001,0.992,0.0459836704041408,,0.0459836704041408,500,summarization_xsum
openai_text-curie-001,0.8507718696397941,0.07257814920702783,,0.07257814920702783,500,summarization_xsum
openai_text-davinci-002,0.8507718696397941,0.13774976382707363,,0.13774976382707363,500,summarization_xsum
openai_text-davinci-003,0.992,0.1137051513070233,,0.1137051513070233,500,summarization_xsum
together_bloom,0.992,0.02903896979577134,,0.02903896979577134,500,summarization_xsum
together_glm,0.992,0.1253561216339793,,0.1253561216339793,500,summarization_xsum
together_gpt-j-6b,0.992,0.0891735324109446,,0.0891735324109446,500,summarization_xsum
together_gpt-neox-20b,0.992,0.10453967664212746,,0.10453967664212746,500,summarization_xsum
together_opt-175b,0.992,0.15265657716863842,,0.15265657716863842,500,summarization_xsum
together_opt-66b,0.992,0.1323227502948433,,0.1323227502948433,500,summarization_xsum
together_t0pp,0.992,0.09090944157506366,,0.09090944157506366,500,summarization_xsum
together_t5-11b,0.992,0.015111351616061638,,0.015111351616061638,500,summarization_xsum
together_ul2,0.992,0.04590546931559228,,0.04590546931559228,500,summarization_xsum
together_yalm,0.992,0.019509391772862993,,0.019509391772862993,500,summarization_xsum
AlephAlpha_luminous-base,1.066,0.11197317822943219,,0.11197317822943219,500,summarization_xsum
AlephAlpha_luminous-extended,1.066,0.12290154847086274,,0.12290154847086274,500,summarization_xsum
AlephAlpha_luminous-supreme,1.066,0.13032674116656545,,0.13032674116656545,500,summarization_xsum
ai21_j1-grande,1.066,0.11250684616094772,,0.11250684616094772,500,summarization_xsum
ai21_j1-grande-v2-beta,1.066,0.14681259620137146,,0.14681259620137146,500,summarization_xsum
ai21_j1-jumbo,1.066,0.12404082388440757,,0.12404082388440757,500,summarization_xsum
ai21_j1-large,1.066,0.10543837043381007,,0.10543837043381007,500,summarization_xsum
anthropic_stanford-online-all-v4-s3,1.066,0.13335901991215188,,0.13335901991215188,500,summarization_xsum
cohere_command-medium-beta,1.066,0.11780198707959962,,0.11780198707959962,500,summarization_xsum
cohere_command-xlarge-beta,1.066,0.15434358580059043,,0.15434358580059043,500,summarization_xsum
cohere_large-20220720,1.066,0.10800049701319324,,0.10800049701319324,500,summarization_xsum
cohere_medium-20220720,1.066,0.07875910449937863,,0.07875910449937863,500,summarization_xsum
cohere_medium-20221108,1.066,0.09267377162354465,,0.09267377162354465,500,summarization_xsum
cohere_small-20220720,1.066,0.03143659842953628,,0.03143659842953628,500,summarization_xsum
cohere_xlarge-20220609,1.066,0.13618857766132209,,0.13618857766132209,500,summarization_xsum
cohere_xlarge-20221108,1.066,0.1489744288149735,,0.1489744288149735,500,summarization_xsum
microsoft_TNLGv2_530B,1.066,0.16324037099786015,,0.16324037099786015,500,summarization_xsum
microsoft_TNLGv2_7B,1.066,0.11258233454797532,,0.11258233454797532,500,summarization_xsum
openai_ada,1.066,0.02419646179072702,,0.02419646179072702,500,summarization_xsum
openai_babbage,1.066,0.046835031776686784,,0.046835031776686784,500,summarization_xsum
openai_curie,0.9111111111111111,0.09605127631003016,,0.09605127631003016,500,summarization_xsum
openai_davinci,0.9111111111111111,0.12392543975465348,,0.12392543975465348,500,summarization_xsum
openai_text-ada-001,1.066,0.03237976364599965,,0.03237976364599965,500,summarization_xsum
openai_text-babbage-001,1.066,0.04665471553540642,,0.04665471553540642,500,summarization_xsum
openai_text-curie-001,0.9111111111111111,0.07912135117032322,,0.07912135117032322,500,summarization_xsum
openai_text-davinci-002,0.9111111111111111,0.14073179687165183,,0.14073179687165183,500,summarization_xsum
openai_text-davinci-003,1.066,0.13001546583646628,,0.13001546583646628,500,summarization_xsum
together_bloom,1.066,0.034065363884995016,,0.034065363884995016,500,summarization_xsum
together_glm,1.066,0.12851259794769848,,0.12851259794769848,500,summarization_xsum
together_gpt-j-6b,1.066,0.09962777596150307,,0.09962777596150307,500,summarization_xsum
together_gpt-neox-20b,1.066,0.10772989409535325,,0.10772989409535325,500,summarization_xsum
together_opt-175b,1.066,0.16344562515884695,,0.16344562515884695,500,summarization_xsum
together_opt-66b,1.066,0.12714842944172047,,0.12714842944172047,500,summarization_xsum
together_t0pp,1.066,0.0911293238957298,,0.0911293238957298,500,summarization_xsum
together_t5-11b,1.066,0.016614055611754764,,0.016614055611754764,500,summarization_xsum
together_ul2,1.066,0.05683304257554126,,0.05683304257554126,500,summarization_xsum
together_yalm,1.066,0.01744586489939344,,0.01744586489939344,500,summarization_xsum
AlephAlpha_luminous-base,1.01,0.11093910223409403,,0.11093910223409403,500,summarization_xsum
AlephAlpha_luminous-extended,1.01,0.12841920293854606,,0.12841920293854606,500,summarization_xsum
AlephAlpha_luminous-supreme,1.01,0.1403854115776472,,0.1403854115776472,500,summarization_xsum
ai21_j1-grande,1.01,0.12543952262888727,,0.12543952262888727,500,summarization_xsum
ai21_j1-grande-v2-beta,1.01,0.14947263896472268,,0.14947263896472268,500,summarization_xsum
ai21_j1-jumbo,1.01,0.1361611000491171,,0.1361611000491171,500,summarization_xsum
ai21_j1-large,1.01,0.10815775658021,,0.10815775658021,500,summarization_xsum
anthropic_stanford-online-all-v4-s3,1.01,0.14178632561625074,,0.14178632561625074,500,summarization_xsum
cohere_command-medium-beta,1.01,0.12401139350431087,,0.12401139350431087,500,summarization_xsum
cohere_command-xlarge-beta,1.01,0.1460459282366698,,0.1460459282366698,500,summarization_xsum
cohere_large-20220720,1.01,0.10685509273846008,,0.10685509273846008,500,summarization_xsum
cohere_medium-20220720,1.01,0.09034223931141618,,0.09034223931141618,500,summarization_xsum
cohere_medium-20221108,1.01,0.09925927703107398,,0.09925927703107398,500,summarization_xsum
cohere_small-20220720,1.01,0.033382595352888754,,0.033382595352888754,500,summarization_xsum
cohere_xlarge-20220609,1.01,0.13353546524857773,,0.13353546524857773,500,summarization_xsum
cohere_xlarge-20221108,1.01,0.15610991492058135,,0.15610991492058135,500,summarization_xsum
microsoft_TNLGv2_530B,1.01,0.1755544394423547,,0.1755544394423547,500,summarization_xsum
microsoft_TNLGv2_7B,1.01,0.10556468298477814,,0.10556468298477814,500,summarization_xsum
openai_ada,1.01,0.027502361504732266,,0.027502361504732266,500,summarization_xsum
openai_babbage,1.01,0.04806828419477772,,0.04806828419477772,500,summarization_xsum
openai_curie,0.8797909407665505,0.09828810904668178,,0.09828810904668178,500,summarization_xsum
openai_davinci,0.8797909407665505,0.1303328370517724,,0.1303328370517724,500,summarization_xsum
openai_text-ada-001,1.01,0.03346325494347953,,0.03346325494347953,500,summarization_xsum
openai_text-babbage-001,1.01,0.04674346278432383,,0.04674346278432383,500,summarization_xsum
openai_text-curie-001,0.8797909407665505,0.07753502038808349,,0.07753502038808349,500,summarization_xsum
