model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
AlephAlpha_luminous-base,1.0121212121212122,0.9378787878787879,,0.9378787878787879,2000,imdb
AlephAlpha_luminous-extended,1.0121212121212122,0.945959595959596,,0.945959595959596,2000,imdb
AlephAlpha_luminous-supreme,1.0121212121212122,0.9621212121212122,,0.9621212121212122,2000,imdb
ai21_j1-grande,1.0121212121212122,0.9535353535353536,,0.9535353535353536,2000,imdb
ai21_j1-grande-v2-beta,1.0121212121212122,0.9611111111111111,,0.9611111111111111,2000,imdb
ai21_j1-jumbo,1.0121212121212122,0.9404040404040404,,0.9404040404040404,2000,imdb
ai21_j1-large,1.0121212121212122,0.9555555555555556,,0.9555555555555556,2000,imdb
anthropic_stanford-online-all-v4-s3,1.0136708860759494,0.9427848101265823,,0.9427848101265823,2000,imdb
cohere_command-medium-beta,1.0121212121212122,0.9570707070707071,,0.9570707070707071,2000,imdb
cohere_command-xlarge-beta,1.0121212121212122,0.9595959595959596,,0.9595959595959596,2000,imdb
cohere_large-20220720,1.0136708860759494,0.9336708860759494,,0.9336708860759494,2000,imdb
cohere_medium-20220720,1.0121212121212122,0.9313131313131313,,0.9313131313131313,2000,imdb
cohere_medium-20221108,1.0121212121212122,0.9313131313131313,,0.9313131313131313,2000,imdb
cohere_small-20220720,1.0136708860759494,0.5731645569620253,,0.5731645569620253,2000,imdb
cohere_xlarge-20220609,1.0121212121212122,0.9545454545454546,,0.9545454545454546,2000,imdb
cohere_xlarge-20221108,1.0121212121212122,0.9545454545454546,,0.9545454545454546,2000,imdb
microsoft_TNLGv2_530B,1.0136708860759494,0.9458227848101266,,0.9458227848101266,2000,imdb
microsoft_TNLGv2_7B,1.0136708860759494,0.9367088607594937,,0.9367088607594937,2000,imdb
openai_ada,1.0121212121212122,0.8398989898989899,,0.8398989898989899,2000,imdb
openai_babbage,1.0121212121212122,0.5994949494949495,,0.5994949494949495,2000,imdb
openai_curie,1.0121212121212122,0.8904040404040404,,0.8904040404040404,2000,imdb
openai_davinci,1.0121212121212122,0.9323232323232323,,0.9323232323232323,2000,imdb
openai_text-ada-001,1.0121212121212122,0.8318181818181818,,0.8318181818181818,2000,imdb
openai_text-babbage-001,1.0121212121212122,0.9090909090909091,,0.9090909090909091,2000,imdb
openai_text-curie-001,1.0121212121212122,0.9212121212121213,,0.9212121212121213,2000,imdb
openai_text-davinci-002,1.0121212121212122,0.947979797979798,,0.947979797979798,2000,imdb
openai_text-davinci-003,1.0121212121212122,0.847979797979798,,0.847979797979798,2000,imdb
together_bloom,1.0136708860759494,0.9473417721518987,,0.9473417721518987,2000,imdb
together_glm,1.0136708860759494,0.9513924050632911,,0.9513924050632911,2000,imdb
together_gpt-j-6b,1.0136708860759494,0.9392405063291139,,0.9392405063291139,2000,imdb
together_gpt-neox-20b,1.0136708860759494,0.9518987341772152,,0.9518987341772152,2000,imdb
together_opt-175b,1.0136708860759494,0.9534177215189873,,0.9534177215189873,2000,imdb
together_opt-66b,1.0136708860759494,0.9225316455696203,,0.9225316455696203,2000,imdb
together_t0pp,1.0136708860759494,0.19949367088607595,,0.19949367088607595,2000,imdb
together_t5-11b,1.0136708860759494,0.3716455696202532,,0.3716455696202532,2000,imdb
together_ul2,1.0136708860759494,0.34582278481012657,,0.34582278481012657,2000,imdb
together_yalm,1.0136708860759494,0.8445569620253165,,0.8445569620253165,2000,imdb
AlephAlpha_luminous-base,1.002023267577137,0.9428426909458776,,0.9428426909458776,2000,imdb
AlephAlpha_luminous-extended,1.002023267577137,0.9453717754172989,,0.9453717754172989,2000,imdb
AlephAlpha_luminous-supreme,1.002023267577137,0.9600404653515427,,0.9600404653515427,2000,imdb
ai21_j1-grande,1.002023267577137,0.9544764795144158,,0.9544764795144158,2000,imdb
ai21_j1-grande-v2-beta,1.002023267577137,0.9564997470915528,,0.9564997470915528,2000,imdb
ai21_j1-jumbo,1.002023267577137,0.9453717754172989,,0.9453717754172989,2000,imdb
