model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
ai21_j1-grande,0.0,0.5220333333333333,,0.5220333333333333,30000,openbookqa
ai21_j1-grande-v2-beta,0.0,0.5587333333333333,,0.5587333333333333,30000,openbookqa
ai21_j1-jumbo,0.0,0.5361666666666667,,0.5361666666666667,30000,openbookqa
ai21_j1-large,0.0,0.5133333333333333,,0.5133333333333333,30000,openbookqa
anthropic_stanford-online-all-v4-s3,0.0,0.5586,,0.5586,30000,openbookqa
cohere_command-medium-beta,0.0,0.5499,,0.5499,30000,openbookqa
cohere_command-xlarge-beta,0.0,0.5856,,0.5856,30000,openbookqa
cohere_large-20220720,0.0,0.5440333333333334,,0.5440333333333334,30000,openbookqa
cohere_medium-20220720,0.0,0.4932666666666667,,0.4932666666666667,30000,openbookqa
cohere_medium-20221108,0.0,0.5364333333333333,,0.5364333333333333,30000,openbookqa
cohere_small-20220720,0.0,0.3457,,0.3457,30000,openbookqa
cohere_xlarge-20220609,0.0,0.5505333333333333,,0.5505333333333333,30000,openbookqa
cohere_xlarge-20221108,0.0,0.5863666666666667,,0.5863666666666667,30000,openbookqa
microsoft_TNLGv2_530B,0.0,0.5624,,0.5624,30000,openbookqa
microsoft_TNLGv2_7B,0.0,0.4807,,0.4807,30000,openbookqa
openai_ada,0.0,0.38056666666666666,,0.38056666666666666,30000,openbookqa
openai_babbage,0.0,0.437,,0.437,30000,openbookqa
openai_curie,0.0,0.5014333333333333,,0.5014333333333333,30000,openbookqa
openai_davinci,0.0,0.5854,,0.5854,30000,openbookqa
openai_text-ada-001,0.0,0.34976666666666667,,0.34976666666666667,30000,openbookqa
openai_text-babbage-001,0.0,0.4548,,0.4548,30000,openbookqa
openai_text-curie-001,0.0,0.5141666666666667,,0.5141666666666667,30000,openbookqa
openai_text-davinci-002,0.0,0.5990333333333333,,0.5990333333333333,30000,openbookqa
openai_text-davinci-003,0.0,0.6503333333333333,,0.6503333333333333,30000,openbookqa
together_bloom,0.0,0.5364,,0.5364,30000,openbookqa
together_gpt-j-6b,0.0,0.5178666666666667,,0.5178666666666667,30000,openbookqa
together_gpt-neox-20b,0.0,0.5243333333333333,,0.5243333333333333,30000,openbookqa
together_opt-175b,0.0,0.5896333333333333,,0.5896333333333333,30000,openbookqa
together_opt-66b,0.0,0.5364666666666666,,0.5364666666666666,30000,openbookqa
ai21_j1-grande,0.0,0.5148,,0.5148,30000,openbookqa
ai21_j1-grande-v2-beta,0.0,0.5488,,0.5488,30000,openbookqa
ai21_j1-jumbo,0.0,0.5260333333333334,,0.5260333333333334,30000,openbookqa
ai21_j1-large,0.0,0.5052,,0.5052,30000,openbookqa
anthropic_stanford-online-all-v4-s3,0.0,0.5512,,0.5512,30000,openbookqa
cohere_command-medium-beta,0.0,0.5462,,0.5462,30000,openbookqa
cohere_command-xlarge-beta,0.0,0.5835666666666667,,0.5835666666666667,30000,openbookqa
cohere_large-20220720,0.0,0.5369,,0.5369,30000,openbookqa
cohere_medium-20220720,0.0,0.4927666666666667,,0.4927666666666667,30000,openbookqa
cohere_medium-20221108,0.0,0.5312,,0.5312,30000,openbookqa
cohere_small-20220720,0.0,0.3459333333333333,,0.3459333333333333,30000,openbookqa
cohere_xlarge-20220609,0.0,0.5486666666666666,,0.5486666666666666,30000,openbookqa
cohere_xlarge-20221108,0.0,0.5821333333333333,,0.5821333333333333,30000,openbookqa
microsoft_TNLGv2_530B,0.0,0.5582333333333334,,0.5582333333333334,30000,openbookqa
microsoft_TNLGv2_7B,0.0,0.47253333333333336,,0.47253333333333336,30000,openbookqa
openai_ada,0.0,0.37766666666666665,,0.37766666666666665,30000,openbookqa
openai_babbage,0.0,0.43583333333333335,,0.43583333333333335,30000,openbookqa
openai_curie,0.0,0.5008,,0.5008,30000,openbookqa
openai_davinci,0.0,0.5816,,0.5816,30000,openbookqa
openai_text-ada-001,0.0,0.34303333333333336,,0.34303333333333336,30000,openbookqa
openai_text-babbage-001,0.0,0.44916666666666666,,0.44916666666666666,30000,openbookqa
openai_text-curie-001,0.0,0.5102666666666666,,0.5102666666666666,30000,openbookqa
openai_text-davinci-002,0.0,0.5898333333333333,,0.5898333333333333,30000,openbookqa
openai_text-davinci-003,0.0,0.6405,,0.6405,30000,openbookqa
together_bloom,0.0,0.5337333333333333,,0.5337333333333333,30000,openbookqa
together_gpt-j-6b,0.0,0.5117333333333334,,0.5117333333333334,30000,openbookqa
together_gpt-neox-20b,0.0,0.5221,,0.5221,30000,openbookqa
together_opt-175b,0.0,0.5838333333333333,,0.5838333333333333,30000,openbookqa
together_opt-66b,0.0,0.5329666666666667,,0.5329666666666667,30000,openbookqa
ai21_j1-grande,0.0,0.5215,,0.5215,30000,openbookqa
ai21_j1-grande-v2-beta,0.0,0.5629333333333333,,0.5629333333333333,30000,openbookqa
ai21_j1-jumbo,0.0,0.5380666666666667,,0.5380666666666667,30000,openbookqa
ai21_j1-large,0.0,0.5188333333333334,,0.5188333333333334,30000,openbookqa
anthropic_stanford-online-all-v4-s3,0.0,0.5558666666666666,,0.5558666666666666,30000,openbookqa
cohere_command-medium-beta,0.0,0.5472666666666667,,0.5472666666666667,30000,openbookqa
cohere_command-xlarge-beta,0.0,0.5841333333333333,,0.5841333333333333,30000,openbookqa
cohere_large-20220720,0.0,0.541,,0.541,30000,openbookqa
cohere_medium-20220720,0.0,0.4945,,0.4945,30000,openbookqa
cohere_medium-20221108,0.0,0.5429333333333334,,0.5429333333333334,30000,openbookqa
cohere_small-20220720,0.0,0.3475,,0.3475,30000,openbookqa
cohere_xlarge-20220609,0.0,0.5494,,0.5494,30000,openbookqa
cohere_xlarge-20221108,0.0,0.5910333333333333,,0.5910333333333333,30000,openbookqa
microsoft_TNLGv2_530B,0.0,0.5606,,0.5606,30000,openbookqa
microsoft_TNLGv2_7B,0.0,0.47856666666666664,,0.47856666666666664,30000,openbookqa
openai_ada,0.0,0.3801333333333333,,0.3801333333333333,30000,openbookqa
openai_babbage,0.0,0.4418,,0.4418,30000,openbookqa
openai_curie,0.0,0.5038666666666667,,0.5038666666666667,30000,openbookqa
openai_davinci,0.0,0.5872666666666667,,0.5872666666666667,30000,openbookqa
openai_text-ada-001,0.0,0.34923333333333334,,0.34923333333333334,30000,openbookqa
openai_text-babbage-001,0.0,0.4539666666666667,,0.4539666666666667,30000,openbookqa
openai_text-curie-001,0.0,0.5149,,0.5149,30000,openbookqa
openai_text-davinci-002,0.0,0.5948333333333333,,0.5948333333333333,30000,openbookqa
openai_text-davinci-003,0.0,0.6502,,0.6502,30000,openbookqa
together_bloom,0.0,0.5331333333333333,,0.5331333333333333,30000,openbookqa
together_gpt-j-6b,0.0,0.5130333333333333,,0.5130333333333333,30000,openbookqa
together_gpt-neox-20b,0.0,0.5240333333333334,,0.5240333333333334,30000,openbookqa
together_opt-175b,0.0,0.5855333333333334,,0.5855333333333334,30000,openbookqa
together_opt-66b,0.0,0.5325,,0.5325,30000,openbookqa
ai21_j1-grande,0.0,0.5174333333333333,,0.5174333333333333,30000,openbookqa
ai21_j1-grande-v2-beta,0.0,0.5625666666666667,,0.5625666666666667,30000,openbookqa
ai21_j1-jumbo,0.0,0.5365,,0.5365,30000,openbookqa
ai21_j1-large,0.0,0.5091333333333333,,0.5091333333333333,30000,openbookqa
anthropic_stanford-online-all-v4-s3,0.0,0.5603,,0.5603,30000,openbookqa
cohere_command-medium-beta,0.0,0.5487666666666666,,0.5487666666666666,30000,openbookqa
cohere_command-xlarge-beta,0.0,0.5845,,0.5845,30000,openbookqa
cohere_large-20220720,0.0,0.5386666666666666,,0.5386666666666666,30000,openbookqa
cohere_medium-20220720,0.0,0.4927,,0.4927,30000,openbookqa
cohere_medium-20221108,0.0,0.5385333333333333,,0.5385333333333333,30000,openbookqa
cohere_small-20220720,0.0,0.3438,,0.3438,30000,openbookqa
cohere_xlarge-20220609,0.0,0.5498666666666666,,0.5498666666666666,30000,openbookqa
cohere_xlarge-20221108,0.0,0.5893666666666667,,0.5893666666666667,30000,openbookqa
microsoft_TNLGv2_530B,0.0,0.5659,,0.5659,30000,openbookqa
microsoft_TNLGv2_7B,0.0,0.47856666666666664,,0.47856666666666664,30000,openbookqa
openai_ada,0.0,0.37543333333333334,,0.37543333333333334,30000,openbookqa
openai_babbage,0.0,0.43566666666666665,,0.43566666666666665,30000,openbookqa
openai_curie,0.0,0.4992,,0.4992,30000,openbookqa
openai_davinci,0.0,0.5876666666666667,,0.5876666666666667,30000,openbookqa
openai_text-ada-001,0.0,0.35046666666666665,,0.35046666666666665,30000,openbookqa
openai_text-babbage-001,0.0,0.44813333333333333,,0.44813333333333333,30000,openbookqa
openai_text-curie-001,0.0,0.5127666666666667,,0.5127666666666667,30000,openbookqa
openai_text-davinci-002,0.0,0.5953666666666667,,0.5953666666666667,30000,openbookqa
openai_text-davinci-003,0.0,0.6428666666666667,,0.6428666666666667,30000,openbookqa
together_bloom,0.0,0.5337666666666666,,0.5337666666666666,30000,openbookqa
together_gpt-j-6b,0.0,0.5115333333333333,,0.5115333333333333,30000,openbookqa
together_gpt-neox-20b,0.0,0.5262333333333333,,0.5262333333333333,30000,openbookqa
together_opt-175b,0.0,0.5860333333333333,,0.5860333333333333,30000,openbookqa
together_opt-66b,0.0,0.5382333333333333,,0.5382333333333333,30000,openbookqa
ai21_j1-grande,0.0,0.5186,,0.5186,30000,openbookqa
ai21_j1-grande-v2-beta,0.0,0.5569333333333333,,0.5569333333333333,30000,openbookqa
ai21_j1-jumbo,0.0,0.5337666666666666,,0.5337666666666666,30000,openbookqa
ai21_j1-large,0.0,0.5075333333333333,,0.5075333333333333,30000,openbookqa
anthropic_stanford-online-all-v4-s3,0.0,0.5571333333333334,,0.5571333333333334,30000,openbookqa
cohere_command-medium-beta,0.0,0.5496666666666666,,0.5496666666666666,30000,openbookqa
cohere_command-xlarge-beta,0.0,0.5806333333333333,,0.5806333333333333,30000,openbookqa
cohere_large-20220720,0.0,0.5410333333333334,,0.5410333333333334,30000,openbookqa
cohere_medium-20220720,0.0,0.4929,,0.4929,30000,openbookqa
cohere_medium-20221108,0.0,0.5357333333333333,,0.5357333333333333,30000,openbookqa
cohere_small-20220720,0.0,0.3481666666666667,,0.3481666666666667,30000,openbookqa
cohere_xlarge-20220609,0.0,0.5484666666666667,,0.5484666666666667,30000,openbookqa
cohere_xlarge-20221108,0.0,0.5866666666666667,,0.5866666666666667,30000,openbookqa
microsoft_TNLGv2_530B,0.0,0.5586333333333333,,0.5586333333333333,30000,openbookqa
microsoft_TNLGv2_7B,0.0,0.4755333333333333,,0.4755333333333333,30000,openbookqa
openai_ada,0.0,0.3771333333333333,,0.3771333333333333,30000,openbookqa
openai_babbage,0.0,0.4399,,0.4399,30000,openbookqa
openai_curie,0.0,0.5007333333333334,,0.5007333333333334,30000,openbookqa
openai_davinci,0.0,0.5839333333333333,,0.5839333333333333,30000,openbookqa
openai_text-ada-001,0.0,0.34386666666666665,,0.34386666666666665,30000,openbookqa
openai_text-babbage-001,0.0,0.45476666666666665,,0.45476666666666665,30000,openbookqa
openai_text-curie-001,0.0,0.5147333333333334,,0.5147333333333334,30000,openbookqa
openai_text-davinci-002,0.0,0.5914333333333334,,0.5914333333333334,30000,openbookqa
openai_text-davinci-003,0.0,0.6496,,0.6496,30000,openbookqa
together_bloom,0.0,0.5352666666666667,,0.5352666666666667,30000,openbookqa
together_gpt-j-6b,0.0,0.5109,,0.5109,30000,openbookqa
together_gpt-neox-20b,0.0,0.5189333333333334,,0.5189333333333334,30000,openbookqa
together_opt-175b,0.0,0.5847,,0.5847,30000,openbookqa
together_opt-66b,0.0,0.5289666666666667,,0.5289666666666667,30000,openbookqa
ai21_j1-grande,0.0,0.5230666666666667,,0.5230666666666667,30000,openbookqa
ai21_j1-grande-v2-beta,0.0,0.5578666666666666,,0.5578666666666666,30000,openbookqa
ai21_j1-jumbo,0.0,0.5348666666666667,,0.5348666666666667,30000,openbookqa
ai21_j1-large,0.0,0.5191666666666667,,0.5191666666666667,30000,openbookqa
anthropic_stanford-online-all-v4-s3,0.0,0.5592333333333334,,0.5592333333333334,30000,openbookqa
cohere_command-medium-beta,0.0,0.5486666666666666,,0.5486666666666666,30000,openbookqa
cohere_command-xlarge-beta,0.0,0.5811,,0.5811,30000,openbookqa
cohere_large-20220720,0.0,0.544,,0.544,30000,openbookqa
cohere_medium-20220720,0.0,0.497,,0.497,30000,openbookqa
cohere_medium-20221108,0.0,0.5395,,0.5395,30000,openbookqa
cohere_small-20220720,0.0,0.35083333333333333,,0.35083333333333333,30000,openbookqa
cohere_xlarge-20220609,0.0,0.5541333333333334,,0.5541333333333334,30000,openbookqa
cohere_xlarge-20221108,0.0,0.5895333333333334,,0.5895333333333334,30000,openbookqa
microsoft_TNLGv2_530B,0.0,0.563,,0.563,30000,openbookqa
microsoft_TNLGv2_7B,0.0,0.4815333333333333,,0.4815333333333333,30000,openbookqa
openai_ada,0.0,0.38743333333333335,,0.38743333333333335,30000,openbookqa
openai_babbage,0.0,0.4413,,0.4413,30000,openbookqa
openai_curie,0.0,0.5026666666666667,,0.5026666666666667,30000,openbookqa
openai_davinci,0.0,0.5864,,0.5864,30000,openbookqa
openai_text-ada-001,0.0,0.34746666666666665,,0.34746666666666665,30000,openbookqa
openai_text-babbage-001,0.0,0.4580666666666667,,0.4580666666666667,30000,openbookqa
openai_text-curie-001,0.0,0.5138333333333334,,0.5138333333333334,30000,openbookqa
openai_text-davinci-002,0.0,0.5939666666666666,,0.5939666666666666,30000,openbookqa
openai_text-davinci-003,0.0,0.6468333333333334,,0.6468333333333334,30000,openbookqa
together_bloom,0.0,0.5378333333333334,,0.5378333333333334,30000,openbookqa
together_gpt-j-6b,0.0,0.5174666666666666,,0.5174666666666666,30000,openbookqa
together_gpt-neox-20b,0.0,0.5224666666666666,,0.5224666666666666,30000,openbookqa
together_opt-175b,0.0,0.5887333333333333,,0.5887333333333333,30000,openbookqa
