model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
AlephAlpha_luminous-base,0.9926666666666667,0.33003069648376954,,0.33003069648376954,1500,quac
AlephAlpha_luminous-extended,0.9926666666666667,0.33855291450165875,,0.33855291450165875,1500,quac
AlephAlpha_luminous-supreme,0.9926666666666667,0.36285818070440534,,0.36285818070440534,1500,quac
ai21_j1-grande,0.9926666666666667,0.37656999305693245,,0.37656999305693245,1500,quac
ai21_j1-grande-v2-beta,0.9926666666666667,0.40527435441538856,,0.40527435441538856,1500,quac
ai21_j1-jumbo,0.9926666666666667,0.3679643071596102,,0.3679643071596102,1500,quac
ai21_j1-large,0.9926666666666667,0.3283006400315535,,0.3283006400315535,1500,quac
anthropic_stanford-online-all-v4-s3,0.9926666666666667,0.42771581842535306,,0.42771581842535306,1500,quac
cohere_command-medium-beta,0.9926666666666667,0.36156598119456407,,0.36156598119456407,1500,quac
cohere_command-xlarge-beta,0.9926666666666667,0.4288922952422008,,0.4288922952422008,1500,quac
cohere_large-20220720,0.9926666666666667,0.3537103870860112,,0.3537103870860112,1500,quac
cohere_medium-20220720,0.9926666666666667,0.2777397061372605,,0.2777397061372605,1500,quac
cohere_medium-20221108,0.9926666666666667,0.31743103008834483,,0.31743103008834483,1500,quac
cohere_small-20220720,0.9926666666666667,0.22749272789442568,,0.22749272789442568,1500,quac
cohere_xlarge-20220609,0.9926666666666667,0.3655081542983699,,0.3655081542983699,1500,quac
cohere_xlarge-20221108,0.9926666666666667,0.37678918326993,,0.37678918326993,1500,quac
microsoft_TNLGv2_530B,0.9926666666666667,0.3859327546136302,,0.3859327546136302,1500,quac
microsoft_TNLGv2_7B,0.9926666666666667,0.352477826784437,,0.352477826784437,1500,quac
openai_ada,0.9926666666666667,0.25422602999369986,,0.25422602999369986,1500,quac
openai_babbage,0.9926666666666667,0.2788617193175672,,0.2788617193175672,1500,quac
openai_curie,0.9926666666666667,0.32604921289459055,,0.32604921289459055,1500,quac
openai_davinci,0.9926666666666667,0.36110573309585153,,0.36110573309585153,1500,quac
openai_text-ada-001,0.9926666666666667,0.1783506227173125,,0.1783506227173125,1500,quac
openai_text-babbage-001,0.9926666666666667,0.2954695155963083,,0.2954695155963083,1500,quac
openai_text-curie-001,0.9926666666666667,0.361084242392496,,0.361084242392496,1500,quac
openai_text-davinci-002,0.9926666666666667,0.4366331189877659,,0.4366331189877659,1500,quac
openai_text-davinci-003,0.9926666666666667,0.5299121159964135,,0.5299121159964135,1500,quac
together_bloom,0.9926666666666667,0.3761383346701872,,0.3761383346701872,1500,quac
together_glm,0.9926666666666667,0.2653319370553113,,0.2653319370553113,1500,quac
together_gpt-j-6b,0.9926666666666667,0.3333816594219914,,0.3333816594219914,1500,quac
together_gpt-neox-20b,0.9926666666666667,0.3393953823576709,,0.3393953823576709,1500,quac
together_opt-175b,0.9926666666666667,0.36305751034551836,,0.36305751034551836,1500,quac
together_opt-66b,0.9926666666666667,0.35672296232870665,,0.35672296232870665,1500,quac
together_t0pp,0.9926666666666667,0.12107919799224191,,0.12107919799224191,1500,quac
together_t5-11b,0.9926666666666667,0.11700657392633092,,0.11700657392633092,1500,quac
together_ul2,0.9926666666666667,0.1526442603077614,,0.1526442603077614,1500,quac
together_yalm,0.9926666666666667,0.16551349618776326,,0.16551349618776326,1500,quac
AlephAlpha_luminous-base,1.0126666666666666,0.34369691703504357,,0.34369691703504357,1500,quac
AlephAlpha_luminous-extended,1.0126666666666666,0.3485752714641908,,0.3485752714641908,1500,quac
AlephAlpha_luminous-supreme,1.0126666666666666,0.38057513020994294,,0.38057513020994294,1500,quac
ai21_j1-grande,1.0126666666666666,0.36480819164424155,,0.36480819164424155,1500,quac
ai21_j1-grande-v2-beta,1.0126666666666666,0.38661266049180765,,0.38661266049180765,1500,quac
ai21_j1-jumbo,1.0126666666666666,0.3614874018473978,,0.3614874018473978,1500,quac
ai21_j1-large,1.0126666666666666,0.33824918428882755,,0.33824918428882755,1500,quac
anthropic_stanford-online-all-v4-s3,1.0126666666666666,0.4497223445188613,,0.4497223445188613,1500,quac
cohere_command-medium-beta,1.0126666666666666,0.37479519389870186,,0.37479519389870186,1500,quac
cohere_command-xlarge-beta,1.0126666666666666,0.43244662990295457,,0.43244662990295457,1500,quac
cohere_large-20220720,1.0126666666666666,0.3228432469613245,,0.3228432469613245,1500,quac
cohere_medium-20220720,1.0126666666666666,0.27660549030582227,,0.27660549030582227,1500,quac
cohere_medium-20221108,1.0126666666666666,0.32395337295712195,,0.32395337295712195,1500,quac
cohere_small-20220720,1.0126666666666666,0.23090764236706596,,0.23090764236706596,1500,quac
cohere_xlarge-20220609,1.0126666666666666,0.3561518048855838,,0.3561518048855838,1500,quac
cohere_xlarge-20221108,1.0126666666666666,0.3823777527125389,,0.3823777527125389,1500,quac
microsoft_TNLGv2_530B,1.0126666666666666,0.38583812563376585,,0.38583812563376585,1500,quac
microsoft_TNLGv2_7B,1.0126666666666666,0.3402586953318889,,0.3402586953318889,1500,quac
openai_ada,1.0126666666666666,0.24845759085845512,,0.24845759085845512,1500,quac
