model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
AlephAlpha_luminous-base,0.9915,0.178,,0.178,2000,truthful_qa
AlephAlpha_luminous-extended,0.9915,0.2265,,0.2265,2000,truthful_qa
AlephAlpha_luminous-supreme,0.9915,0.221,,0.221,2000,truthful_qa
ai21_j1-grande,0.9915,0.207,,0.207,2000,truthful_qa
ai21_j1-grande-v2-beta,0.9915,0.3125,,0.3125,2000,truthful_qa
ai21_j1-jumbo,0.9915,0.1715,,0.1715,2000,truthful_qa
ai21_j1-large,0.9915,0.201,,0.201,2000,truthful_qa
anthropic_stanford-online-all-v4-s3,0.7363535090976606,0.3739324173783884,,0.3739324173783884,2000,truthful_qa
cohere_command-medium-beta,0.9915,0.2025,,0.2025,2000,truthful_qa
cohere_command-xlarge-beta,0.9915,0.277,,0.277,2000,truthful_qa
cohere_large-20220720,0.9915,0.182,,0.182,2000,truthful_qa
cohere_medium-20220720,0.9915,0.197,,0.197,2000,truthful_qa
cohere_medium-20221108,0.9915,0.238,,0.238,2000,truthful_qa
cohere_small-20220720,0.9915,0.215,,0.215,2000,truthful_qa
cohere_xlarge-20220609,0.9915,0.19,,0.19,2000,truthful_qa
cohere_xlarge-20221108,0.9915,0.1685,,0.1685,2000,truthful_qa
microsoft_TNLGv2_530B,0.9915,0.261,,0.261,2000,truthful_qa
microsoft_TNLGv2_7B,0.9915,0.1505,,0.1505,2000,truthful_qa
openai_ada,0.9915,0.2155,,0.2155,2000,truthful_qa
openai_babbage,0.9915,0.193,,0.193,2000,truthful_qa
openai_curie,0.9915,0.253,,0.253,2000,truthful_qa
openai_davinci,0.9915,0.1845,,0.1845,2000,truthful_qa
openai_text-ada-001,0.9915,0.236,,0.236,2000,truthful_qa
openai_text-babbage-001,0.9915,0.243,,0.243,2000,truthful_qa
openai_text-curie-001,0.9915,0.283,,0.283,2000,truthful_qa
openai_text-davinci-002,0.9915,0.635,,0.635,2000,truthful_qa
openai_text-davinci-003,0.9915,0.6105,,0.6105,2000,truthful_qa
together_bloom,0.7363535090976606,0.1994058670627553,,0.1994058670627553,2000,truthful_qa
together_glm,0.7363535090976606,0.22020051986632008,,0.22020051986632008,2000,truthful_qa
together_gpt-j-6b,0.7363535090976606,0.21611585592276272,,0.21611585592276272,2000,truthful_qa
