,model,balanced_score,n_samples,trial_num,win_rate,scenario
0,ai21_j1-grande,0.3370006758008685,1000,0,0.2857142857142857,msmarco:track=trec
1,ai21_j1-grande-v2-beta,0.4639372432180641,1000,0,0.6428571428571429,msmarco:track=trec
2,ai21_j1-jumbo,0.3664981832780246,1000,0,0.35714285714285715,msmarco:track=trec
3,ai21_j1-large,0.2960280769823596,1000,0,0.03571428571428571,msmarco:track=trec
4,anthropic_stanford-online-all-v4-s3,0.6482033859565077,1000,0,0.8928571428571429,msmarco:track=trec
5,cohere_command-medium-beta,0.7062268954016491,1000,0,0.9642857142857143,msmarco:track=trec
6,cohere_command-xlarge-beta,0.7601725888285206,1000,0,1.0,msmarco:track=trec
7,cohere_large-20220720,0.3234076602589653,1000,0,0.21428571428571427,msmarco:track=trec
8,cohere_medium-20220720,0.3744978387506789,1000,0,0.39285714285714285,msmarco:track=trec
9,cohere_medium-20221108,0.3821128336322548,1000,0,0.4642857142857143,msmarco:track=trec
10,cohere_small-20220720,0.3067291955115994,1000,0,0.10714285714285714,msmarco:track=trec
11,cohere_xlarge-20220609,0.4654861791535782,1000,0,0.6785714285714286,msmarco:track=trec
12,cohere_xlarge-20221108,0.5499431203562313,1000,0,0.7857142857142857,msmarco:track=trec
13,microsoft_TNLGv2_530B,0.6427648506014731,1000,0,0.8214285714285714,msmarco:track=trec
14,microsoft_TNLGv2_7B,0.3349952081042347,1000,0,0.25,msmarco:track=trec
15,openai_ada,0.2946401932942917,1000,0,0.0,msmarco:track=trec
16,openai_babbage,0.3165729924425233,1000,0,0.17857142857142858,msmarco:track=trec
17,openai_curie,0.2994390946082048,1000,0,0.07142857142857142,msmarco:track=trec
18,openai_davinci,0.378941054501154,1000,0,0.42857142857142855,msmarco:track=trec
19,openai_text-ada-001,0.3103825380740646,1000,0,0.14285714285714285,msmarco:track=trec
20,openai_text-babbage-001,0.4469606879128938,1000,0,0.6071428571428571,msmarco:track=trec
21,openai_text-curie-001,0.5116464565041877,1000,0,0.75,msmarco:track=trec
22,openai_text-davinci-002,0.6623651507511671,1000,0,0.9285714285714286,msmarco:track=trec
23,openai_text-davinci-003,0.6460068829622799,1000,0,0.8571428571428571,msmarco:track=trec
24,together_bloom,0.3873858281334456,1000,0,0.5,msmarco:track=trec
25,together_gpt-j-6b,0.3396948281655811,1000,0,0.32142857142857145,msmarco:track=trec
26,together_gpt-neox-20b,0.4137279210915148,1000,0,0.5357142857142857,msmarco:track=trec
27,together_opt-175b,0.4424758540852524,1000,0,0.5714285714285714,msmarco:track=trec
28,together_opt-66b,0.4919993547044651,1000,0,0.7142857142857143,msmarco:track=trec
0,ai21_j1-grande,0.3399875245769042,1000,1,0.2857142857142857,msmarco:track=trec
1,ai21_j1-grande-v2-beta,0.4538431949473211,1000,1,0.6071428571428571,msmarco:track=trec
2,ai21_j1-jumbo,0.3634960857723671,1000,1,0.35714285714285715,msmarco:track=trec
3,ai21_j1-large,0.2927376889295061,1000,1,0.03571428571428571,msmarco:track=trec
4,anthropic_stanford-online-all-v4-s3,0.6527458892013904,1000,1,0.8928571428571429,msmarco:track=trec
5,cohere_command-medium-beta,0.7134625447688071,1000,1,0.9642857142857143,msmarco:track=trec
6,cohere_command-xlarge-beta,0.7613091887444917,1000,1,1.0,msmarco:track=trec
7,cohere_large-20220720,0.3310372073528577,1000,1,0.25,msmarco:track=trec
8,cohere_medium-20220720,0.3728228949437334,1000,1,0.39285714285714285,msmarco:track=trec
9,cohere_medium-20221108,0.3748166288424262,1000,1,0.42857142857142855,msmarco:track=trec
10,cohere_small-20220720,0.3017824487103856,1000,1,0.14285714285714285,msmarco:track=trec
11,cohere_xlarge-20220609,0.4613421508243389,1000,1,0.6785714285714286,msmarco:track=trec
12,cohere_xlarge-20221108,0.5460384035707476,1000,1,0.7857142857142857,msmarco:track=trec
13,microsoft_TNLGv2_530B,0.6465239843557815,1000,1,0.8571428571428571,msmarco:track=trec
14,microsoft_TNLGv2_7B,0.3290768388020268,1000,1,0.21428571428571427,msmarco:track=trec
15,openai_ada,0.2868651554834138,1000,1,0.0,msmarco:track=trec
16,openai_babbage,0.3170093561637257,1000,1,0.17857142857142858,msmarco:track=trec
17,openai_curie,0.2949612936825234,1000,1,0.07142857142857142,msmarco:track=trec
18,openai_davinci,0.3766050843617282,1000,1,0.4642857142857143,msmarco:track=trec
19,openai_text-ada-001,0.2958330645551614,1000,1,0.10714285714285714,msmarco:track=trec
20,openai_text-babbage-001,0.4396885851349451,1000,1,0.5714285714285714,msmarco:track=trec
21,openai_text-curie-001,0.5024907112610784,1000,1,0.75,msmarco:track=trec
22,openai_text-davinci-002,0.6672878452428354,1000,1,0.9285714285714286,msmarco:track=trec
23,openai_text-davinci-003,0.6438228116062424,1000,1,0.8214285714285714,msmarco:track=trec
24,together_bloom,0.3864850808616235,1000,1,0.5,msmarco:track=trec
25,together_gpt-j-6b,0.3481227873885309,1000,1,0.32142857142857145,msmarco:track=trec
26,together_gpt-neox-20b,0.3940375932434847,1000,1,0.5357142857142857,msmarco:track=trec
27,together_opt-175b,0.4538965818650041,1000,1,0.6428571428571429,msmarco:track=trec
28,together_opt-66b,0.4740606249789694,1000,1,0.7142857142857143,msmarco:track=trec
0,ai21_j1-grande,0.3473992078137955,1000,2,0.2857142857142857,msmarco:track=trec
1,ai21_j1-grande-v2-beta,0.4655276236953344,1000,2,0.6428571428571429,msmarco:track=trec
