,model,balanced_score,n_samples,trial_num,win_rate,scenario
0,AlephAlpha_luminous-base,0.1073863015832056,150,0,0.4722222222222222,summarization_xsum
1,AlephAlpha_luminous-extended,0.1284893034472462,150,0,0.6666666666666666,summarization_xsum
2,AlephAlpha_luminous-supreme,0.1448810509384427,150,0,0.8333333333333334,summarization_xsum
3,ai21_j1-grande,0.1154688536804862,150,0,0.5277777777777778,summarization_xsum
4,ai21_j1-grande-v2-beta,0.1512353761258706,150,0,0.8888888888888888,summarization_xsum
5,ai21_j1-jumbo,0.1369143515810396,150,0,0.7777777777777778,summarization_xsum
6,ai21_j1-large,0.1013719154639055,150,0,0.4444444444444444,summarization_xsum
7,anthropic_stanford-online-all-v4-s3,0.1329885441958444,150,0,0.7222222222222222,summarization_xsum
8,cohere_command-medium-beta,0.1204866495481421,150,0,0.5833333333333334,summarization_xsum
9,cohere_command-xlarge-beta,0.1557041859551563,150,0,0.9166666666666666,summarization_xsum
10,cohere_large-20220720,0.1077336852791339,150,0,0.5,summarization_xsum
11,cohere_medium-20220720,0.0973900571843756,150,0,0.3888888888888889,summarization_xsum
12,cohere_medium-20221108,0.0971324185655518,150,0,0.3611111111111111,summarization_xsum
13,cohere_small-20220720,0.0347171566831041,150,0,0.1111111111111111,summarization_xsum
14,cohere_xlarge-20220609,0.1427827148621241,150,0,0.8055555555555556,summarization_xsum
15,cohere_xlarge-20221108,0.1622208836006528,150,0,0.9722222222222222,summarization_xsum
16,microsoft_TNLGv2_530B,0.1663368265809455,150,0,1.0,summarization_xsum
17,microsoft_TNLGv2_7B,0.1248147123289769,150,0,0.6111111111111112,summarization_xsum
18,openai_ada,0.0280196981663142,150,0,0.05555555555555555,summarization_xsum
19,openai_babbage,0.0483356346991874,150,0,0.16666666666666666,summarization_xsum
20,openai_curie,0.0908005603212262,150,0,0.2777777777777778,summarization_xsum
21,openai_davinci,0.1261875267452704,150,0,0.6388888888888888,summarization_xsum
22,openai_text-ada-001,0.0335121787701416,150,0,0.08333333333333333,summarization_xsum
23,openai_text-babbage-001,0.0483516340099507,150,0,0.19444444444444445,summarization_xsum
24,openai_text-curie-001,0.0786968019198791,150,0,0.25,summarization_xsum
25,openai_text-davinci-002,0.1492699795302308,150,0,0.8611111111111112,summarization_xsum
26,openai_text-davinci-003,0.1197498253290854,150,0,0.5555555555555556,summarization_xsum
27,together_bloom,0.0421533150578295,150,0,0.1388888888888889,summarization_xsum
28,together_glm,0.1342708392321099,150,0,0.75,summarization_xsum
29,together_gpt-j-6b,0.0970423851147989,150,0,0.3333333333333333,summarization_xsum
