model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
ai21_j2-grande,0.9693333333333334,0.9533333333333334,,0.9533333333333334,1500,boolq
ai21_j2-jumbo,0.9693333333333334,0.9533333333333334,,0.9533333333333334,1500,boolq
ai21_j2-large,0.9693333333333334,0.8886666666666667,,0.8886666666666667,1500,boolq
openai_gpt-3.5-turbo-0301,0.9693333333333334,0.8826666666666667,,0.8826666666666667,1500,boolq
together_redpajama-incite-base-3b-v1,0.0,0.7274436090225563,,0.7274436090225563,1500,boolq
writer_palmyra-instruct-30,0.9693333333333334,0.832,,0.832,1500,boolq
writer_palmyra-x,0.9693333333333334,0.9866666666666667,,0.9866666666666667,1500,boolq
ai21_j2-grande,0.9693333333333334,0.9533333333333334,,0.9533333333333334,1500,boolq
ai21_j2-jumbo,0.9693333333333334,0.9533333333333334,,0.9533333333333334,1500,boolq
ai21_j2-large,0.9693333333333334,0.8886666666666667,,0.8886666666666667,1500,boolq
openai_gpt-3.5-turbo-0301,0.9693333333333334,0.8826666666666667,,0.8826666666666667,1500,boolq
together_redpajama-incite-base-3b-v1,0.0,0.7274436090225563,,0.7274436090225563,1500,boolq
writer_palmyra-instruct-30,0.9693333333333334,0.832,,0.832,1500,boolq
writer_palmyra-x,0.9693333333333334,0.9866666666666667,,0.9866666666666667,1500,boolq
ai21_j2-grande,0.9693333333333334,0.9533333333333334,,0.9533333333333334,1500,boolq
ai21_j2-jumbo,0.9693333333333334,0.9533333333333334,,0.9533333333333334,1500,boolq
ai21_j2-large,0.9693333333333334,0.8886666666666667,,0.8886666666666667,1500,boolq
openai_gpt-3.5-turbo-0301,0.9693333333333334,0.8826666666666667,,0.8826666666666667,1500,boolq
together_redpajama-incite-base-3b-v1,0.0,0.7274436090225563,,0.7274436090225563,1500,boolq
writer_palmyra-instruct-30,0.9693333333333334,0.832,,0.832,1500,boolq
writer_palmyra-x,0.9693333333333334,0.9866666666666667,,0.9866666666666667,1500,boolq
ai21_j2-grande,0.9693333333333334,0.9533333333333334,,0.9533333333333334,1500,boolq
ai21_j2-jumbo,0.9693333333333334,0.9533333333333334,,0.9533333333333334,1500,boolq
ai21_j2-large,0.9693333333333334,0.8886666666666667,,0.8886666666666667,1500,boolq
openai_gpt-3.5-turbo-0301,0.9693333333333334,0.8826666666666667,,0.8826666666666667,1500,boolq
together_redpajama-incite-base-3b-v1,0.0,0.7274436090225563,,0.7274436090225563,1500,boolq
writer_palmyra-instruct-30,0.9693333333333334,0.832,,0.832,1500,boolq
writer_palmyra-x,0.9693333333333334,0.9866666666666667,,0.9866666666666667,1500,boolq
ai21_j2-grande,0.9693333333333334,0.9533333333333334,,0.9533333333333334,1500,boolq
ai21_j2-jumbo,0.9693333333333334,0.9533333333333334,,0.9533333333333334,1500,boolq
ai21_j2-large,0.9693333333333334,0.8886666666666667,,0.8886666666666667,1500,boolq
openai_gpt-3.5-turbo-0301,0.9693333333333334,0.8826666666666667,,0.8826666666666667,1500,boolq
together_redpajama-incite-base-3b-v1,0.0,0.7274436090225563,,0.7274436090225563,1500,boolq
writer_palmyra-instruct-30,0.9693333333333334,0.832,,0.832,1500,boolq
writer_palmyra-x,0.9693333333333334,0.9866666666666667,,0.9866666666666667,1500,boolq
ai21_j2-grande,0.9693333333333334,0.9533333333333334,,0.9533333333333334,1500,boolq
ai21_j2-jumbo,0.9693333333333334,0.9533333333333334,,0.9533333333333334,1500,boolq
ai21_j2-large,0.9693333333333334,0.8886666666666667,,0.8886666666666667,1500,boolq
openai_gpt-3.5-turbo-0301,0.9693333333333334,0.8826666666666667,,0.8826666666666667,1500,boolq
together_redpajama-incite-base-3b-v1,0.0,0.7274436090225563,,0.7274436090225563,1500,boolq
writer_palmyra-instruct-30,0.9693333333333334,0.832,,0.832,1500,boolq
writer_palmyra-x,0.9693333333333334,0.9866666666666667,,0.9866666666666667,1500,boolq
ai21_j2-grande,0.9693333333333334,0.9533333333333334,,0.9533333333333334,1500,boolq
ai21_j2-jumbo,0.9693333333333334,0.9533333333333334,,0.9533333333333334,1500,boolq
ai21_j2-large,0.9693333333333334,0.8886666666666667,,0.8886666666666667,1500,boolq
openai_gpt-3.5-turbo-0301,0.9693333333333334,0.8826666666666667,,0.8826666666666667,1500,boolq
together_redpajama-incite-base-3b-v1,0.0,0.7274436090225563,,0.7274436090225563,1500,boolq
writer_palmyra-instruct-30,0.9693333333333334,0.832,,0.832,1500,boolq
writer_palmyra-x,0.9693333333333334,0.9866666666666667,,0.9866666666666667,1500,boolq
ai21_j2-grande,0.9693333333333334,0.9533333333333334,,0.9533333333333334,1500,boolq
ai21_j2-jumbo,0.9693333333333334,0.9533333333333334,,0.9533333333333334,1500,boolq
ai21_j2-large,0.9693333333333334,0.8886666666666667,,0.8886666666666667,1500,boolq
openai_gpt-3.5-turbo-0301,0.9693333333333334,0.8826666666666667,,0.8826666666666667,1500,boolq
together_redpajama-incite-base-3b-v1,0.0,0.7274436090225563,,0.7274436090225563,1500,boolq
writer_palmyra-instruct-30,0.9693333333333334,0.832,,0.832,1500,boolq
writer_palmyra-x,0.9693333333333334,0.9866666666666667,,0.9866666666666667,1500,boolq
ai21_j2-grande,0.9693333333333334,0.9533333333333334,,0.9533333333333334,1500,boolq
ai21_j2-jumbo,0.9693333333333334,0.9533333333333334,,0.9533333333333334,1500,boolq
ai21_j2-large,0.9693333333333334,0.8886666666666667,,0.8886666666666667,1500,boolq
openai_gpt-3.5-turbo-0301,0.9693333333333334,0.8826666666666667,,0.8826666666666667,1500,boolq
together_redpajama-incite-base-3b-v1,0.0,0.7274436090225563,,0.7274436090225563,1500,boolq
writer_palmyra-instruct-30,0.9693333333333334,0.832,,0.832,1500,boolq
writer_palmyra-x,0.9693333333333334,0.9866666666666667,,0.9866666666666667,1500,boolq
ai21_j2-grande,0.9693333333333334,0.9533333333333334,,0.9533333333333334,1500,boolq
ai21_j2-jumbo,0.9693333333333334,0.9533333333333334,,0.9533333333333334,1500,boolq
ai21_j2-large,0.9693333333333334,0.8886666666666667,,0.8886666666666667,1500,boolq
openai_gpt-3.5-turbo-0301,0.9693333333333334,0.8826666666666667,,0.8826666666666667,1500,boolq
together_redpajama-incite-base-3b-v1,0.0,0.7274436090225563,,0.7274436090225563,1500,boolq
writer_palmyra-instruct-30,0.9693333333333334,0.832,,0.832,1500,boolq
writer_palmyra-x,0.9693333333333334,0.9866666666666667,,0.9866666666666667,1500,boolq
