model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
ai21_j2-grande,0.915,0.9825,,0.9825,2000,imdb
ai21_j2-jumbo,0.915,0.975,,0.975,2000,imdb
ai21_j2-large,0.915,0.986,,0.986,2000,imdb
openai_gpt-3.5-turbo-0301,0.915,0.943,,0.943,2000,imdb
together_redpajama-incite-base-3b-v1,0.0,0.9144460028050491,,0.9144460028050491,2000,imdb
writer_palmyra-instruct-30,0.915,0.976,,0.976,2000,imdb
writer_palmyra-x,0.915,0.965,,0.965,2000,imdb
ai21_j2-grande,0.915,0.9825,,0.9825,2000,imdb
ai21_j2-jumbo,0.915,0.975,,0.975,2000,imdb
ai21_j2-large,0.915,0.986,,0.986,2000,imdb
openai_gpt-3.5-turbo-0301,0.915,0.943,,0.943,2000,imdb
together_redpajama-incite-base-3b-v1,0.0,0.9144460028050491,,0.9144460028050491,2000,imdb
writer_palmyra-instruct-30,0.915,0.976,,0.976,2000,imdb
writer_palmyra-x,0.915,0.965,,0.965,2000,imdb
ai21_j2-grande,0.915,0.9825,,0.9825,2000,imdb
ai21_j2-jumbo,0.915,0.975,,0.975,2000,imdb
ai21_j2-large,0.915,0.986,,0.986,2000,imdb
openai_gpt-3.5-turbo-0301,0.915,0.943,,0.943,2000,imdb
together_redpajama-incite-base-3b-v1,0.0,0.9144460028050491,,0.9144460028050491,2000,imdb
writer_palmyra-instruct-30,0.915,0.976,,0.976,2000,imdb
writer_palmyra-x,0.915,0.965,,0.965,2000,imdb
ai21_j2-grande,0.915,0.9825,,0.9825,2000,imdb
ai21_j2-jumbo,0.915,0.975,,0.975,2000,imdb
ai21_j2-large,0.915,0.986,,0.986,2000,imdb
openai_gpt-3.5-turbo-0301,0.915,0.943,,0.943,2000,imdb
together_redpajama-incite-base-3b-v1,0.0,0.9144460028050491,,0.9144460028050491,2000,imdb
writer_palmyra-instruct-30,0.915,0.976,,0.976,2000,imdb
writer_palmyra-x,0.915,0.965,,0.965,2000,imdb
ai21_j2-grande,0.915,0.9825,,0.9825,2000,imdb
ai21_j2-jumbo,0.915,0.975,,0.975,2000,imdb
ai21_j2-large,0.915,0.986,,0.986,2000,imdb
openai_gpt-3.5-turbo-0301,0.915,0.943,,0.943,2000,imdb
together_redpajama-incite-base-3b-v1,0.0,0.9144460028050491,,0.9144460028050491,2000,imdb
writer_palmyra-instruct-30,0.915,0.976,,0.976,2000,imdb
writer_palmyra-x,0.915,0.965,,0.965,2000,imdb
ai21_j2-grande,0.915,0.9825,,0.9825,2000,imdb
ai21_j2-jumbo,0.915,0.975,,0.975,2000,imdb
ai21_j2-large,0.915,0.986,,0.986,2000,imdb
openai_gpt-3.5-turbo-0301,0.915,0.943,,0.943,2000,imdb
together_redpajama-incite-base-3b-v1,0.0,0.9144460028050491,,0.9144460028050491,2000,imdb
writer_palmyra-instruct-30,0.915,0.976,,0.976,2000,imdb
writer_palmyra-x,0.915,0.965,,0.965,2000,imdb
ai21_j2-grande,0.915,0.9825,,0.9825,2000,imdb
ai21_j2-jumbo,0.915,0.975,,0.975,2000,imdb
ai21_j2-large,0.915,0.986,,0.986,2000,imdb
openai_gpt-3.5-turbo-0301,0.915,0.943,,0.943,2000,imdb
together_redpajama-incite-base-3b-v1,0.0,0.9144460028050491,,0.9144460028050491,2000,imdb
writer_palmyra-instruct-30,0.915,0.976,,0.976,2000,imdb
writer_palmyra-x,0.915,0.965,,0.965,2000,imdb
ai21_j2-grande,0.915,0.9825,,0.9825,2000,imdb
ai21_j2-jumbo,0.915,0.975,,0.975,2000,imdb
ai21_j2-large,0.915,0.986,,0.986,2000,imdb
openai_gpt-3.5-turbo-0301,0.915,0.943,,0.943,2000,imdb
together_redpajama-incite-base-3b-v1,0.0,0.9144460028050491,,0.9144460028050491,2000,imdb
writer_palmyra-instruct-30,0.915,0.976,,0.976,2000,imdb
writer_palmyra-x,0.915,0.965,,0.965,2000,imdb
ai21_j2-grande,0.915,0.9825,,0.9825,2000,imdb
ai21_j2-jumbo,0.915,0.975,,0.975,2000,imdb
ai21_j2-large,0.915,0.986,,0.986,2000,imdb
openai_gpt-3.5-turbo-0301,0.915,0.943,,0.943,2000,imdb
together_redpajama-incite-base-3b-v1,0.0,0.9144460028050491,,0.9144460028050491,2000,imdb
writer_palmyra-instruct-30,0.915,0.976,,0.976,2000,imdb
writer_palmyra-x,0.915,0.965,,0.965,2000,imdb
ai21_j2-grande,0.915,0.9825,,0.9825,2000,imdb
ai21_j2-jumbo,0.915,0.975,,0.975,2000,imdb
ai21_j2-large,0.915,0.986,,0.986,2000,imdb
openai_gpt-3.5-turbo-0301,0.915,0.943,,0.943,2000,imdb
together_redpajama-incite-base-3b-v1,0.0,0.9144460028050491,,0.9144460028050491,2000,imdb
writer_palmyra-instruct-30,0.915,0.976,,0.976,2000,imdb
writer_palmyra-x,0.915,0.965,,0.965,2000,imdb
