model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
ai21_j2-grande,0.9666666666666667,0.45399999999999996,,0.45399999999999996,150,msmarco:track=regular
ai21_j2-jumbo,0.9666666666666667,0.6793571428571429,,0.6793571428571429,150,msmarco:track=regular
ai21_j2-large,0.9666666666666667,0.36908730158730163,,0.36908730158730163,150,msmarco:track=regular
together_redpajama-incite-base-3b-v1,0.0,0.17347041847041847,,0.17347041847041847,150,msmarco:track=regular
ai21_j2-grande,0.9666666666666667,0.45399999999999996,,0.45399999999999996,150,msmarco:track=regular
ai21_j2-jumbo,0.9666666666666667,0.6793571428571429,,0.6793571428571429,150,msmarco:track=regular
ai21_j2-large,0.9666666666666667,0.36908730158730163,,0.36908730158730163,150,msmarco:track=regular
together_redpajama-incite-base-3b-v1,0.0,0.17347041847041847,,0.17347041847041847,150,msmarco:track=regular
ai21_j2-grande,0.9666666666666667,0.45399999999999996,,0.45399999999999996,150,msmarco:track=regular
ai21_j2-jumbo,0.9666666666666667,0.6793571428571429,,0.6793571428571429,150,msmarco:track=regular
ai21_j2-large,0.9666666666666667,0.36908730158730163,,0.36908730158730163,150,msmarco:track=regular
together_redpajama-incite-base-3b-v1,0.0,0.17347041847041847,,0.17347041847041847,150,msmarco:track=regular
ai21_j2-grande,0.9666666666666667,0.45399999999999996,,0.45399999999999996,150,msmarco:track=regular
ai21_j2-jumbo,0.9666666666666667,0.6793571428571429,,0.6793571428571429,150,msmarco:track=regular
ai21_j2-large,0.9666666666666667,0.36908730158730163,,0.36908730158730163,150,msmarco:track=regular
together_redpajama-incite-base-3b-v1,0.0,0.17347041847041847,,0.17347041847041847,150,msmarco:track=regular
ai21_j2-grande,0.9666666666666667,0.45399999999999996,,0.45399999999999996,150,msmarco:track=regular
ai21_j2-jumbo,0.9666666666666667,0.6793571428571429,,0.6793571428571429,150,msmarco:track=regular
ai21_j2-large,0.9666666666666667,0.36908730158730163,,0.36908730158730163,150,msmarco:track=regular
together_redpajama-incite-base-3b-v1,0.0,0.17347041847041847,,0.17347041847041847,150,msmarco:track=regular
ai21_j2-grande,0.9666666666666667,0.45399999999999996,,0.45399999999999996,150,msmarco:track=regular
ai21_j2-jumbo,0.9666666666666667,0.6793571428571429,,0.6793571428571429,150,msmarco:track=regular
ai21_j2-large,0.9666666666666667,0.36908730158730163,,0.36908730158730163,150,msmarco:track=regular
together_redpajama-incite-base-3b-v1,0.0,0.17347041847041847,,0.17347041847041847,150,msmarco:track=regular
ai21_j2-grande,0.9666666666666667,0.45399999999999996,,0.45399999999999996,150,msmarco:track=regular
ai21_j2-jumbo,0.9666666666666667,0.6793571428571429,,0.6793571428571429,150,msmarco:track=regular
ai21_j2-large,0.9666666666666667,0.36908730158730163,,0.36908730158730163,150,msmarco:track=regular
together_redpajama-incite-base-3b-v1,0.0,0.17347041847041847,,0.17347041847041847,150,msmarco:track=regular
ai21_j2-grande,0.9666666666666667,0.45399999999999996,,0.45399999999999996,150,msmarco:track=regular
ai21_j2-jumbo,0.9666666666666667,0.6793571428571429,,0.6793571428571429,150,msmarco:track=regular
ai21_j2-large,0.9666666666666667,0.36908730158730163,,0.36908730158730163,150,msmarco:track=regular
together_redpajama-incite-base-3b-v1,0.0,0.17347041847041847,,0.17347041847041847,150,msmarco:track=regular
ai21_j2-grande,0.9666666666666667,0.45399999999999996,,0.45399999999999996,150,msmarco:track=regular
ai21_j2-jumbo,0.9666666666666667,0.6793571428571429,,0.6793571428571429,150,msmarco:track=regular
ai21_j2-large,0.9666666666666667,0.36908730158730163,,0.36908730158730163,150,msmarco:track=regular
together_redpajama-incite-base-3b-v1,0.0,0.17347041847041847,,0.17347041847041847,150,msmarco:track=regular
ai21_j2-grande,0.9666666666666667,0.45399999999999996,,0.45399999999999996,150,msmarco:track=regular
ai21_j2-jumbo,0.9666666666666667,0.6793571428571429,,0.6793571428571429,150,msmarco:track=regular
ai21_j2-large,0.9666666666666667,0.36908730158730163,,0.36908730158730163,150,msmarco:track=regular
together_redpajama-incite-base-3b-v1,0.0,0.17347041847041847,,0.17347041847041847,150,msmarco:track=regular
