model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
ai21_j2-grande,1.0457142857142858,0.4666540907284818,,0.4666540907284818,700,narrative_qa
ai21_j2-jumbo,1.0457142857142858,0.44044302411713815,,0.44044302411713815,700,narrative_qa
ai21_j2-large,1.0457142857142858,0.4217872521650256,,0.4217872521650256,700,narrative_qa
openai_gpt-3.5-turbo-0301,1.0457142857142858,0.5919287470629384,,0.5919287470629384,700,narrative_qa
together_redpajama-incite-base-3b-v1,0.0,0.6062640227113911,,0.6062640227113911,700,narrative_qa
writer_palmyra-instruct-30,1.0457142857142858,0.5781932547709714,,0.5781932547709714,700,narrative_qa
writer_palmyra-x,1.0457142857142858,0.5977298819890497,,0.5977298819890497,700,narrative_qa
ai21_j2-grande,1.0457142857142858,0.4666540907284818,,0.4666540907284818,700,narrative_qa
ai21_j2-jumbo,1.0457142857142858,0.44044302411713815,,0.44044302411713815,700,narrative_qa
ai21_j2-large,1.0457142857142858,0.4217872521650256,,0.4217872521650256,700,narrative_qa
openai_gpt-3.5-turbo-0301,1.0457142857142858,0.5919287470629384,,0.5919287470629384,700,narrative_qa
together_redpajama-incite-base-3b-v1,0.0,0.6062640227113911,,0.6062640227113911,700,narrative_qa
writer_palmyra-instruct-30,1.0457142857142858,0.5781932547709714,,0.5781932547709714,700,narrative_qa
writer_palmyra-x,1.0457142857142858,0.5977298819890497,,0.5977298819890497,700,narrative_qa
ai21_j2-grande,1.0457142857142858,0.4666540907284818,,0.4666540907284818,700,narrative_qa
ai21_j2-jumbo,1.0457142857142858,0.44044302411713815,,0.44044302411713815,700,narrative_qa
ai21_j2-large,1.0457142857142858,0.4217872521650256,,0.4217872521650256,700,narrative_qa
openai_gpt-3.5-turbo-0301,1.0457142857142858,0.5919287470629384,,0.5919287470629384,700,narrative_qa
together_redpajama-incite-base-3b-v1,0.0,0.6062640227113911,,0.6062640227113911,700,narrative_qa
writer_palmyra-instruct-30,1.0457142857142858,0.5781932547709714,,0.5781932547709714,700,narrative_qa
writer_palmyra-x,1.0457142857142858,0.5977298819890497,,0.5977298819890497,700,narrative_qa
ai21_j2-grande,1.0457142857142858,0.4666540907284818,,0.4666540907284818,700,narrative_qa
ai21_j2-jumbo,1.0457142857142858,0.44044302411713815,,0.44044302411713815,700,narrative_qa
ai21_j2-large,1.0457142857142858,0.4217872521650256,,0.4217872521650256,700,narrative_qa
openai_gpt-3.5-turbo-0301,1.0457142857142858,0.5919287470629384,,0.5919287470629384,700,narrative_qa
together_redpajama-incite-base-3b-v1,0.0,0.6062640227113911,,0.6062640227113911,700,narrative_qa
writer_palmyra-instruct-30,1.0457142857142858,0.5781932547709714,,0.5781932547709714,700,narrative_qa
writer_palmyra-x,1.0457142857142858,0.5977298819890497,,0.5977298819890497,700,narrative_qa
ai21_j2-grande,1.0457142857142858,0.4666540907284818,,0.4666540907284818,700,narrative_qa
ai21_j2-jumbo,1.0457142857142858,0.44044302411713815,,0.44044302411713815,700,narrative_qa
ai21_j2-large,1.0457142857142858,0.4217872521650256,,0.4217872521650256,700,narrative_qa
openai_gpt-3.5-turbo-0301,1.0457142857142858,0.5919287470629384,,0.5919287470629384,700,narrative_qa
together_redpajama-incite-base-3b-v1,0.0,0.6062640227113911,,0.6062640227113911,700,narrative_qa
writer_palmyra-instruct-30,1.0457142857142858,0.5781932547709714,,0.5781932547709714,700,narrative_qa
writer_palmyra-x,1.0457142857142858,0.5977298819890497,,0.5977298819890497,700,narrative_qa
ai21_j2-grande,1.0457142857142858,0.4666540907284818,,0.4666540907284818,700,narrative_qa
ai21_j2-jumbo,1.0457142857142858,0.44044302411713815,,0.44044302411713815,700,narrative_qa
ai21_j2-large,1.0457142857142858,0.4217872521650256,,0.4217872521650256,700,narrative_qa
openai_gpt-3.5-turbo-0301,1.0457142857142858,0.5919287470629384,,0.5919287470629384,700,narrative_qa
together_redpajama-incite-base-3b-v1,0.0,0.6062640227113911,,0.6062640227113911,700,narrative_qa
writer_palmyra-instruct-30,1.0457142857142858,0.5781932547709714,,0.5781932547709714,700,narrative_qa
writer_palmyra-x,1.0457142857142858,0.5977298819890497,,0.5977298819890497,700,narrative_qa
ai21_j2-grande,1.0457142857142858,0.4666540907284818,,0.4666540907284818,700,narrative_qa
ai21_j2-jumbo,1.0457142857142858,0.44044302411713815,,0.44044302411713815,700,narrative_qa
ai21_j2-large,1.0457142857142858,0.4217872521650256,,0.4217872521650256,700,narrative_qa
openai_gpt-3.5-turbo-0301,1.0457142857142858,0.5919287470629384,,0.5919287470629384,700,narrative_qa
together_redpajama-incite-base-3b-v1,0.0,0.6062640227113911,,0.6062640227113911,700,narrative_qa
writer_palmyra-instruct-30,1.0457142857142858,0.5781932547709714,,0.5781932547709714,700,narrative_qa
writer_palmyra-x,1.0457142857142858,0.5977298819890497,,0.5977298819890497,700,narrative_qa
ai21_j2-grande,1.0457142857142858,0.4666540907284818,,0.4666540907284818,700,narrative_qa
ai21_j2-jumbo,1.0457142857142858,0.44044302411713815,,0.44044302411713815,700,narrative_qa
ai21_j2-large,1.0457142857142858,0.4217872521650256,,0.4217872521650256,700,narrative_qa
openai_gpt-3.5-turbo-0301,1.0457142857142858,0.5919287470629384,,0.5919287470629384,700,narrative_qa
together_redpajama-incite-base-3b-v1,0.0,0.6062640227113911,,0.6062640227113911,700,narrative_qa
writer_palmyra-instruct-30,1.0457142857142858,0.5781932547709714,,0.5781932547709714,700,narrative_qa
writer_palmyra-x,1.0457142857142858,0.5977298819890497,,0.5977298819890497,700,narrative_qa
ai21_j2-grande,1.0457142857142858,0.4666540907284818,,0.4666540907284818,700,narrative_qa
ai21_j2-jumbo,1.0457142857142858,0.44044302411713815,,0.44044302411713815,700,narrative_qa
ai21_j2-large,1.0457142857142858,0.4217872521650256,,0.4217872521650256,700,narrative_qa
openai_gpt-3.5-turbo-0301,1.0457142857142858,0.5919287470629384,,0.5919287470629384,700,narrative_qa
together_redpajama-incite-base-3b-v1,0.0,0.6062640227113911,,0.6062640227113911,700,narrative_qa
writer_palmyra-instruct-30,1.0457142857142858,0.5781932547709714,,0.5781932547709714,700,narrative_qa
writer_palmyra-x,1.0457142857142858,0.5977298819890497,,0.5977298819890497,700,narrative_qa
ai21_j2-grande,1.0457142857142858,0.4666540907284818,,0.4666540907284818,700,narrative_qa
ai21_j2-jumbo,1.0457142857142858,0.44044302411713815,,0.44044302411713815,700,narrative_qa
ai21_j2-large,1.0457142857142858,0.4217872521650256,,0.4217872521650256,700,narrative_qa
openai_gpt-3.5-turbo-0301,1.0457142857142858,0.5919287470629384,,0.5919287470629384,700,narrative_qa
together_redpajama-incite-base-3b-v1,0.0,0.6062640227113911,,0.6062640227113911,700,narrative_qa
writer_palmyra-instruct-30,1.0457142857142858,0.5781932547709714,,0.5781932547709714,700,narrative_qa
writer_palmyra-x,1.0457142857142858,0.5977298819890497,,0.5977298819890497,700,narrative_qa
