model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
ai21_j2-grande,0.5866666666666667,0.16290947801109154,,0.16290947801109154,150,summarization_cnndm
ai21_j2-jumbo,0.5866666666666667,0.18216497283495015,,0.18216497283495015,150,summarization_cnndm
ai21_j2-large,0.5866666666666667,0.1606307052579199,,0.1606307052579199,150,summarization_cnndm
openai_gpt-3.5-turbo-0301,0.5866666666666667,0.19566473963010422,,0.19566473963010422,150,summarization_cnndm
together_redpajama-incite-base-3b-v1,0.0,0.13963435958590684,,0.13963435958590684,150,summarization_cnndm
writer_palmyra-instruct-30,0.5866666666666667,0.16900265401634035,,0.16900265401634035,150,summarization_cnndm
writer_palmyra-x,0.5866666666666667,0.04149974264353912,,0.04149974264353912,150,summarization_cnndm
ai21_j2-grande,0.5866666666666667,0.16290947801109154,,0.16290947801109154,150,summarization_cnndm
ai21_j2-jumbo,0.5866666666666667,0.18216497283495015,,0.18216497283495015,150,summarization_cnndm
ai21_j2-large,0.5866666666666667,0.1606307052579199,,0.1606307052579199,150,summarization_cnndm
openai_gpt-3.5-turbo-0301,0.5866666666666667,0.19566473963010422,,0.19566473963010422,150,summarization_cnndm
together_redpajama-incite-base-3b-v1,0.0,0.13963435958590684,,0.13963435958590684,150,summarization_cnndm
writer_palmyra-instruct-30,0.5866666666666667,0.16900265401634035,,0.16900265401634035,150,summarization_cnndm
writer_palmyra-x,0.5866666666666667,0.04149974264353912,,0.04149974264353912,150,summarization_cnndm
ai21_j2-grande,0.5866666666666667,0.16290947801109154,,0.16290947801109154,150,summarization_cnndm
ai21_j2-jumbo,0.5866666666666667,0.18216497283495015,,0.18216497283495015,150,summarization_cnndm
ai21_j2-large,0.5866666666666667,0.1606307052579199,,0.1606307052579199,150,summarization_cnndm
openai_gpt-3.5-turbo-0301,0.5866666666666667,0.19566473963010422,,0.19566473963010422,150,summarization_cnndm
together_redpajama-incite-base-3b-v1,0.0,0.13963435958590684,,0.13963435958590684,150,summarization_cnndm
writer_palmyra-instruct-30,0.5866666666666667,0.16900265401634035,,0.16900265401634035,150,summarization_cnndm
writer_palmyra-x,0.5866666666666667,0.04149974264353912,,0.04149974264353912,150,summarization_cnndm
ai21_j2-grande,0.5866666666666667,0.16290947801109154,,0.16290947801109154,150,summarization_cnndm
ai21_j2-jumbo,0.5866666666666667,0.18216497283495015,,0.18216497283495015,150,summarization_cnndm
ai21_j2-large,0.5866666666666667,0.1606307052579199,,0.1606307052579199,150,summarization_cnndm
openai_gpt-3.5-turbo-0301,0.5866666666666667,0.19566473963010422,,0.19566473963010422,150,summarization_cnndm
together_redpajama-incite-base-3b-v1,0.0,0.13963435958590684,,0.13963435958590684,150,summarization_cnndm
writer_palmyra-instruct-30,0.5866666666666667,0.16900265401634035,,0.16900265401634035,150,summarization_cnndm
writer_palmyra-x,0.5866666666666667,0.04149974264353912,,0.04149974264353912,150,summarization_cnndm
ai21_j2-grande,0.5866666666666667,0.16290947801109154,,0.16290947801109154,150,summarization_cnndm
ai21_j2-jumbo,0.5866666666666667,0.18216497283495015,,0.18216497283495015,150,summarization_cnndm
