,model,balanced_score,n_samples,trial_num,win_rate,scenario
0,ai21_j2-grande,0.826,6000,0,0.6666666666666666,boolq
1,ai21_j2-jumbo,0.829,6000,0,0.8333333333333334,boolq
2,ai21_j2-large,0.7423333333333333,6000,0,0.3333333333333333,boolq
3,openai_gpt-3.5-turbo-0301,0.739,6000,0,0.16666666666666666,boolq
4,together_redpajama-incite-base-3b-v1,0.685,6000,0,0.0,boolq
5,writer_palmyra-instruct-30,0.7513333333333333,6000,0,0.5,boolq
6,writer_palmyra-x,0.8963333333333333,6000,0,1.0,boolq
0,ai21_j2-grande,0.826,6000,1,0.6666666666666666,boolq
1,ai21_j2-jumbo,0.829,6000,1,0.8333333333333334,boolq
2,ai21_j2-large,0.7423333333333333,6000,1,0.3333333333333333,boolq
3,openai_gpt-3.5-turbo-0301,0.739,6000,1,0.16666666666666666,boolq
4,together_redpajama-incite-base-3b-v1,0.685,6000,1,0.0,boolq
5,writer_palmyra-instruct-30,0.7513333333333333,6000,1,0.5,boolq
6,writer_palmyra-x,0.8963333333333333,6000,1,1.0,boolq
0,ai21_j2-grande,0.826,6000,2,0.6666666666666666,boolq
1,ai21_j2-jumbo,0.829,6000,2,0.8333333333333334,boolq
2,ai21_j2-large,0.7423333333333333,6000,2,0.3333333333333333,boolq
3,openai_gpt-3.5-turbo-0301,0.739,6000,2,0.16666666666666666,boolq
4,together_redpajama-incite-base-3b-v1,0.685,6000,2,0.0,boolq
5,writer_palmyra-instruct-30,0.7513333333333333,6000,2,0.5,boolq
6,writer_palmyra-x,0.8963333333333333,6000,2,1.0,boolq
0,ai21_j2-grande,0.826,6000,3,0.6666666666666666,boolq
1,ai21_j2-jumbo,0.829,6000,3,0.8333333333333334,boolq
2,ai21_j2-large,0.7423333333333333,6000,3,0.3333333333333333,boolq
3,openai_gpt-3.5-turbo-0301,0.739,6000,3,0.16666666666666666,boolq
4,together_redpajama-incite-base-3b-v1,0.685,6000,3,0.0,boolq
5,writer_palmyra-instruct-30,0.7513333333333333,6000,3,0.5,boolq
6,writer_palmyra-x,0.8963333333333333,6000,3,1.0,boolq
0,ai21_j2-grande,0.826,6000,4,0.6666666666666666,boolq
1,ai21_j2-jumbo,0.829,6000,4,0.8333333333333334,boolq
2,ai21_j2-large,0.7423333333333333,6000,4,0.3333333333333333,boolq
3,openai_gpt-3.5-turbo-0301,0.739,6000,4,0.16666666666666666,boolq
4,together_redpajama-incite-base-3b-v1,0.685,6000,4,0.0,boolq
5,writer_palmyra-instruct-30,0.7513333333333333,6000,4,0.5,boolq
6,writer_palmyra-x,0.8963333333333333,6000,4,1.0,boolq
0,ai21_j2-grande,0.826,6000,5,0.6666666666666666,boolq
1,ai21_j2-jumbo,0.829,6000,5,0.8333333333333334,boolq
2,ai21_j2-large,0.7423333333333333,6000,5,0.3333333333333333,boolq
3,openai_gpt-3.5-turbo-0301,0.739,6000,5,0.16666666666666666,boolq
4,together_redpajama-incite-base-3b-v1,0.685,6000,5,0.0,boolq
5,writer_palmyra-instruct-30,0.7513333333333333,6000,5,0.5,boolq
6,writer_palmyra-x,0.8963333333333333,6000,5,1.0,boolq
0,ai21_j2-grande,0.826,6000,6,0.6666666666666666,boolq
1,ai21_j2-jumbo,0.829,6000,6,0.8333333333333334,boolq
2,ai21_j2-large,0.7423333333333333,6000,6,0.3333333333333333,boolq
3,openai_gpt-3.5-turbo-0301,0.739,6000,6,0.16666666666666666,boolq
4,together_redpajama-incite-base-3b-v1,0.685,6000,6,0.0,boolq
5,writer_palmyra-instruct-30,0.7513333333333333,6000,6,0.5,boolq
6,writer_palmyra-x,0.8963333333333333,6000,6,1.0,boolq
0,ai21_j2-grande,0.826,6000,7,0.6666666666666666,boolq
1,ai21_j2-jumbo,0.829,6000,7,0.8333333333333334,boolq
2,ai21_j2-large,0.7423333333333333,6000,7,0.3333333333333333,boolq
3,openai_gpt-3.5-turbo-0301,0.739,6000,7,0.16666666666666666,boolq
4,together_redpajama-incite-base-3b-v1,0.685,6000,7,0.0,boolq
5,writer_palmyra-instruct-30,0.7513333333333333,6000,7,0.5,boolq
6,writer_palmyra-x,0.8963333333333333,6000,7,1.0,boolq
0,ai21_j2-grande,0.826,6000,8,0.6666666666666666,boolq
1,ai21_j2-jumbo,0.829,6000,8,0.8333333333333334,boolq
2,ai21_j2-large,0.7423333333333333,6000,8,0.3333333333333333,boolq
3,openai_gpt-3.5-turbo-0301,0.739,6000,8,0.16666666666666666,boolq
4,together_redpajama-incite-base-3b-v1,0.685,6000,8,0.0,boolq
5,writer_palmyra-instruct-30,0.7513333333333333,6000,8,0.5,boolq
6,writer_palmyra-x,0.8963333333333333,6000,8,1.0,boolq
0,ai21_j2-grande,0.826,6000,9,0.6666666666666666,boolq
1,ai21_j2-jumbo,0.829,6000,9,0.8333333333333334,boolq
2,ai21_j2-large,0.7423333333333333,6000,9,0.3333333333333333,boolq
3,openai_gpt-3.5-turbo-0301,0.739,6000,9,0.16666666666666666,boolq
4,together_redpajama-incite-base-3b-v1,0.685,6000,9,0.0,boolq
5,writer_palmyra-instruct-30,0.7513333333333333,6000,9,0.5,boolq
6,writer_palmyra-x,0.8963333333333333,6000,9,1.0,boolq
0,ai21_j2-grande,0.9771428571428572,350,0,0.6666666666666666,boolq
