,model,balanced_score,n_samples,trial_num,win_rate,scenario
0,ai21_j2-grande,0.89,100,0,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.91,100,0,1.0,hellaswag
2,ai21_j2-large,0.78,100,0,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,100,0,0.0,hellaswag
0,ai21_j2-grande,0.89,100,1,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.91,100,1,1.0,hellaswag
2,ai21_j2-large,0.78,100,1,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,100,1,0.0,hellaswag
0,ai21_j2-grande,0.89,100,2,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.91,100,2,1.0,hellaswag
2,ai21_j2-large,0.78,100,2,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,100,2,0.0,hellaswag
0,ai21_j2-grande,0.89,100,3,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.91,100,3,1.0,hellaswag
2,ai21_j2-large,0.78,100,3,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,100,3,0.0,hellaswag
0,ai21_j2-grande,0.89,100,4,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.91,100,4,1.0,hellaswag
2,ai21_j2-large,0.78,100,4,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,100,4,0.0,hellaswag
0,ai21_j2-grande,0.89,100,5,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.91,100,5,1.0,hellaswag
2,ai21_j2-large,0.78,100,5,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,100,5,0.0,hellaswag
0,ai21_j2-grande,0.89,100,6,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.91,100,6,1.0,hellaswag
2,ai21_j2-large,0.78,100,6,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,100,6,0.0,hellaswag
0,ai21_j2-grande,0.89,100,7,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.91,100,7,1.0,hellaswag
2,ai21_j2-large,0.78,100,7,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,100,7,0.0,hellaswag
0,ai21_j2-grande,0.89,100,8,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.91,100,8,1.0,hellaswag
2,ai21_j2-large,0.78,100,8,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,100,8,0.0,hellaswag
0,ai21_j2-grande,0.89,100,9,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.91,100,9,1.0,hellaswag
2,ai21_j2-large,0.78,100,9,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,100,9,0.0,hellaswag
0,ai21_j2-grande,0.781,3000,0,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.788,3000,0,1.0,hellaswag
2,ai21_j2-large,0.729,3000,0,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,3000,0,0.0,hellaswag
0,ai21_j2-grande,0.781,3000,1,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.788,3000,1,1.0,hellaswag
2,ai21_j2-large,0.729,3000,1,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,3000,1,0.0,hellaswag
0,ai21_j2-grande,0.781,3000,2,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.788,3000,2,1.0,hellaswag
2,ai21_j2-large,0.729,3000,2,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,3000,2,0.0,hellaswag
0,ai21_j2-grande,0.781,3000,3,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.788,3000,3,1.0,hellaswag
2,ai21_j2-large,0.729,3000,3,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,3000,3,0.0,hellaswag
0,ai21_j2-grande,0.781,3000,4,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.788,3000,4,1.0,hellaswag
2,ai21_j2-large,0.729,3000,4,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,3000,4,0.0,hellaswag
0,ai21_j2-grande,0.781,3000,5,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.788,3000,5,1.0,hellaswag
2,ai21_j2-large,0.729,3000,5,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,3000,5,0.0,hellaswag
0,ai21_j2-grande,0.781,3000,6,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.788,3000,6,1.0,hellaswag
2,ai21_j2-large,0.729,3000,6,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,3000,6,0.0,hellaswag
0,ai21_j2-grande,0.781,3000,7,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.788,3000,7,1.0,hellaswag
2,ai21_j2-large,0.729,3000,7,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,3000,7,0.0,hellaswag
0,ai21_j2-grande,0.781,3000,8,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.788,3000,8,1.0,hellaswag
2,ai21_j2-large,0.729,3000,8,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,3000,8,0.0,hellaswag
0,ai21_j2-grande,0.781,3000,9,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.788,3000,9,1.0,hellaswag
2,ai21_j2-large,0.729,3000,9,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,3000,9,0.0,hellaswag
0,ai21_j2-grande,0.88,50,0,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.9,50,0,1.0,hellaswag
2,ai21_j2-large,0.78,50,0,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,50,0,0.0,hellaswag
0,ai21_j2-grande,0.88,50,1,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.9,50,1,1.0,hellaswag
2,ai21_j2-large,0.78,50,1,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,50,1,0.0,hellaswag
0,ai21_j2-grande,0.88,50,2,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.9,50,2,1.0,hellaswag
2,ai21_j2-large,0.78,50,2,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,50,2,0.0,hellaswag
0,ai21_j2-grande,0.88,50,3,0.6666666666666666,hellaswag
