,model,balanced_score,n_samples,trial_num,win_rate,scenario
0,ai21_j2-grande,1.0,100,0,1.0,imdb
1,ai21_j2-jumbo,0.96,100,0,0.3333333333333333,imdb
2,ai21_j2-large,0.99,100,0,0.8333333333333334,imdb
3,openai_gpt-3.5-turbo-0301,0.86,100,0,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.8769230769230769,100,0,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.98,100,0,0.5,imdb
6,writer_palmyra-x,0.98,100,0,0.5,imdb
0,ai21_j2-grande,1.0,100,1,1.0,imdb
1,ai21_j2-jumbo,0.96,100,1,0.3333333333333333,imdb
2,ai21_j2-large,0.99,100,1,0.8333333333333334,imdb
3,openai_gpt-3.5-turbo-0301,0.86,100,1,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.8769230769230769,100,1,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.98,100,1,0.5,imdb
6,writer_palmyra-x,0.98,100,1,0.5,imdb
0,ai21_j2-grande,1.0,100,2,1.0,imdb
1,ai21_j2-jumbo,0.96,100,2,0.3333333333333333,imdb
2,ai21_j2-large,0.99,100,2,0.8333333333333334,imdb
3,openai_gpt-3.5-turbo-0301,0.86,100,2,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.8769230769230769,100,2,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.98,100,2,0.5,imdb
6,writer_palmyra-x,0.98,100,2,0.5,imdb
0,ai21_j2-grande,1.0,100,3,1.0,imdb
1,ai21_j2-jumbo,0.96,100,3,0.3333333333333333,imdb
2,ai21_j2-large,0.99,100,3,0.8333333333333334,imdb
3,openai_gpt-3.5-turbo-0301,0.86,100,3,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.8769230769230769,100,3,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.98,100,3,0.5,imdb
6,writer_palmyra-x,0.98,100,3,0.5,imdb
0,ai21_j2-grande,1.0,100,4,1.0,imdb
1,ai21_j2-jumbo,0.96,100,4,0.3333333333333333,imdb
2,ai21_j2-large,0.99,100,4,0.8333333333333334,imdb
3,openai_gpt-3.5-turbo-0301,0.86,100,4,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.8769230769230769,100,4,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.98,100,4,0.5,imdb
6,writer_palmyra-x,0.98,100,4,0.5,imdb
0,ai21_j2-grande,1.0,100,5,1.0,imdb
1,ai21_j2-jumbo,0.96,100,5,0.3333333333333333,imdb
2,ai21_j2-large,0.99,100,5,0.8333333333333334,imdb
3,openai_gpt-3.5-turbo-0301,0.86,100,5,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.8769230769230769,100,5,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.98,100,5,0.5,imdb
6,writer_palmyra-x,0.98,100,5,0.5,imdb
0,ai21_j2-grande,1.0,100,6,1.0,imdb
1,ai21_j2-jumbo,0.96,100,6,0.3333333333333333,imdb
2,ai21_j2-large,0.99,100,6,0.8333333333333334,imdb
3,openai_gpt-3.5-turbo-0301,0.86,100,6,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.8769230769230769,100,6,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.98,100,6,0.5,imdb
6,writer_palmyra-x,0.98,100,6,0.5,imdb
0,ai21_j2-grande,1.0,100,7,1.0,imdb
1,ai21_j2-jumbo,0.96,100,7,0.3333333333333333,imdb
2,ai21_j2-large,0.99,100,7,0.8333333333333334,imdb
3,openai_gpt-3.5-turbo-0301,0.86,100,7,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.8769230769230769,100,7,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.98,100,7,0.5,imdb
6,writer_palmyra-x,0.98,100,7,0.5,imdb
0,ai21_j2-grande,1.0,100,8,1.0,imdb
1,ai21_j2-jumbo,0.96,100,8,0.3333333333333333,imdb
2,ai21_j2-large,0.99,100,8,0.8333333333333334,imdb
3,openai_gpt-3.5-turbo-0301,0.86,100,8,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.8769230769230769,100,8,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.98,100,8,0.5,imdb
6,writer_palmyra-x,0.98,100,8,0.5,imdb
0,ai21_j2-grande,1.0,100,9,1.0,imdb
1,ai21_j2-jumbo,0.96,100,9,0.3333333333333333,imdb
2,ai21_j2-large,0.99,100,9,0.8333333333333334,imdb
3,openai_gpt-3.5-turbo-0301,0.86,100,9,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.8769230769230769,100,9,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.98,100,9,0.5,imdb
6,writer_palmyra-x,0.98,100,9,0.5,imdb
0,ai21_j2-grande,1.0,10,0,0.3333333333333333,imdb
1,ai21_j2-jumbo,0.9,10,0,0.16666666666666666,imdb
2,ai21_j2-large,1.0,10,0,0.3333333333333333,imdb
3,openai_gpt-3.5-turbo-0301,0.8,10,0,0.0,imdb
4,together_redpajama-incite-base-3b-v1,1.0,10,0,0.3333333333333333,imdb
5,writer_palmyra-instruct-30,1.0,10,0,0.3333333333333333,imdb
6,writer_palmyra-x,1.0,10,0,0.3333333333333333,imdb
0,ai21_j2-grande,1.0,10,1,0.3333333333333333,imdb
1,ai21_j2-jumbo,0.9,10,1,0.16666666666666666,imdb
2,ai21_j2-large,1.0,10,1,0.3333333333333333,imdb
3,openai_gpt-3.5-turbo-0301,0.8,10,1,0.0,imdb
4,together_redpajama-incite-base-3b-v1,1.0,10,1,0.3333333333333333,imdb
5,writer_palmyra-instruct-30,1.0,10,1,0.3333333333333333,imdb
6,writer_palmyra-x,1.0,10,1,0.3333333333333333,imdb
0,ai21_j2-grande,1.0,10,2,0.3333333333333333,imdb
1,ai21_j2-jumbo,0.9,10,2,0.16666666666666666,imdb
2,ai21_j2-large,1.0,10,2,0.3333333333333333,imdb
3,openai_gpt-3.5-turbo-0301,0.8,10,2,0.0,imdb
4,together_redpajama-incite-base-3b-v1,1.0,10,2,0.3333333333333333,imdb
5,writer_palmyra-instruct-30,1.0,10,2,0.3333333333333333,imdb
6,writer_palmyra-x,1.0,10,2,0.3333333333333333,imdb
0,ai21_j2-grande,1.0,10,3,0.3333333333333333,imdb
1,ai21_j2-jumbo,0.9,10,3,0.16666666666666666,imdb
2,ai21_j2-large,1.0,10,3,0.3333333333333333,imdb
3,openai_gpt-3.5-turbo-0301,0.8,10,3,0.0,imdb
4,together_redpajama-incite-base-3b-v1,1.0,10,3,0.3333333333333333,imdb
5,writer_palmyra-instruct-30,1.0,10,3,0.3333333333333333,imdb
6,writer_palmyra-x,1.0,10,3,0.3333333333333333,imdb
0,ai21_j2-grande,1.0,10,4,0.3333333333333333,imdb
1,ai21_j2-jumbo,0.9,10,4,0.16666666666666666,imdb
2,ai21_j2-large,1.0,10,4,0.3333333333333333,imdb
3,openai_gpt-3.5-turbo-0301,0.8,10,4,0.0,imdb
4,together_redpajama-incite-base-3b-v1,1.0,10,4,0.3333333333333333,imdb
5,writer_palmyra-instruct-30,1.0,10,4,0.3333333333333333,imdb
6,writer_palmyra-x,1.0,10,4,0.3333333333333333,imdb
0,ai21_j2-grande,1.0,10,5,0.3333333333333333,imdb
1,ai21_j2-jumbo,0.9,10,5,0.16666666666666666,imdb
2,ai21_j2-large,1.0,10,5,0.3333333333333333,imdb
3,openai_gpt-3.5-turbo-0301,0.8,10,5,0.0,imdb
4,together_redpajama-incite-base-3b-v1,1.0,10,5,0.3333333333333333,imdb
5,writer_palmyra-instruct-30,1.0,10,5,0.3333333333333333,imdb
6,writer_palmyra-x,1.0,10,5,0.3333333333333333,imdb
0,ai21_j2-grande,1.0,10,6,0.3333333333333333,imdb
1,ai21_j2-jumbo,0.9,10,6,0.16666666666666666,imdb
2,ai21_j2-large,1.0,10,6,0.3333333333333333,imdb
3,openai_gpt-3.5-turbo-0301,0.8,10,6,0.0,imdb
4,together_redpajama-incite-base-3b-v1,1.0,10,6,0.3333333333333333,imdb
5,writer_palmyra-instruct-30,1.0,10,6,0.3333333333333333,imdb
6,writer_palmyra-x,1.0,10,6,0.3333333333333333,imdb
0,ai21_j2-grande,1.0,10,7,0.3333333333333333,imdb
1,ai21_j2-jumbo,0.9,10,7,0.16666666666666666,imdb
2,ai21_j2-large,1.0,10,7,0.3333333333333333,imdb
3,openai_gpt-3.5-turbo-0301,0.8,10,7,0.0,imdb
4,together_redpajama-incite-base-3b-v1,1.0,10,7,0.3333333333333333,imdb
5,writer_palmyra-instruct-30,1.0,10,7,0.3333333333333333,imdb
6,writer_palmyra-x,1.0,10,7,0.3333333333333333,imdb
0,ai21_j2-grande,1.0,10,8,0.3333333333333333,imdb
1,ai21_j2-jumbo,0.9,10,8,0.16666666666666666,imdb
2,ai21_j2-large,1.0,10,8,0.3333333333333333,imdb
3,openai_gpt-3.5-turbo-0301,0.8,10,8,0.0,imdb
4,together_redpajama-incite-base-3b-v1,1.0,10,8,0.3333333333333333,imdb
5,writer_palmyra-instruct-30,1.0,10,8,0.3333333333333333,imdb
6,writer_palmyra-x,1.0,10,8,0.3333333333333333,imdb
0,ai21_j2-grande,1.0,10,9,0.3333333333333333,imdb
1,ai21_j2-jumbo,0.9,10,9,0.16666666666666666,imdb
2,ai21_j2-large,1.0,10,9,0.3333333333333333,imdb
3,openai_gpt-3.5-turbo-0301,0.8,10,9,0.0,imdb
4,together_redpajama-incite-base-3b-v1,1.0,10,9,0.3333333333333333,imdb
5,writer_palmyra-instruct-30,1.0,10,9,0.3333333333333333,imdb
6,writer_palmyra-x,1.0,10,9,0.3333333333333333,imdb
0,ai21_j2-grande,0.9383215369059656,30000,0,0.5,imdb
1,ai21_j2-jumbo,0.9386585776879004,30000,0,0.6666666666666666,imdb
2,ai21_j2-large,0.9568587799123696,30000,0,1.0,imdb
3,openai_gpt-3.5-turbo-0301,0.906639703404112,30000,0,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.9069767441860463,30000,0,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.940680822379508,30000,0,0.8333333333333334,imdb
6,writer_palmyra-x,0.9356252106504888,30000,0,0.3333333333333333,imdb
0,ai21_j2-grande,0.9383215369059656,30000,1,0.5,imdb
1,ai21_j2-jumbo,0.9386585776879004,30000,1,0.6666666666666666,imdb
2,ai21_j2-large,0.9568587799123696,30000,1,1.0,imdb
3,openai_gpt-3.5-turbo-0301,0.906639703404112,30000,1,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.9069767441860463,30000,1,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.940680822379508,30000,1,0.8333333333333334,imdb
6,writer_palmyra-x,0.9356252106504888,30000,1,0.3333333333333333,imdb
0,ai21_j2-grande,0.9383215369059656,30000,2,0.5,imdb
1,ai21_j2-jumbo,0.9386585776879004,30000,2,0.6666666666666666,imdb
2,ai21_j2-large,0.9568587799123696,30000,2,1.0,imdb
3,openai_gpt-3.5-turbo-0301,0.906639703404112,30000,2,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.9069767441860463,30000,2,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.940680822379508,30000,2,0.8333333333333334,imdb
6,writer_palmyra-x,0.9356252106504888,30000,2,0.3333333333333333,imdb
0,ai21_j2-grande,0.9383215369059656,30000,3,0.5,imdb
1,ai21_j2-jumbo,0.9386585776879004,30000,3,0.6666666666666666,imdb
2,ai21_j2-large,0.9568587799123696,30000,3,1.0,imdb
3,openai_gpt-3.5-turbo-0301,0.906639703404112,30000,3,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.9069767441860463,30000,3,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.940680822379508,30000,3,0.8333333333333334,imdb
6,writer_palmyra-x,0.9356252106504888,30000,3,0.3333333333333333,imdb
0,ai21_j2-grande,0.9383215369059656,30000,4,0.5,imdb
1,ai21_j2-jumbo,0.9386585776879004,30000,4,0.6666666666666666,imdb
2,ai21_j2-large,0.9568587799123696,30000,4,1.0,imdb
3,openai_gpt-3.5-turbo-0301,0.906639703404112,30000,4,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.9069767441860463,30000,4,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.940680822379508,30000,4,0.8333333333333334,imdb
6,writer_palmyra-x,0.9356252106504888,30000,4,0.3333333333333333,imdb
0,ai21_j2-grande,0.9383215369059656,30000,5,0.5,imdb
1,ai21_j2-jumbo,0.9386585776879004,30000,5,0.6666666666666666,imdb
2,ai21_j2-large,0.9568587799123696,30000,5,1.0,imdb
3,openai_gpt-3.5-turbo-0301,0.906639703404112,30000,5,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.9069767441860463,30000,5,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.940680822379508,30000,5,0.8333333333333334,imdb
6,writer_palmyra-x,0.9356252106504888,30000,5,0.3333333333333333,imdb
0,ai21_j2-grande,0.9383215369059656,30000,6,0.5,imdb
1,ai21_j2-jumbo,0.9386585776879004,30000,6,0.6666666666666666,imdb
2,ai21_j2-large,0.9568587799123696,30000,6,1.0,imdb
3,openai_gpt-3.5-turbo-0301,0.906639703404112,30000,6,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.9069767441860463,30000,6,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.940680822379508,30000,6,0.8333333333333334,imdb
6,writer_palmyra-x,0.9356252106504888,30000,6,0.3333333333333333,imdb
0,ai21_j2-grande,0.9383215369059656,30000,7,0.5,imdb
1,ai21_j2-jumbo,0.9386585776879004,30000,7,0.6666666666666666,imdb
2,ai21_j2-large,0.9568587799123696,30000,7,1.0,imdb
3,openai_gpt-3.5-turbo-0301,0.906639703404112,30000,7,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.9069767441860463,30000,7,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.940680822379508,30000,7,0.8333333333333334,imdb
6,writer_palmyra-x,0.9356252106504888,30000,7,0.3333333333333333,imdb
0,ai21_j2-grande,0.9383215369059656,30000,8,0.5,imdb
1,ai21_j2-jumbo,0.9386585776879004,30000,8,0.6666666666666666,imdb
2,ai21_j2-large,0.9568587799123696,30000,8,1.0,imdb
3,openai_gpt-3.5-turbo-0301,0.906639703404112,30000,8,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.9069767441860463,30000,8,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.940680822379508,30000,8,0.8333333333333334,imdb
6,writer_palmyra-x,0.9356252106504888,30000,8,0.3333333333333333,imdb
0,ai21_j2-grande,0.9383215369059656,30000,9,0.5,imdb
1,ai21_j2-jumbo,0.9386585776879004,30000,9,0.6666666666666666,imdb
2,ai21_j2-large,0.9568587799123696,30000,9,1.0,imdb
3,openai_gpt-3.5-turbo-0301,0.906639703404112,30000,9,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.9069767441860463,30000,9,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.940680822379508,30000,9,0.8333333333333334,imdb
6,writer_palmyra-x,0.9356252106504888,30000,9,0.3333333333333333,imdb
0,ai21_j2-grande,0.9383215369059656,20000,0,0.5,imdb
1,ai21_j2-jumbo,0.9386585776879004,20000,0,0.6666666666666666,imdb
2,ai21_j2-large,0.9568587799123696,20000,0,1.0,imdb
3,openai_gpt-3.5-turbo-0301,0.906639703404112,20000,0,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.9069767441860463,20000,0,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.940680822379508,20000,0,0.8333333333333334,imdb
6,writer_palmyra-x,0.9356252106504888,20000,0,0.3333333333333333,imdb
0,ai21_j2-grande,0.9383215369059656,20000,1,0.5,imdb
1,ai21_j2-jumbo,0.9386585776879004,20000,1,0.6666666666666666,imdb
2,ai21_j2-large,0.9568587799123696,20000,1,1.0,imdb
3,openai_gpt-3.5-turbo-0301,0.906639703404112,20000,1,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.9069767441860463,20000,1,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.940680822379508,20000,1,0.8333333333333334,imdb
6,writer_palmyra-x,0.9356252106504888,20000,1,0.3333333333333333,imdb
0,ai21_j2-grande,0.9383215369059656,20000,2,0.5,imdb
1,ai21_j2-jumbo,0.9386585776879004,20000,2,0.6666666666666666,imdb
2,ai21_j2-large,0.9568587799123696,20000,2,1.0,imdb
3,openai_gpt-3.5-turbo-0301,0.906639703404112,20000,2,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.9069767441860463,20000,2,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.940680822379508,20000,2,0.8333333333333334,imdb
6,writer_palmyra-x,0.9356252106504888,20000,2,0.3333333333333333,imdb
0,ai21_j2-grande,0.9383215369059656,20000,3,0.5,imdb
1,ai21_j2-jumbo,0.9386585776879004,20000,3,0.6666666666666666,imdb
2,ai21_j2-large,0.9568587799123696,20000,3,1.0,imdb
3,openai_gpt-3.5-turbo-0301,0.906639703404112,20000,3,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.9069767441860463,20000,3,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.940680822379508,20000,3,0.8333333333333334,imdb
6,writer_palmyra-x,0.9356252106504888,20000,3,0.3333333333333333,imdb
0,ai21_j2-grande,0.9383215369059656,20000,4,0.5,imdb
1,ai21_j2-jumbo,0.9386585776879004,20000,4,0.6666666666666666,imdb
2,ai21_j2-large,0.9568587799123696,20000,4,1.0,imdb
3,openai_gpt-3.5-turbo-0301,0.906639703404112,20000,4,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.9069767441860463,20000,4,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.940680822379508,20000,4,0.8333333333333334,imdb
6,writer_palmyra-x,0.9356252106504888,20000,4,0.3333333333333333,imdb
0,ai21_j2-grande,0.9383215369059656,20000,5,0.5,imdb
1,ai21_j2-jumbo,0.9386585776879004,20000,5,0.6666666666666666,imdb
2,ai21_j2-large,0.9568587799123696,20000,5,1.0,imdb
3,openai_gpt-3.5-turbo-0301,0.906639703404112,20000,5,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.9069767441860463,20000,5,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.940680822379508,20000,5,0.8333333333333334,imdb
6,writer_palmyra-x,0.9356252106504888,20000,5,0.3333333333333333,imdb
0,ai21_j2-grande,0.9383215369059656,20000,6,0.5,imdb
1,ai21_j2-jumbo,0.9386585776879004,20000,6,0.6666666666666666,imdb
2,ai21_j2-large,0.9568587799123696,20000,6,1.0,imdb
3,openai_gpt-3.5-turbo-0301,0.906639703404112,20000,6,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.9069767441860463,20000,6,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.940680822379508,20000,6,0.8333333333333334,imdb
6,writer_palmyra-x,0.9356252106504888,20000,6,0.3333333333333333,imdb
0,ai21_j2-grande,0.9383215369059656,20000,7,0.5,imdb
1,ai21_j2-jumbo,0.9386585776879004,20000,7,0.6666666666666666,imdb
2,ai21_j2-large,0.9568587799123696,20000,7,1.0,imdb
3,openai_gpt-3.5-turbo-0301,0.906639703404112,20000,7,0.0,imdb
4,together_redpajama-incite-base-3b-v1,0.9069767441860463,20000,7,0.16666666666666666,imdb
5,writer_palmyra-instruct-30,0.940680822379508,20000,7,0.8333333333333334,imdb
6,writer_palmyra-x,0.9356252106504888,20000,7,0.3333333333333333,imdb
0,ai21_j2-grande,0.9383215369059656,20000,8,0.5,imdb
