,model,balanced_score,n_samples,trial_num,win_rate,scenario
0,ai21_j2-grande,0.6391375865608924,30000,0,0.5,natural_qa:mode=openbook
1,ai21_j2-jumbo,0.6690001436292845,30000,0,0.6666666666666666,natural_qa:mode=openbook
2,ai21_j2-large,0.5887456917734204,30000,0,0.16666666666666666,natural_qa:mode=openbook
3,openai_gpt-3.5-turbo-0301,0.6370060296462576,30000,0,0.3333333333333333,natural_qa:mode=openbook
4,together_redpajama-incite-base-3b-v1,0.5199511399231151,30000,0,0.0,natural_qa:mode=openbook
5,writer_palmyra-instruct-30,0.6820929463409307,30000,0,0.8333333333333334,natural_qa:mode=openbook
6,writer_palmyra-x,0.7902789426842035,30000,0,1.0,natural_qa:mode=openbook
0,ai21_j2-grande,0.6391375865608924,30000,1,0.5,natural_qa:mode=openbook
1,ai21_j2-jumbo,0.6690001436292845,30000,1,0.6666666666666666,natural_qa:mode=openbook
2,ai21_j2-large,0.5887456917734204,30000,1,0.16666666666666666,natural_qa:mode=openbook
3,openai_gpt-3.5-turbo-0301,0.6370060296462576,30000,1,0.3333333333333333,natural_qa:mode=openbook
4,together_redpajama-incite-base-3b-v1,0.5199511399231151,30000,1,0.0,natural_qa:mode=openbook
5,writer_palmyra-instruct-30,0.6820929463409307,30000,1,0.8333333333333334,natural_qa:mode=openbook
6,writer_palmyra-x,0.7902789426842035,30000,1,1.0,natural_qa:mode=openbook
0,ai21_j2-grande,0.6391375865608924,30000,2,0.5,natural_qa:mode=openbook
1,ai21_j2-jumbo,0.6690001436292845,30000,2,0.6666666666666666,natural_qa:mode=openbook
2,ai21_j2-large,0.5887456917734204,30000,2,0.16666666666666666,natural_qa:mode=openbook
3,openai_gpt-3.5-turbo-0301,0.6370060296462576,30000,2,0.3333333333333333,natural_qa:mode=openbook
4,together_redpajama-incite-base-3b-v1,0.5199511399231151,30000,2,0.0,natural_qa:mode=openbook
5,writer_palmyra-instruct-30,0.6820929463409307,30000,2,0.8333333333333334,natural_qa:mode=openbook
6,writer_palmyra-x,0.7902789426842035,30000,2,1.0,natural_qa:mode=openbook
0,ai21_j2-grande,0.6391375865608924,30000,3,0.5,natural_qa:mode=openbook
1,ai21_j2-jumbo,0.6690001436292845,30000,3,0.6666666666666666,natural_qa:mode=openbook
2,ai21_j2-large,0.5887456917734204,30000,3,0.16666666666666666,natural_qa:mode=openbook
3,openai_gpt-3.5-turbo-0301,0.6370060296462576,30000,3,0.3333333333333333,natural_qa:mode=openbook
4,together_redpajama-incite-base-3b-v1,0.5199511399231151,30000,3,0.0,natural_qa:mode=openbook
5,writer_palmyra-instruct-30,0.6820929463409307,30000,3,0.8333333333333334,natural_qa:mode=openbook
6,writer_palmyra-x,0.7902789426842035,30000,3,1.0,natural_qa:mode=openbook
0,ai21_j2-grande,0.6391375865608924,30000,4,0.5,natural_qa:mode=openbook
1,ai21_j2-jumbo,0.6690001436292845,30000,4,0.6666666666666666,natural_qa:mode=openbook
2,ai21_j2-large,0.5887456917734204,30000,4,0.16666666666666666,natural_qa:mode=openbook
3,openai_gpt-3.5-turbo-0301,0.6370060296462576,30000,4,0.3333333333333333,natural_qa:mode=openbook
4,together_redpajama-incite-base-3b-v1,0.5199511399231151,30000,4,0.0,natural_qa:mode=openbook
5,writer_palmyra-instruct-30,0.6820929463409307,30000,4,0.8333333333333334,natural_qa:mode=openbook
6,writer_palmyra-x,0.7902789426842035,30000,4,1.0,natural_qa:mode=openbook
0,ai21_j2-grande,0.6391375865608924,30000,5,0.5,natural_qa:mode=openbook
1,ai21_j2-jumbo,0.6690001436292845,30000,5,0.6666666666666666,natural_qa:mode=openbook
2,ai21_j2-large,0.5887456917734204,30000,5,0.16666666666666666,natural_qa:mode=openbook
