,model,balanced_score,n_samples,trial_num,win_rate,scenario
0,ai21_j2-grande,0.3926895666430285,20000,0,0.3333333333333333,quac
1,ai21_j2-jumbo,0.4212739665459702,20000,0,0.5,quac
2,ai21_j2-large,0.3668050912085577,20000,0,0.16666666666666666,quac
3,openai_gpt-3.5-turbo-0301,0.4371038390549262,20000,0,0.8333333333333334,quac
4,together_redpajama-incite-base-3b-v1,0.307754749128997,20000,0,0.0,quac
5,writer_palmyra-instruct-30,0.421297288282891,20000,0,0.6666666666666666,quac
6,writer_palmyra-x,0.4973369970277089,20000,0,1.0,quac
0,ai21_j2-grande,0.3926895666430285,20000,1,0.3333333333333333,quac
1,ai21_j2-jumbo,0.4212739665459702,20000,1,0.5,quac
2,ai21_j2-large,0.3668050912085577,20000,1,0.16666666666666666,quac
3,openai_gpt-3.5-turbo-0301,0.4371038390549262,20000,1,0.8333333333333334,quac
4,together_redpajama-incite-base-3b-v1,0.307754749128997,20000,1,0.0,quac
5,writer_palmyra-instruct-30,0.421297288282891,20000,1,0.6666666666666666,quac
6,writer_palmyra-x,0.4973369970277089,20000,1,1.0,quac
0,ai21_j2-grande,0.3926895666430285,20000,2,0.3333333333333333,quac
1,ai21_j2-jumbo,0.4212739665459702,20000,2,0.5,quac
2,ai21_j2-large,0.3668050912085577,20000,2,0.16666666666666666,quac
3,openai_gpt-3.5-turbo-0301,0.4371038390549262,20000,2,0.8333333333333334,quac
4,together_redpajama-incite-base-3b-v1,0.307754749128997,20000,2,0.0,quac
5,writer_palmyra-instruct-30,0.421297288282891,20000,2,0.6666666666666666,quac
6,writer_palmyra-x,0.4973369970277089,20000,2,1.0,quac
0,ai21_j2-grande,0.3926895666430285,20000,3,0.3333333333333333,quac
1,ai21_j2-jumbo,0.4212739665459702,20000,3,0.5,quac
2,ai21_j2-large,0.3668050912085577,20000,3,0.16666666666666666,quac
3,openai_gpt-3.5-turbo-0301,0.4371038390549262,20000,3,0.8333333333333334,quac
4,together_redpajama-incite-base-3b-v1,0.307754749128997,20000,3,0.0,quac
5,writer_palmyra-instruct-30,0.421297288282891,20000,3,0.6666666666666666,quac
6,writer_palmyra-x,0.4973369970277089,20000,3,1.0,quac
0,ai21_j2-grande,0.3926895666430285,20000,4,0.3333333333333333,quac
1,ai21_j2-jumbo,0.4212739665459702,20000,4,0.5,quac
2,ai21_j2-large,0.3668050912085577,20000,4,0.16666666666666666,quac
3,openai_gpt-3.5-turbo-0301,0.4371038390549262,20000,4,0.8333333333333334,quac
4,together_redpajama-incite-base-3b-v1,0.307754749128997,20000,4,0.0,quac
