model,train_trial_index,score,balanced_score,n_samples,scenario
ai21_j2-grande,0.9924,0.7789,0.17014163333333335,10000,civil_comments
ai21_j2-jumbo,0.9924,0.3683,0.17748738888888888,10000,civil_comments
ai21_j2-large,0.9924,0.6223,0.17482987777777778,10000,civil_comments
openai_gpt-3.5-turbo-0301,0.9924,0.6214,0.20639140000000003,10000,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6135754688895505,0.16572786212827892,10000,civil_comments
writer_palmyra-instruct-30,0.9924,0.5812,0.16825586666666667,10000,civil_comments
writer_palmyra-x,0.9924,0.0132,0.0026334222222222222,10000,civil_comments
ai21_j2-grande,0.9872,0.7754,0.16736900000000002,10000,civil_comments
ai21_j2-jumbo,0.9872,0.3652,0.17348926666666667,10000,civil_comments
ai21_j2-large,0.9872,0.6333,0.17741692222222222,10000,civil_comments
openai_gpt-3.5-turbo-0301,0.9872,0.6259,0.20743283333333334,10000,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6066822977725674,0.16746958447310148,10000,civil_comments
writer_palmyra-instruct-30,0.9872,0.596,0.1718752222222222,10000,civil_comments
writer_palmyra-x,0.9872,0.0144,0.0027995777777777777,10000,civil_comments
ai21_j2-grande,0.9954,0.7772,0.168269,10000,civil_comments
ai21_j2-jumbo,0.9954,0.3717,0.17615047777777776,10000,civil_comments
ai21_j2-large,0.9954,0.6323,0.1761112111111111,10000,civil_comments
openai_gpt-3.5-turbo-0301,0.9954,0.6345,0.20950163333333335,10000,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.602445571130331,0.1635149285879975,10000,civil_comments
writer_palmyra-instruct-30,0.9954,0.5846,0.17057564444444445,10000,civil_comments
writer_palmyra-x,0.9954,0.0135,0.002628477777777778,10000,civil_comments
ai21_j2-grande,1.0116,0.7831,0.16864692222222222,10000,civil_comments
ai21_j2-jumbo,1.0116,0.3651,0.17235465555555557,10000,civil_comments
ai21_j2-large,1.0116,0.6362,0.17356782222222222,10000,civil_comments
openai_gpt-3.5-turbo-0301,1.0116,0.6302,0.20446966666666666,10000,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6224396209110363,0.1660807772003125,10000,civil_comments
writer_palmyra-instruct-30,1.0116,0.5898,0.16753566666666667,10000,civil_comments
writer_palmyra-x,1.0116,0.0136,0.0027714444444444444,10000,civil_comments
ai21_j2-grande,0.9966,0.7797,0.16831043333333334,10000,civil_comments
ai21_j2-jumbo,0.9966,0.3775,0.17607554444444445,10000,civil_comments
ai21_j2-large,0.9966,0.6383,0.17780967777777779,10000,civil_comments
openai_gpt-3.5-turbo-0301,0.9966,0.6318,0.20762482222222226,10000,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6205864751645721,0.16564133253540794,10000,civil_comments
writer_palmyra-instruct-30,0.9966,0.5894,0.16925697777777776,10000,civil_comments
writer_palmyra-x,0.9966,0.0132,0.0025714444444444448,10000,civil_comments
ai21_j2-grande,0.9854,0.7768,0.1683169111111111,10000,civil_comments
ai21_j2-jumbo,0.9854,0.3729,0.1761307,10000,civil_comments
ai21_j2-large,0.9854,0.6378,0.17852033333333334,10000,civil_comments
openai_gpt-3.5-turbo-0301,0.9854,0.6329,0.20795790000000003,10000,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6171395144779175,0.16989470605440188,10000,civil_comments
writer_palmyra-instruct-30,0.9854,0.5823,0.16753532222222223,10000,civil_comments
writer_palmyra-x,0.9854,0.0137,0.0026665000000000005,10000,civil_comments
ai21_j2-grande,1.0119,0.7789,0.16803438888888889,10000,civil_comments
ai21_j2-jumbo,1.0119,0.3676,0.17419344444444443,10000,civil_comments
ai21_j2-large,1.0119,0.6357,0.17613781111111113,10000,civil_comments
openai_gpt-3.5-turbo-0301,1.0119,0.6266,0.20564459999999998,10000,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6198901769371568,0.17003186224662734,10000,civil_comments
writer_palmyra-instruct-30,1.0119,0.5903,0.17097752222222223,10000,civil_comments
writer_palmyra-x,1.0119,0.0121,0.002486277777777778,10000,civil_comments
ai21_j2-grande,0.9981,0.7844,0.1677164888888889,10000,civil_comments
ai21_j2-jumbo,0.9981,0.3623,0.17045883333333334,10000,civil_comments
ai21_j2-large,0.9981,0.6336,0.17462297777777777,10000,civil_comments
openai_gpt-3.5-turbo-0301,0.9981,0.6321,0.20594647777777778,10000,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6112786489746683,0.16387169950408795,10000,civil_comments
writer_palmyra-instruct-30,0.9981,0.5934,0.17131895555555557,10000,civil_comments
writer_palmyra-x,0.9981,0.0126,0.0025193555555555556,10000,civil_comments
ai21_j2-grande,0.9887,0.777,0.16916064444444445,10000,civil_comments
ai21_j2-jumbo,0.9887,0.3728,0.17629762222222223,10000,civil_comments
ai21_j2-large,0.9887,0.6401,0.1783378111111111,10000,civil_comments
openai_gpt-3.5-turbo-0301,0.9887,0.6301,0.20841723333333334,10000,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6143943826799297,0.1672122748845979,10000,civil_comments
writer_palmyra-instruct-30,0.9887,0.5879,0.17163685555555555,10000,civil_comments
writer_palmyra-x,0.9887,0.0126,0.0024573777777777777,10000,civil_comments
ai21_j2-grande,0.9938,0.7803,0.1673089,10000,civil_comments
ai21_j2-jumbo,0.9938,0.3634,0.16967631111111112,10000,civil_comments
ai21_j2-large,0.9938,0.6266,0.1699454,10000,civil_comments
openai_gpt-3.5-turbo-0301,0.9938,0.6249,0.20278032222222223,10000,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6139727649496743,0.16149088875731862,10000,civil_comments
writer_palmyra-instruct-30,0.9938,0.5896,0.16644402222222224,10000,civil_comments
writer_palmyra-x,0.9938,0.0138,0.0027474888888888893,10000,civil_comments
