model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
ai21_j2-grande,0.9928333333333333,0.2850751984126984,,0.2850751984126984,6000,msmarco:track=regular
ai21_j2-jumbo,0.9928333333333333,0.3950650132275132,,0.3950650132275132,6000,msmarco:track=regular
ai21_j2-large,0.9928333333333333,0.2479923941798942,,0.2479923941798942,6000,msmarco:track=regular
together_redpajama-incite-base-3b-v1,0.0,0.17840672342901168,,0.17840672342901168,6000,msmarco:track=regular
ai21_j2-grande,1.0006666666666666,0.2867835317460318,,0.2867835317460318,6000,msmarco:track=regular
ai21_j2-jumbo,1.0006666666666666,0.3915918650793651,,0.3915918650793651,6000,msmarco:track=regular
ai21_j2-large,1.0006666666666666,0.24310145502645503,,0.24310145502645503,6000,msmarco:track=regular
together_redpajama-incite-base-3b-v1,0.0,0.16957547169811318,,0.16957547169811318,6000,msmarco:track=regular
ai21_j2-grande,1.0013333333333334,0.29199041005291004,,0.29199041005291004,6000,msmarco:track=regular
ai21_j2-jumbo,1.0013333333333334,0.39739973544973545,,0.39739973544973545,6000,msmarco:track=regular
ai21_j2-large,1.0013333333333334,0.2510792328042328,,0.2510792328042328,6000,msmarco:track=regular
together_redpajama-incite-base-3b-v1,0.0,0.16564362649821832,,0.16564362649821832,6000,msmarco:track=regular
ai21_j2-grande,0.9916666666666667,0.297733664021164,,0.297733664021164,6000,msmarco:track=regular
ai21_j2-jumbo,0.9916666666666667,0.391172619047619,,0.391172619047619,6000,msmarco:track=regular
ai21_j2-large,0.9916666666666667,0.2444611111111111,,0.2444611111111111,6000,msmarco:track=regular
together_redpajama-incite-base-3b-v1,0.0,0.17727249590841107,,0.17727249590841107,6000,msmarco:track=regular
ai21_j2-grande,1.005,0.2905130291005291,,0.2905130291005291,6000,msmarco:track=regular
ai21_j2-jumbo,1.005,0.3916435185185185,,0.3916435185185185,6000,msmarco:track=regular
ai21_j2-large,1.005,0.2468765873015873,,0.2468765873015873,6000,msmarco:track=regular
together_redpajama-incite-base-3b-v1,0.0,0.1633554678152668,,0.1633554678152668,6000,msmarco:track=regular
ai21_j2-grande,1.0105,0.288107208994709,,0.288107208994709,6000,msmarco:track=regular
ai21_j2-jumbo,1.0105,0.39377070105820106,,0.39377070105820106,6000,msmarco:track=regular
ai21_j2-large,1.0105,0.24785833333333332,,0.24785833333333332,6000,msmarco:track=regular
together_redpajama-incite-base-3b-v1,0.0,0.1652098729179921,,0.1652098729179921,6000,msmarco:track=regular
ai21_j2-grande,0.9841666666666666,0.29442156084656085,,0.29442156084656085,6000,msmarco:track=regular
ai21_j2-jumbo,0.9841666666666666,0.39944318783068783,,0.39944318783068783,6000,msmarco:track=regular
ai21_j2-large,0.9841666666666666,0.24406765873015873,,0.24406765873015873,6000,msmarco:track=regular
together_redpajama-incite-base-3b-v1,0.0,0.17127603618767093,,0.17127603618767093,6000,msmarco:track=regular
ai21_j2-grande,1.0031666666666668,0.2955136243386243,,0.2955136243386243,6000,msmarco:track=regular
ai21_j2-jumbo,1.0031666666666668,0.4010371693121693,,0.4010371693121693,6000,msmarco:track=regular
ai21_j2-large,1.0031666666666668,0.24586832010582008,,0.24586832010582008,6000,msmarco:track=regular
together_redpajama-incite-base-3b-v1,0.0,0.16341975221071545,,0.16341975221071545,6000,msmarco:track=regular
ai21_j2-grande,1.005,0.2945935185185185,,0.2945935185185185,6000,msmarco:track=regular
ai21_j2-jumbo,1.005,0.4068173941798942,,0.4068173941798942,6000,msmarco:track=regular
ai21_j2-large,1.005,0.24680767195767195,,0.24680767195767195,6000,msmarco:track=regular
together_redpajama-incite-base-3b-v1,0.0,0.17411060529421682,,0.17411060529421682,6000,msmarco:track=regular
ai21_j2-grande,0.9838333333333333,0.2935441798941799,,0.2935441798941799,6000,msmarco:track=regular
ai21_j2-jumbo,0.9838333333333333,0.3987489417989418,,0.3987489417989418,6000,msmarco:track=regular
ai21_j2-large,0.9838333333333333,0.24765112433862435,,0.24765112433862435,6000,msmarco:track=regular
together_redpajama-incite-base-3b-v1,0.0,0.17438075641779346,,0.17438075641779346,6000,msmarco:track=regular
