model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
ai21_j2-grande,1.0333333333333334,0.4256168264583982,,0.4256168264583982,150,narrative_qa
ai21_j2-jumbo,1.0333333333333334,0.40002632404815136,,0.40002632404815136,150,narrative_qa
ai21_j2-large,1.0333333333333334,0.3285016609034358,,0.3285016609034358,150,narrative_qa
openai_gpt-3.5-turbo-0301,1.0333333333333334,0.520788907811392,,0.520788907811392,150,narrative_qa
together_redpajama-incite-base-3b-v1,0.0,0.523231642189653,,0.523231642189653,150,narrative_qa
writer_palmyra-instruct-30,1.0333333333333334,0.49714052454977575,,0.49714052454977575,150,narrative_qa
writer_palmyra-x,1.0333333333333334,0.5842532882263233,,0.5842532882263233,150,narrative_qa
ai21_j2-grande,0.82,0.398817441238409,,0.398817441238409,150,narrative_qa
ai21_j2-jumbo,0.82,0.4047808862608673,,0.4047808862608673,150,narrative_qa
ai21_j2-large,0.82,0.34605669547195994,,0.34605669547195994,150,narrative_qa
openai_gpt-3.5-turbo-0301,0.82,0.5532329137935545,,0.5532329137935545,150,narrative_qa
together_redpajama-incite-base-3b-v1,0.0,0.5025013348762251,,0.5025013348762251,150,narrative_qa
writer_palmyra-instruct-30,0.82,0.5270703573892637,,0.5270703573892637,150,narrative_qa
writer_palmyra-x,0.82,0.5842504324876622,,0.5842504324876622,150,narrative_qa
ai21_j2-grande,1.0466666666666666,0.36236045932834654,,0.36236045932834654,150,narrative_qa
ai21_j2-jumbo,1.0466666666666666,0.37652006107640784,,0.37652006107640784,150,narrative_qa
ai21_j2-large,1.0466666666666666,0.3455511646456062,,0.3455511646456062,150,narrative_qa
openai_gpt-3.5-turbo-0301,1.0466666666666666,0.5359885198666987,,0.5359885198666987,150,narrative_qa
together_redpajama-incite-base-3b-v1,0.0,0.5466157916157917,,0.5466157916157917,150,narrative_qa
writer_palmyra-instruct-30,1.0466666666666666,0.519440102649395,,0.519440102649395,150,narrative_qa
writer_palmyra-x,1.0466666666666666,0.5998433856591752,,0.5998433856591752,150,narrative_qa
ai21_j2-grande,0.8866666666666667,0.35935721448386604,,0.35935721448386604,150,narrative_qa
ai21_j2-jumbo,0.8866666666666667,0.4012714527148711,,0.4012714527148711,150,narrative_qa
ai21_j2-large,0.8866666666666667,0.31519294673663933,,0.31519294673663933,150,narrative_qa
openai_gpt-3.5-turbo-0301,0.8866666666666667,0.5158135923038749,,0.5158135923038749,150,narrative_qa
together_redpajama-incite-base-3b-v1,0.0,0.5247796091239288,,0.5247796091239288,150,narrative_qa
writer_palmyra-instruct-30,0.8866666666666667,0.4193225927910236,,0.4193225927910236,150,narrative_qa
writer_palmyra-x,0.8866666666666667,0.47098747869490903,,0.47098747869490903,150,narrative_qa
ai21_j2-grande,1.0266666666666666,0.45764493765474157,,0.45764493765474157,150,narrative_qa
ai21_j2-jumbo,1.0266666666666666,0.40028149264682467,,0.40028149264682467,150,narrative_qa
ai21_j2-large,1.0266666666666666,0.40389374465813427,,0.40389374465813427,150,narrative_qa
openai_gpt-3.5-turbo-0301,1.0266666666666666,0.5693299742057178,,0.5693299742057178,150,narrative_qa
together_redpajama-incite-base-3b-v1,0.0,0.5643918956818179,,0.5643918956818179,150,narrative_qa
writer_palmyra-instruct-30,1.0266666666666666,0.49817367901129966,,0.49817367901129966,150,narrative_qa
writer_palmyra-x,1.0266666666666666,0.5577961164139632,,0.5577961164139632,150,narrative_qa
ai21_j2-grande,1.04,0.39827196414509647,,0.39827196414509647,150,narrative_qa
ai21_j2-jumbo,1.04,0.35844045671104496,,0.35844045671104496,150,narrative_qa
ai21_j2-large,1.04,0.3296623722398659,,0.3296623722398659,150,narrative_qa
openai_gpt-3.5-turbo-0301,1.04,0.5281587297284923,,0.5281587297284923,150,narrative_qa
together_redpajama-incite-base-3b-v1,0.0,0.49116473635695607,,0.49116473635695607,150,narrative_qa
