,model,balanced_score,n_samples,trial_num,win_rate,scenario
0,ai21_j2-grande,0.8215,6000,0,0.6666666666666666,boolq
1,ai21_j2-jumbo,0.8305,6000,0,0.8333333333333334,boolq
2,ai21_j2-large,0.7398333333333333,6000,0,0.3333333333333333,boolq
3,openai_gpt-3.5-turbo-0301,0.732,6000,0,0.16666666666666666,boolq
4,together_redpajama-incite-base-3b-v1,0.6869959677419355,6000,0,0.0,boolq
5,writer_palmyra-instruct-30,0.7441666666666666,6000,0,0.5,boolq
6,writer_palmyra-x,0.8983333333333333,6000,0,1.0,boolq
0,ai21_j2-grande,0.8291666666666667,6000,1,0.6666666666666666,boolq
1,ai21_j2-jumbo,0.8298333333333333,6000,1,0.8333333333333334,boolq
2,ai21_j2-large,0.7465,6000,1,0.3333333333333333,boolq
3,openai_gpt-3.5-turbo-0301,0.7391666666666666,6000,1,0.16666666666666666,boolq
4,together_redpajama-incite-base-3b-v1,0.6915887850467289,6000,1,0.0,boolq
5,writer_palmyra-instruct-30,0.7581666666666667,6000,1,0.5,boolq
6,writer_palmyra-x,0.898,6000,1,1.0,boolq
0,ai21_j2-grande,0.823,6000,2,0.6666666666666666,boolq
1,ai21_j2-jumbo,0.8248333333333333,6000,2,0.8333333333333334,boolq
2,ai21_j2-large,0.7376666666666667,6000,2,0.16666666666666666,boolq
3,openai_gpt-3.5-turbo-0301,0.7381666666666666,6000,2,0.3333333333333333,boolq
4,together_redpajama-incite-base-3b-v1,0.6588411588411588,6000,2,0.0,boolq
5,writer_palmyra-instruct-30,0.755,6000,2,0.5,boolq
6,writer_palmyra-x,0.8998333333333334,6000,2,1.0,boolq
0,ai21_j2-grande,0.8221666666666667,6000,3,0.6666666666666666,boolq
1,ai21_j2-jumbo,0.8298333333333333,6000,3,0.8333333333333334,boolq
2,ai21_j2-large,0.7401666666666666,6000,3,0.3333333333333333,boolq
3,openai_gpt-3.5-turbo-0301,0.735,6000,3,0.16666666666666666,boolq
4,together_redpajama-incite-base-3b-v1,0.6953937592867756,6000,3,0.0,boolq
5,writer_palmyra-instruct-30,0.7503333333333333,6000,3,0.5,boolq
6,writer_palmyra-x,0.899,6000,3,1.0,boolq
0,ai21_j2-grande,0.8176666666666667,6000,4,0.6666666666666666,boolq
1,ai21_j2-jumbo,0.8266666666666667,6000,4,0.8333333333333334,boolq
2,ai21_j2-large,0.738,6000,4,0.3333333333333333,boolq
3,openai_gpt-3.5-turbo-0301,0.7351666666666666,6000,4,0.16666666666666666,boolq
4,together_redpajama-incite-base-3b-v1,0.6870305458187281,6000,4,0.0,boolq
5,writer_palmyra-instruct-30,0.7518333333333334,6000,4,0.5,boolq
6,writer_palmyra-x,0.8971666666666667,6000,4,1.0,boolq
0,ai21_j2-grande,0.8313333333333334,6000,5,0.6666666666666666,boolq
1,ai21_j2-jumbo,0.8398333333333333,6000,5,0.8333333333333334,boolq
2,ai21_j2-large,0.751,6000,5,0.3333333333333333,boolq
3,openai_gpt-3.5-turbo-0301,0.7415,6000,5,0.16666666666666666,boolq
4,together_redpajama-incite-base-3b-v1,0.6790248857287964,6000,5,0.0,boolq
5,writer_palmyra-instruct-30,0.7538333333333334,6000,5,0.5,boolq
6,writer_palmyra-x,0.8998333333333334,6000,5,1.0,boolq
0,ai21_j2-grande,0.8303333333333334,6000,6,0.6666666666666666,boolq
1,ai21_j2-jumbo,0.8313333333333334,6000,6,0.8333333333333334,boolq
2,ai21_j2-large,0.7411666666666666,6000,6,0.3333333333333333,boolq
3,openai_gpt-3.5-turbo-0301,0.7391666666666666,6000,6,0.16666666666666666,boolq
4,together_redpajama-incite-base-3b-v1,0.6875320677270395,6000,6,0.0,boolq
5,writer_palmyra-instruct-30,0.7446666666666667,6000,6,0.5,boolq
6,writer_palmyra-x,0.9003333333333333,6000,6,1.0,boolq
0,ai21_j2-grande,0.826,6000,7,0.6666666666666666,boolq
1,ai21_j2-jumbo,0.8356666666666667,6000,7,0.8333333333333334,boolq
2,ai21_j2-large,0.7466666666666667,6000,7,0.3333333333333333,boolq
3,openai_gpt-3.5-turbo-0301,0.739,6000,7,0.16666666666666666,boolq
4,together_redpajama-incite-base-3b-v1,0.6822622107969152,6000,7,0.0,boolq
5,writer_palmyra-instruct-30,0.7561666666666667,6000,7,0.5,boolq
6,writer_palmyra-x,0.8988333333333334,6000,7,1.0,boolq
0,ai21_j2-grande,0.8146666666666667,6000,8,0.6666666666666666,boolq
1,ai21_j2-jumbo,0.8225,6000,8,0.8333333333333334,boolq
2,ai21_j2-large,0.741,6000,8,0.16666666666666666,boolq
3,openai_gpt-3.5-turbo-0301,0.7421666666666666,6000,8,0.3333333333333333,boolq
4,together_redpajama-incite-base-3b-v1,0.6803970223325062,6000,8,0.0,boolq
5,writer_palmyra-instruct-30,0.7486666666666667,6000,8,0.5,boolq
6,writer_palmyra-x,0.8891666666666667,6000,8,1.0,boolq
0,ai21_j2-grande,0.8303333333333334,6000,9,0.6666666666666666,boolq
1,ai21_j2-jumbo,0.8356666666666667,6000,9,0.8333333333333334,boolq
2,ai21_j2-large,0.7396666666666667,6000,9,0.3333333333333333,boolq
3,openai_gpt-3.5-turbo-0301,0.7361666666666666,6000,9,0.16666666666666666,boolq
4,together_redpajama-incite-base-3b-v1,0.6968766001024066,6000,9,0.0,boolq
5,writer_palmyra-instruct-30,0.759,6000,9,0.5,boolq
6,writer_palmyra-x,0.8975,6000,9,1.0,boolq
0,ai21_j2-grande,0.8514285714285714,350,0,0.8333333333333334,boolq
1,ai21_j2-jumbo,0.8228571428571428,350,0,0.6666666666666666,boolq
2,ai21_j2-large,0.7628571428571429,350,0,0.5,boolq
3,openai_gpt-3.5-turbo-0301,0.7342857142857143,350,0,0.3333333333333333,boolq
4,together_redpajama-incite-base-3b-v1,0.6990291262135923,350,0,0.0,boolq
5,writer_palmyra-instruct-30,0.7314285714285714,350,0,0.16666666666666666,boolq
6,writer_palmyra-x,0.8914285714285715,350,0,1.0,boolq
0,ai21_j2-grande,0.8314285714285714,350,1,0.8333333333333334,boolq
1,ai21_j2-jumbo,0.82,350,1,0.6666666666666666,boolq
2,ai21_j2-large,0.7171428571428572,350,1,0.0,boolq
3,openai_gpt-3.5-turbo-0301,0.7314285714285714,350,1,0.16666666666666666,boolq
4,together_redpajama-incite-base-3b-v1,0.7352941176470589,350,1,0.3333333333333333,boolq
5,writer_palmyra-instruct-30,0.7857142857142857,350,1,0.5,boolq
6,writer_palmyra-x,0.9028571428571428,350,1,1.0,boolq
0,ai21_j2-grande,0.8285714285714286,350,2,0.6666666666666666,boolq
1,ai21_j2-jumbo,0.84,350,2,0.8333333333333334,boolq
2,ai21_j2-large,0.7228571428571429,350,2,0.16666666666666666,boolq
3,openai_gpt-3.5-turbo-0301,0.76,350,2,0.5,boolq
4,together_redpajama-incite-base-3b-v1,0.6216216216216216,350,2,0.0,boolq
5,writer_palmyra-instruct-30,0.7457142857142857,350,2,0.3333333333333333,boolq
6,writer_palmyra-x,0.9085714285714286,350,2,1.0,boolq
0,ai21_j2-grande,0.8342857142857143,350,3,0.8333333333333334,boolq
1,ai21_j2-jumbo,0.8114285714285714,350,3,0.6666666666666666,boolq
2,ai21_j2-large,0.7714285714285715,350,3,0.5,boolq
3,openai_gpt-3.5-turbo-0301,0.7257142857142858,350,3,0.16666666666666666,boolq
4,together_redpajama-incite-base-3b-v1,0.6991869918699187,350,3,0.0,boolq
5,writer_palmyra-instruct-30,0.7514285714285714,350,3,0.3333333333333333,boolq
6,writer_palmyra-x,0.8942857142857142,350,3,1.0,boolq
0,ai21_j2-grande,0.8371428571428572,350,4,0.8333333333333334,boolq
1,ai21_j2-jumbo,0.8285714285714286,350,4,0.6666666666666666,boolq
2,ai21_j2-large,0.7257142857142858,350,4,0.16666666666666666,boolq
3,openai_gpt-3.5-turbo-0301,0.7228571428571429,350,4,0.0,boolq
4,together_redpajama-incite-base-3b-v1,0.7787610619469026,350,4,0.5,boolq
5,writer_palmyra-instruct-30,0.7571428571428571,350,4,0.3333333333333333,boolq
6,writer_palmyra-x,0.86,350,4,1.0,boolq
0,ai21_j2-grande,0.8228571428571428,350,5,0.8333333333333334,boolq
1,ai21_j2-jumbo,0.8057142857142857,350,5,0.6666666666666666,boolq
2,ai21_j2-large,0.7542857142857143,350,5,0.5,boolq
3,openai_gpt-3.5-turbo-0301,0.74,350,5,0.3333333333333333,boolq
4,together_redpajama-incite-base-3b-v1,0.6347826086956522,350,5,0.0,boolq
5,writer_palmyra-instruct-30,0.72,350,5,0.16666666666666666,boolq
6,writer_palmyra-x,0.8914285714285715,350,5,1.0,boolq
0,ai21_j2-grande,0.84,350,6,0.8333333333333334,boolq
1,ai21_j2-jumbo,0.8057142857142857,350,6,0.6666666666666666,boolq
2,ai21_j2-large,0.7685714285714286,350,6,0.5,boolq
3,openai_gpt-3.5-turbo-0301,0.7542857142857143,350,6,0.3333333333333333,boolq
4,together_redpajama-incite-base-3b-v1,0.7079646017699115,350,6,0.0,boolq
5,writer_palmyra-instruct-30,0.7371428571428571,350,6,0.16666666666666666,boolq
6,writer_palmyra-x,0.9228571428571428,350,6,1.0,boolq
0,ai21_j2-grande,0.8428571428571429,350,7,0.6666666666666666,boolq
1,ai21_j2-jumbo,0.8628571428571429,350,7,0.8333333333333334,boolq
2,ai21_j2-large,0.7857142857142857,350,7,0.5,boolq
3,openai_gpt-3.5-turbo-0301,0.7485714285714286,350,7,0.16666666666666666,boolq
4,together_redpajama-incite-base-3b-v1,0.6916666666666667,350,7,0.0,boolq
5,writer_palmyra-instruct-30,0.7628571428571429,350,7,0.3333333333333333,boolq
6,writer_palmyra-x,0.9142857142857144,350,7,1.0,boolq
0,ai21_j2-grande,0.8285714285714286,350,8,0.6666666666666666,boolq
1,ai21_j2-jumbo,0.8314285714285714,350,8,0.8333333333333334,boolq
2,ai21_j2-large,0.7628571428571429,350,8,0.5,boolq
3,openai_gpt-3.5-turbo-0301,0.76,350,8,0.3333333333333333,boolq
4,together_redpajama-incite-base-3b-v1,0.6612903225806451,350,8,0.0,boolq
5,writer_palmyra-instruct-30,0.7514285714285714,350,8,0.16666666666666666,boolq
6,writer_palmyra-x,0.8914285714285715,350,8,1.0,boolq
