,model,balanced_score,n_samples,trial_num,win_rate,scenario
0,ai21_j2-grande,0.78,100,0,1.0,hellaswag
1,ai21_j2-jumbo,0.76,100,0,0.6666666666666666,hellaswag
2,ai21_j2-large,0.73,100,0,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,100,0,0.0,hellaswag
0,ai21_j2-grande,0.77,100,1,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.77,100,1,0.6666666666666666,hellaswag
2,ai21_j2-large,0.73,100,1,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,100,1,0.0,hellaswag
0,ai21_j2-grande,0.78,100,2,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.81,100,2,1.0,hellaswag
2,ai21_j2-large,0.77,100,2,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,100,2,0.0,hellaswag
0,ai21_j2-grande,0.79,100,3,1.0,hellaswag
1,ai21_j2-jumbo,0.78,100,3,0.6666666666666666,hellaswag
2,ai21_j2-large,0.71,100,3,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,100,3,0.0,hellaswag
0,ai21_j2-grande,0.8,100,4,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.82,100,4,1.0,hellaswag
2,ai21_j2-large,0.77,100,4,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,100,4,0.0,hellaswag
0,ai21_j2-grande,0.78,100,5,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.78,100,5,0.6666666666666666,hellaswag
2,ai21_j2-large,0.75,100,5,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,100,5,0.0,hellaswag
0,ai21_j2-grande,0.82,100,6,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.85,100,6,1.0,hellaswag
2,ai21_j2-large,0.77,100,6,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,100,6,0.0,hellaswag
0,ai21_j2-grande,0.71,100,7,1.0,hellaswag
1,ai21_j2-jumbo,0.7,100,7,0.6666666666666666,hellaswag
2,ai21_j2-large,0.66,100,7,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,100,7,0.0,hellaswag
0,ai21_j2-grande,0.82,100,8,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.82,100,8,0.6666666666666666,hellaswag
2,ai21_j2-large,0.77,100,8,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,100,8,0.0,hellaswag
0,ai21_j2-grande,0.77,100,9,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.78,100,9,1.0,hellaswag
2,ai21_j2-large,0.72,100,9,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,100,9,0.0,hellaswag
0,ai21_j2-grande,0.7633333333333333,3000,0,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.773,3000,0,1.0,hellaswag
2,ai21_j2-large,0.7113333333333334,3000,0,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,3000,0,0.0,hellaswag
0,ai21_j2-grande,0.7806666666666666,3000,1,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.793,3000,1,1.0,hellaswag
2,ai21_j2-large,0.7386666666666667,3000,1,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,3000,1,0.0,hellaswag
0,ai21_j2-grande,0.7823333333333333,3000,2,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.787,3000,2,1.0,hellaswag
2,ai21_j2-large,0.7323333333333333,3000,2,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,3000,2,0.0,hellaswag
0,ai21_j2-grande,0.7643333333333333,3000,3,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.7773333333333333,3000,3,1.0,hellaswag
2,ai21_j2-large,0.7183333333333334,3000,3,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,3000,3,0.0,hellaswag
0,ai21_j2-grande,0.78,3000,4,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.7853333333333333,3000,4,1.0,hellaswag
2,ai21_j2-large,0.7256666666666667,3000,4,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,3000,4,0.0,hellaswag
0,ai21_j2-grande,0.7686666666666667,3000,5,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.7816666666666666,3000,5,1.0,hellaswag
2,ai21_j2-large,0.711,3000,5,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,3000,5,0.0,hellaswag
0,ai21_j2-grande,0.783,3000,6,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.792,3000,6,1.0,hellaswag
2,ai21_j2-large,0.7356666666666667,3000,6,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,3000,6,0.0,hellaswag
0,ai21_j2-grande,0.7726666666666666,3000,7,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.781,3000,7,1.0,hellaswag
2,ai21_j2-large,0.7193333333333334,3000,7,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,3000,7,0.0,hellaswag
0,ai21_j2-grande,0.7776666666666666,3000,8,1.0,hellaswag
1,ai21_j2-jumbo,0.7766666666666666,3000,8,0.6666666666666666,hellaswag
2,ai21_j2-large,0.7273333333333334,3000,8,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,3000,8,0.0,hellaswag
0,ai21_j2-grande,0.797,3000,9,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.7993333333333333,3000,9,1.0,hellaswag
2,ai21_j2-large,0.7483333333333333,3000,9,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,3000,9,0.0,hellaswag
0,ai21_j2-grande,0.7,50,0,0.3333333333333333,hellaswag
1,ai21_j2-jumbo,0.72,50,0,0.6666666666666666,hellaswag
2,ai21_j2-large,0.72,50,0,0.6666666666666666,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,50,0,0.0,hellaswag
0,ai21_j2-grande,0.74,50,1,1.0,hellaswag
1,ai21_j2-jumbo,0.72,50,1,0.6666666666666666,hellaswag
2,ai21_j2-large,0.68,50,1,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,50,1,0.0,hellaswag
0,ai21_j2-grande,0.74,50,2,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.78,50,2,1.0,hellaswag
2,ai21_j2-large,0.68,50,2,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,50,2,0.0,hellaswag
0,ai21_j2-grande,0.76,50,3,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.84,50,3,1.0,hellaswag
2,ai21_j2-large,0.74,50,3,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,50,3,0.0,hellaswag
0,ai21_j2-grande,0.86,50,4,0.3333333333333333,hellaswag
1,ai21_j2-jumbo,0.92,50,4,1.0,hellaswag
2,ai21_j2-large,0.86,50,4,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,50,4,0.0,hellaswag
0,ai21_j2-grande,0.78,50,5,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.78,50,5,0.6666666666666666,hellaswag
2,ai21_j2-large,0.64,50,5,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,50,5,0.0,hellaswag
0,ai21_j2-grande,0.88,50,6,1.0,hellaswag
1,ai21_j2-jumbo,0.82,50,6,0.6666666666666666,hellaswag
2,ai21_j2-large,0.8,50,6,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,50,6,0.0,hellaswag
0,ai21_j2-grande,0.72,50,7,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.72,50,7,0.6666666666666666,hellaswag
2,ai21_j2-large,0.7,50,7,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,50,7,0.0,hellaswag
0,ai21_j2-grande,0.7,50,8,1.0,hellaswag
1,ai21_j2-jumbo,0.68,50,8,0.6666666666666666,hellaswag
2,ai21_j2-large,0.64,50,8,0.3333333333333333,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,50,8,0.0,hellaswag
0,ai21_j2-grande,0.82,50,9,1.0,hellaswag
1,ai21_j2-jumbo,0.78,50,9,0.3333333333333333,hellaswag
2,ai21_j2-large,0.8,50,9,0.6666666666666666,hellaswag
3,together_redpajama-incite-base-3b-v1,0.25,50,9,0.0,hellaswag
0,ai21_j2-grande,0.784,500,0,0.6666666666666666,hellaswag
1,ai21_j2-jumbo,0.792,500,0,1.0,hellaswag
