,model,balanced_score,n_samples,trial_num,win_rate,scenario
0,ai21_j2-grande,0.52,50,0,0.5,mmlu
1,ai21_j2-jumbo,0.6,50,0,0.6666666666666666,mmlu
2,ai21_j2-large,0.3,50,0,0.16666666666666666,mmlu
3,openai_gpt-3.5-turbo-0301,0.6,50,0,0.6666666666666666,mmlu
4,together_redpajama-incite-base-3b-v1,0.2272727272727272,50,0,0.0,mmlu
5,writer_palmyra-instruct-30,0.4,50,0,0.3333333333333333,mmlu
6,writer_palmyra-x,0.64,50,0,1.0,mmlu
0,ai21_j2-grande,0.62,50,1,0.6666666666666666,mmlu
1,ai21_j2-jumbo,0.52,50,1,0.3333333333333333,mmlu
2,ai21_j2-large,0.4,50,1,0.16666666666666666,mmlu
3,openai_gpt-3.5-turbo-0301,0.7,50,1,1.0,mmlu
4,together_redpajama-incite-base-3b-v1,0.0769230769230769,50,1,0.0,mmlu
5,writer_palmyra-instruct-30,0.54,50,1,0.5,mmlu
6,writer_palmyra-x,0.66,50,1,0.8333333333333334,mmlu
0,ai21_j2-grande,0.46,50,2,0.5,mmlu
1,ai21_j2-jumbo,0.54,50,2,0.8333333333333334,mmlu
2,ai21_j2-large,0.3,50,2,0.0,mmlu
3,openai_gpt-3.5-turbo-0301,0.52,50,2,0.6666666666666666,mmlu
4,together_redpajama-incite-base-3b-v1,0.3333333333333333,50,2,0.16666666666666666,mmlu
5,writer_palmyra-instruct-30,0.42,50,2,0.3333333333333333,mmlu
6,writer_palmyra-x,0.66,50,2,1.0,mmlu
0,ai21_j2-grande,0.56,50,3,0.6666666666666666,mmlu
1,ai21_j2-jumbo,0.5,50,3,0.5,mmlu
2,ai21_j2-large,0.32,50,3,0.16666666666666666,mmlu
3,openai_gpt-3.5-turbo-0301,0.6,50,3,0.8333333333333334,mmlu
4,together_redpajama-incite-base-3b-v1,0.25,50,3,0.0,mmlu
5,writer_palmyra-instruct-30,0.38,50,3,0.3333333333333333,mmlu
6,writer_palmyra-x,0.62,50,3,1.0,mmlu
0,ai21_j2-grande,0.56,50,4,0.5,mmlu
1,ai21_j2-jumbo,0.56,50,4,0.5,mmlu
2,ai21_j2-large,0.32,50,4,0.16666666666666666,mmlu
3,openai_gpt-3.5-turbo-0301,0.76,50,4,1.0,mmlu
4,together_redpajama-incite-base-3b-v1,0.1538461538461538,50,4,0.0,mmlu
5,writer_palmyra-instruct-30,0.5,50,4,0.3333333333333333,mmlu
6,writer_palmyra-x,0.7,50,4,0.8333333333333334,mmlu
0,ai21_j2-grande,0.54,50,5,0.6666666666666666,mmlu
1,ai21_j2-jumbo,0.48,50,5,0.3333333333333333,mmlu
2,ai21_j2-large,0.48,50,5,0.3333333333333333,mmlu
3,openai_gpt-3.5-turbo-0301,0.58,50,5,1.0,mmlu
4,together_redpajama-incite-base-3b-v1,0.3846153846153846,50,5,0.0,mmlu
5,writer_palmyra-instruct-30,0.46,50,5,0.16666666666666666,mmlu
6,writer_palmyra-x,0.56,50,5,0.8333333333333334,mmlu
0,ai21_j2-grande,0.48,50,6,0.6666666666666666,mmlu
1,ai21_j2-jumbo,0.46,50,6,0.5,mmlu
2,ai21_j2-large,0.28,50,6,0.16666666666666666,mmlu
3,openai_gpt-3.5-turbo-0301,0.64,50,6,1.0,mmlu
4,together_redpajama-incite-base-3b-v1,0.2352941176470588,50,6,0.0,mmlu
5,writer_palmyra-instruct-30,0.42,50,6,0.3333333333333333,mmlu
6,writer_palmyra-x,0.56,50,6,0.8333333333333334,mmlu
0,ai21_j2-grande,0.56,50,7,0.5,mmlu
1,ai21_j2-jumbo,0.58,50,7,0.6666666666666666,mmlu
2,ai21_j2-large,0.48,50,7,0.3333333333333333,mmlu
3,openai_gpt-3.5-turbo-0301,0.74,50,7,1.0,mmlu
4,together_redpajama-incite-base-3b-v1,0.3529411764705882,50,7,0.0,mmlu
5,writer_palmyra-instruct-30,0.46,50,7,0.16666666666666666,mmlu
6,writer_palmyra-x,0.68,50,7,0.8333333333333334,mmlu
0,ai21_j2-grande,0.42,50,8,0.5,mmlu
1,ai21_j2-jumbo,0.42,50,8,0.5,mmlu
2,ai21_j2-large,0.3,50,8,0.0,mmlu
3,openai_gpt-3.5-turbo-0301,0.6,50,8,0.8333333333333334,mmlu
4,together_redpajama-incite-base-3b-v1,0.3684210526315789,50,8,0.16666666666666666,mmlu
5,writer_palmyra-instruct-30,0.4,50,8,0.3333333333333333,mmlu
6,writer_palmyra-x,0.64,50,8,1.0,mmlu
0,ai21_j2-grande,0.62,50,9,0.8333333333333334,mmlu
1,ai21_j2-jumbo,0.5,50,9,0.5,mmlu
2,ai21_j2-large,0.34,50,9,0.0,mmlu
3,openai_gpt-3.5-turbo-0301,0.6,50,9,0.6666666666666666,mmlu
4,together_redpajama-incite-base-3b-v1,0.3571428571428571,50,9,0.16666666666666666,mmlu
5,writer_palmyra-instruct-30,0.46,50,9,0.3333333333333333,mmlu
6,writer_palmyra-x,0.66,50,9,1.0,mmlu
0,ai21_j2-grande,0.4333333333333333,150,0,0.6666666666666666,mmlu
1,ai21_j2-jumbo,0.4066666666666667,150,0,0.5,mmlu
2,ai21_j2-large,0.3333333333333333,150,0,0.16666666666666666,mmlu
3,openai_gpt-3.5-turbo-0301,0.64,150,0,1.0,mmlu
4,together_redpajama-incite-base-3b-v1,0.2698412698412698,150,0,0.0,mmlu
5,writer_palmyra-instruct-30,0.3666666666666666,150,0,0.3333333333333333,mmlu
6,writer_palmyra-x,0.6066666666666667,150,0,0.8333333333333334,mmlu
0,ai21_j2-grande,0.4666666666666667,150,1,0.6666666666666666,mmlu
1,ai21_j2-jumbo,0.4266666666666667,150,1,0.5,mmlu
2,ai21_j2-large,0.3733333333333333,150,1,0.16666666666666666,mmlu
3,openai_gpt-3.5-turbo-0301,0.5733333333333334,150,1,1.0,mmlu
4,together_redpajama-incite-base-3b-v1,0.2741935483870967,150,1,0.0,mmlu
5,writer_palmyra-instruct-30,0.3866666666666666,150,1,0.3333333333333333,mmlu
6,writer_palmyra-x,0.5466666666666666,150,1,0.8333333333333334,mmlu
0,ai21_j2-grande,0.42,150,2,0.5,mmlu
1,ai21_j2-jumbo,0.46,150,2,0.6666666666666666,mmlu
2,ai21_j2-large,0.34,150,2,0.16666666666666666,mmlu
3,openai_gpt-3.5-turbo-0301,0.52,150,2,0.8333333333333334,mmlu
4,together_redpajama-incite-base-3b-v1,0.1914893617021276,150,2,0.0,mmlu
5,writer_palmyra-instruct-30,0.4066666666666667,150,2,0.3333333333333333,mmlu
6,writer_palmyra-x,0.5666666666666667,150,2,1.0,mmlu
0,ai21_j2-grande,0.5533333333333333,150,3,0.6666666666666666,mmlu
1,ai21_j2-jumbo,0.5333333333333333,150,3,0.5,mmlu
2,ai21_j2-large,0.38,150,3,0.16666666666666666,mmlu
3,openai_gpt-3.5-turbo-0301,0.58,150,3,0.8333333333333334,mmlu
4,together_redpajama-incite-base-3b-v1,0.2033898305084746,150,3,0.0,mmlu
5,writer_palmyra-instruct-30,0.46,150,3,0.3333333333333333,mmlu
6,writer_palmyra-x,0.6,150,3,1.0,mmlu
0,ai21_j2-grande,0.4266666666666667,150,4,0.3333333333333333,mmlu
1,ai21_j2-jumbo,0.46,150,4,0.6666666666666666,mmlu
2,ai21_j2-large,0.3066666666666666,150,4,0.16666666666666666,mmlu
3,openai_gpt-3.5-turbo-0301,0.5933333333333334,150,4,1.0,mmlu
4,together_redpajama-incite-base-3b-v1,0.22,150,4,0.0,mmlu
5,writer_palmyra-instruct-30,0.4466666666666666,150,4,0.5,mmlu
6,writer_palmyra-x,0.58,150,4,0.8333333333333334,mmlu
0,ai21_j2-grande,0.4333333333333333,150,5,0.6666666666666666,mmlu
1,ai21_j2-jumbo,0.4133333333333333,150,5,0.5,mmlu
2,ai21_j2-large,0.3933333333333333,150,5,0.3333333333333333,mmlu
3,openai_gpt-3.5-turbo-0301,0.5133333333333333,150,5,0.8333333333333334,mmlu
4,together_redpajama-incite-base-3b-v1,0.2765957446808511,150,5,0.0,mmlu
5,writer_palmyra-instruct-30,0.3733333333333333,150,5,0.16666666666666666,mmlu
6,writer_palmyra-x,0.56,150,5,1.0,mmlu
0,ai21_j2-grande,0.4733333333333333,150,6,0.6666666666666666,mmlu
