,model,balanced_score,n_samples,trial_num,win_rate,scenario
0,ai21_j2-grande,0.6400816852236823,30000,0,0.5,natural_qa:mode=openbook
1,ai21_j2-jumbo,0.6719891781058455,30000,0,0.6666666666666666,natural_qa:mode=openbook
2,ai21_j2-large,0.5904599089546189,30000,0,0.16666666666666666,natural_qa:mode=openbook
3,openai_gpt-3.5-turbo-0301,0.6379334175241959,30000,0,0.3333333333333333,natural_qa:mode=openbook
4,together_redpajama-incite-base-3b-v1,0.5118957944517647,30000,0,0.0,natural_qa:mode=openbook
5,writer_palmyra-instruct-30,0.6830252443911804,30000,0,0.8333333333333334,natural_qa:mode=openbook
6,writer_palmyra-x,0.7920338170903507,30000,0,1.0,natural_qa:mode=openbook
0,ai21_j2-grande,0.638088679290736,30000,1,0.3333333333333333,natural_qa:mode=openbook
1,ai21_j2-jumbo,0.6679847407139778,30000,1,0.6666666666666666,natural_qa:mode=openbook
2,ai21_j2-large,0.5896026597912756,30000,1,0.16666666666666666,natural_qa:mode=openbook
3,openai_gpt-3.5-turbo-0301,0.639062277428582,30000,1,0.5,natural_qa:mode=openbook
4,together_redpajama-incite-base-3b-v1,0.5267010089078229,30000,1,0.0,natural_qa:mode=openbook
5,writer_palmyra-instruct-30,0.6835475584257283,30000,1,0.8333333333333334,natural_qa:mode=openbook
6,writer_palmyra-x,0.7911508799510646,30000,1,1.0,natural_qa:mode=openbook
0,ai21_j2-grande,0.6388015840448412,30000,2,0.5,natural_qa:mode=openbook
1,ai21_j2-jumbo,0.6688790307389595,30000,2,0.6666666666666666,natural_qa:mode=openbook
2,ai21_j2-large,0.5897650251397126,30000,2,0.16666666666666666,natural_qa:mode=openbook
3,openai_gpt-3.5-turbo-0301,0.6339722274525471,30000,2,0.3333333333333333,natural_qa:mode=openbook
4,together_redpajama-incite-base-3b-v1,0.5218733164711933,30000,2,0.0,natural_qa:mode=openbook
5,writer_palmyra-instruct-30,0.6819204270599428,30000,2,0.8333333333333334,natural_qa:mode=openbook
6,writer_palmyra-x,0.7879401600191365,30000,2,1.0,natural_qa:mode=openbook
0,ai21_j2-grande,0.6433649282092638,30000,3,0.5,natural_qa:mode=openbook
1,ai21_j2-jumbo,0.6721722422540142,30000,3,0.6666666666666666,natural_qa:mode=openbook
2,ai21_j2-large,0.5906100271080238,30000,3,0.16666666666666666,natural_qa:mode=openbook
3,openai_gpt-3.5-turbo-0301,0.637690796945906,30000,3,0.3333333333333333,natural_qa:mode=openbook
4,together_redpajama-incite-base-3b-v1,0.5232747477361361,30000,3,0.0,natural_qa:mode=openbook
5,writer_palmyra-instruct-30,0.6825371870355557,30000,3,0.8333333333333334,natural_qa:mode=openbook
6,writer_palmyra-x,0.7913510934349588,30000,3,1.0,natural_qa:mode=openbook
0,ai21_j2-grande,0.6382428178252489,30000,4,0.5,natural_qa:mode=openbook
1,ai21_j2-jumbo,0.6675744984576879,30000,4,0.6666666666666666,natural_qa:mode=openbook
2,ai21_j2-large,0.5866892446109058,30000,4,0.16666666666666666,natural_qa:mode=openbook
3,openai_gpt-3.5-turbo-0301,0.637050042839316,30000,4,0.3333333333333333,natural_qa:mode=openbook
4,together_redpajama-incite-base-3b-v1,0.5252213720301852,30000,4,0.0,natural_qa:mode=openbook
5,writer_palmyra-instruct-30,0.6807814631873031,30000,4,0.8333333333333334,natural_qa:mode=openbook
6,writer_palmyra-x,0.7846254223621353,30000,4,1.0,natural_qa:mode=openbook
0,ai21_j2-grande,0.6394522820088492,30000,5,0.5,natural_qa:mode=openbook
1,ai21_j2-jumbo,0.6712788988910255,30000,5,0.6666666666666666,natural_qa:mode=openbook
2,ai21_j2-large,0.5920479282841136,30000,5,0.16666666666666666,natural_qa:mode=openbook
