,model,balanced_score,n_samples,trial_num,win_rate,scenario
0,ai21_j2-grande,0.3955576475115505,20000,0,0.3333333333333333,quac
1,ai21_j2-jumbo,0.4208351470044277,20000,0,0.5,quac
2,ai21_j2-large,0.3725369386028135,20000,0,0.16666666666666666,quac
3,openai_gpt-3.5-turbo-0301,0.4397690106464026,20000,0,0.8333333333333334,quac
4,together_redpajama-incite-base-3b-v1,0.3148726424170125,20000,0,0.0,quac
5,writer_palmyra-instruct-30,0.4235307087027326,20000,0,0.6666666666666666,quac
6,writer_palmyra-x,0.4928178497734519,20000,0,1.0,quac
0,ai21_j2-grande,0.3977931615044628,20000,1,0.3333333333333333,quac
1,ai21_j2-jumbo,0.4232396693327773,20000,1,0.6666666666666666,quac
2,ai21_j2-large,0.3690185163802569,20000,1,0.16666666666666666,quac
3,openai_gpt-3.5-turbo-0301,0.4382040926046093,20000,1,0.8333333333333334,quac
4,together_redpajama-incite-base-3b-v1,0.3042593972822447,20000,1,0.0,quac
5,writer_palmyra-instruct-30,0.4228455215135553,20000,1,0.5,quac
6,writer_palmyra-x,0.4971522928080899,20000,1,1.0,quac
0,ai21_j2-grande,0.3911678801136302,20000,2,0.3333333333333333,quac
1,ai21_j2-jumbo,0.4229607107489019,20000,2,0.6666666666666666,quac
2,ai21_j2-large,0.3688027705419345,20000,2,0.16666666666666666,quac
3,openai_gpt-3.5-turbo-0301,0.4397057588948512,20000,2,0.8333333333333334,quac
4,together_redpajama-incite-base-3b-v1,0.3046932019406119,20000,2,0.0,quac
5,writer_palmyra-instruct-30,0.4185633929469095,20000,2,0.5,quac
6,writer_palmyra-x,0.4978219101433457,20000,2,1.0,quac
0,ai21_j2-grande,0.3937133590146156,20000,3,0.3333333333333333,quac
1,ai21_j2-jumbo,0.4238960389395738,20000,3,0.6666666666666666,quac
2,ai21_j2-large,0.3676244401480155,20000,3,0.16666666666666666,quac
3,openai_gpt-3.5-turbo-0301,0.4416208435379725,20000,3,0.8333333333333334,quac
4,together_redpajama-incite-base-3b-v1,0.3087528271083894,20000,3,0.0,quac
5,writer_palmyra-instruct-30,0.4209480604952445,20000,3,0.5,quac
6,writer_palmyra-x,0.4990166725162523,20000,3,1.0,quac
0,ai21_j2-grande,0.3944572887256544,20000,4,0.3333333333333333,quac
1,ai21_j2-jumbo,0.4218303006883069,20000,4,0.6666666666666666,quac
2,ai21_j2-large,0.3694061187502155,20000,4,0.16666666666666666,quac
3,openai_gpt-3.5-turbo-0301,0.4365195277961334,20000,4,0.8333333333333334,quac
4,together_redpajama-incite-base-3b-v1,0.3026962825825503,20000,4,0.0,quac
5,writer_palmyra-instruct-30,0.4214646912105488,20000,4,0.5,quac
6,writer_palmyra-x,0.4945165603587409,20000,4,1.0,quac
0,ai21_j2-grande,0.3901146034906177,20000,5,0.3333333333333333,quac
1,ai21_j2-jumbo,0.4240291762941087,20000,5,0.6666666666666666,quac
2,ai21_j2-large,0.3683279113929218,20000,5,0.16666666666666666,quac
3,openai_gpt-3.5-turbo-0301,0.4379073943123817,20000,5,0.8333333333333334,quac
4,together_redpajama-incite-base-3b-v1,0.3088143554073573,20000,5,0.0,quac
5,writer_palmyra-instruct-30,0.4180508269285302,20000,5,0.5,quac
6,writer_palmyra-x,0.4962956416435298,20000,5,1.0,quac
0,ai21_j2-grande,0.3895064444462959,20000,6,0.3333333333333333,quac
1,ai21_j2-jumbo,0.419836957210553,20000,6,0.6666666666666666,quac
2,ai21_j2-large,0.3656646159643527,20000,6,0.16666666666666666,quac
3,openai_gpt-3.5-turbo-0301,0.436311072507796,20000,6,0.8333333333333334,quac
4,together_redpajama-incite-base-3b-v1,0.3070856860427041,20000,6,0.0,quac
5,writer_palmyra-instruct-30,0.4167496554354015,20000,6,0.5,quac
6,writer_palmyra-x,0.4973541719243816,20000,6,1.0,quac
0,ai21_j2-grande,0.3883151729756574,20000,7,0.3333333333333333,quac
1,ai21_j2-jumbo,0.4188832435447882,20000,7,0.5,quac
2,ai21_j2-large,0.3611407066360292,20000,7,0.16666666666666666,quac
3,openai_gpt-3.5-turbo-0301,0.4369794723808256,20000,7,0.8333333333333334,quac
4,together_redpajama-incite-base-3b-v1,0.3105306776568091,20000,7,0.0,quac
5,writer_palmyra-instruct-30,0.4230329009192449,20000,7,0.6666666666666666,quac
6,writer_palmyra-x,0.4976100591329414,20000,7,1.0,quac
0,ai21_j2-grande,0.3894974478923636,20000,8,0.3333333333333333,quac
1,ai21_j2-jumbo,0.4185589421331295,20000,8,0.6666666666666666,quac
2,ai21_j2-large,0.3648697503561935,20000,8,0.16666666666666666,quac
3,openai_gpt-3.5-turbo-0301,0.4342042182727262,20000,8,0.8333333333333334,quac
4,together_redpajama-incite-base-3b-v1,0.303982866300035,20000,8,0.0,quac
5,writer_palmyra-instruct-30,0.4180094704411586,20000,8,0.5,quac
6,writer_palmyra-x,0.4950445843827503,20000,8,1.0,quac
0,ai21_j2-grande,0.3907794401710374,20000,9,0.3333333333333333,quac
1,ai21_j2-jumbo,0.4204770106604442,20000,9,0.6666666666666666,quac
2,ai21_j2-large,0.3630444433545503,20000,9,0.16666666666666666,quac
3,openai_gpt-3.5-turbo-0301,0.4378097788479629,20000,9,0.8333333333333334,quac
4,together_redpajama-incite-base-3b-v1,0.3135125492016783,20000,9,0.0,quac
5,writer_palmyra-instruct-30,0.4161641958960266,20000,9,0.5,quac
6,writer_palmyra-x,0.4966478041453829,20000,9,1.0,quac
0,ai21_j2-grande,0.398766303682704,10000,0,0.3333333333333333,quac
1,ai21_j2-jumbo,0.4275880914644389,10000,0,0.6666666666666666,quac
2,ai21_j2-large,0.3742811054864361,10000,0,0.16666666666666666,quac
3,openai_gpt-3.5-turbo-0301,0.4428369310263887,10000,0,0.8333333333333334,quac
4,together_redpajama-incite-base-3b-v1,0.3110197696150515,10000,0,0.0,quac
5,writer_palmyra-instruct-30,0.4263424632791193,10000,0,0.5,quac
6,writer_palmyra-x,0.4980152004548688,10000,0,1.0,quac
0,ai21_j2-grande,0.3930588467951384,10000,1,0.3333333333333333,quac
1,ai21_j2-jumbo,0.4239022521542843,10000,1,0.6666666666666666,quac
2,ai21_j2-large,0.3678303164588053,10000,1,0.16666666666666666,quac
3,openai_gpt-3.5-turbo-0301,0.4348620976876089,10000,1,0.8333333333333334,quac
4,together_redpajama-incite-base-3b-v1,0.3102643817197396,10000,1,0.0,quac
5,writer_palmyra-instruct-30,0.4143420151697188,10000,1,0.5,quac
6,writer_palmyra-x,0.4965551446116104,10000,1,1.0,quac
0,ai21_j2-grande,0.3891349998894834,10000,2,0.3333333333333333,quac
1,ai21_j2-jumbo,0.4203764683395558,10000,2,0.5,quac
2,ai21_j2-large,0.3658502986686779,10000,2,0.16666666666666666,quac
3,openai_gpt-3.5-turbo-0301,0.4312231115337261,10000,2,0.8333333333333334,quac
4,together_redpajama-incite-base-3b-v1,0.299481809971826,10000,2,0.0,quac
5,writer_palmyra-instruct-30,0.4238155425612291,10000,2,0.6666666666666666,quac
6,writer_palmyra-x,0.4920625909789426,10000,2,1.0,quac
0,ai21_j2-grande,0.3900929421979364,10000,3,0.3333333333333333,quac
1,ai21_j2-jumbo,0.4171972241815693,10000,3,0.5,quac
2,ai21_j2-large,0.3683688856450819,10000,3,0.16666666666666666,quac
3,openai_gpt-3.5-turbo-0301,0.4319924239625722,10000,3,0.8333333333333334,quac
4,together_redpajama-incite-base-3b-v1,0.3068069343126243,10000,3,0.0,quac
5,writer_palmyra-instruct-30,0.4180651114399265,10000,3,0.6666666666666666,quac
6,writer_palmyra-x,0.498018612743987,10000,3,1.0,quac
0,ai21_j2-grande,0.3975227825803208,10000,4,0.3333333333333333,quac
1,ai21_j2-jumbo,0.4218606312739799,10000,4,0.5,quac
2,ai21_j2-large,0.3642959131643294,10000,4,0.16666666666666666,quac
3,openai_gpt-3.5-turbo-0301,0.4374155545455844,10000,4,0.8333333333333334,quac
4,together_redpajama-incite-base-3b-v1,0.3083184707073848,10000,4,0.0,quac
5,writer_palmyra-instruct-30,0.4245482408318197,10000,4,0.6666666666666666,quac
6,writer_palmyra-x,0.4956393782043213,10000,4,1.0,quac
0,ai21_j2-grande,0.3977579768792381,10000,5,0.3333333333333333,quac
1,ai21_j2-jumbo,0.4267978450582554,10000,5,0.6666666666666666,quac
