,model,balanced_score,n_samples,trial_num,win_rate,scenario
0,ai21_j2-grande,0.7155,4000,0,0.6666666666666666,raft
1,ai21_j2-jumbo,0.7425,4000,0,0.8333333333333334,raft
2,ai21_j2-large,0.6195,4000,0,0.16666666666666666,raft
3,openai_gpt-3.5-turbo-0301,0.77675,4000,0,1.0,raft
4,together_redpajama-incite-base-3b-v1,0.5239456754824875,4000,0,0.0,raft
5,writer_palmyra-instruct-30,0.63775,4000,0,0.3333333333333333,raft
6,writer_palmyra-x,0.70275,4000,0,0.5,raft
0,ai21_j2-grande,0.70325,4000,1,0.6666666666666666,raft
1,ai21_j2-jumbo,0.74925,4000,1,0.8333333333333334,raft
2,ai21_j2-large,0.6105,4000,1,0.16666666666666666,raft
3,openai_gpt-3.5-turbo-0301,0.77475,4000,1,1.0,raft
4,together_redpajama-incite-base-3b-v1,0.5036231884057971,4000,1,0.0,raft
5,writer_palmyra-instruct-30,0.66175,4000,1,0.3333333333333333,raft
6,writer_palmyra-x,0.6895,4000,1,0.5,raft
0,ai21_j2-grande,0.6985,4000,2,0.6666666666666666,raft
1,ai21_j2-jumbo,0.742,4000,2,0.8333333333333334,raft
2,ai21_j2-large,0.6245,4000,2,0.16666666666666666,raft
3,openai_gpt-3.5-turbo-0301,0.7715,4000,2,1.0,raft
4,together_redpajama-incite-base-3b-v1,0.4781319495922906,4000,2,0.0,raft
5,writer_palmyra-instruct-30,0.646,4000,2,0.3333333333333333,raft
6,writer_palmyra-x,0.685,4000,2,0.5,raft
0,ai21_j2-grande,0.71175,4000,3,0.6666666666666666,raft
1,ai21_j2-jumbo,0.7575,4000,3,0.8333333333333334,raft
2,ai21_j2-large,0.636,4000,3,0.16666666666666666,raft
3,openai_gpt-3.5-turbo-0301,0.77575,4000,3,1.0,raft
4,together_redpajama-incite-base-3b-v1,0.5011583011583012,4000,3,0.0,raft
5,writer_palmyra-instruct-30,0.644,4000,3,0.3333333333333333,raft
6,writer_palmyra-x,0.7015,4000,3,0.5,raft
0,ai21_j2-grande,0.71275,4000,4,0.6666666666666666,raft
1,ai21_j2-jumbo,0.73975,4000,4,0.8333333333333334,raft
2,ai21_j2-large,0.6175,4000,4,0.16666666666666666,raft
3,openai_gpt-3.5-turbo-0301,0.784,4000,4,1.0,raft
4,together_redpajama-incite-base-3b-v1,0.5119047619047619,4000,4,0.0,raft
5,writer_palmyra-instruct-30,0.64725,4000,4,0.3333333333333333,raft
6,writer_palmyra-x,0.702,4000,4,0.5,raft
0,ai21_j2-grande,0.7085,4000,5,0.6666666666666666,raft
1,ai21_j2-jumbo,0.74925,4000,5,0.8333333333333334,raft
2,ai21_j2-large,0.62225,4000,5,0.16666666666666666,raft
3,openai_gpt-3.5-turbo-0301,0.795,4000,5,1.0,raft
4,together_redpajama-incite-base-3b-v1,0.4970457902511078,4000,5,0.0,raft
5,writer_palmyra-instruct-30,0.662,4000,5,0.3333333333333333,raft
6,writer_palmyra-x,0.70375,4000,5,0.5,raft
0,ai21_j2-grande,0.7035,4000,6,0.6666666666666666,raft
1,ai21_j2-jumbo,0.74675,4000,6,0.8333333333333334,raft
2,ai21_j2-large,0.6175,4000,6,0.16666666666666666,raft
3,openai_gpt-3.5-turbo-0301,0.78175,4000,6,1.0,raft
4,together_redpajama-incite-base-3b-v1,0.4943481537302185,4000,6,0.0,raft
5,writer_palmyra-instruct-30,0.64675,4000,6,0.3333333333333333,raft
6,writer_palmyra-x,0.69875,4000,6,0.5,raft
0,ai21_j2-grande,0.71625,4000,7,0.6666666666666666,raft
1,ai21_j2-jumbo,0.75,4000,7,0.8333333333333334,raft
2,ai21_j2-large,0.6265,4000,7,0.16666666666666666,raft
3,openai_gpt-3.5-turbo-0301,0.77875,4000,7,1.0,raft
4,together_redpajama-incite-base-3b-v1,0.5011086474501109,4000,7,0.0,raft
