"split","aAcc","fAcc","qAcc"
"Overall","54.25867507886435","26.300578034682083","22.857142857142858"
"VS","54.166666666666664","22.413793103448278","24.719101123595504"
"VD","54.314720812182735","28.26086956521739","21.660649819494584"
"VS_table","60.71428571428571","17.857142857142858","32.55813953488372"
"VD_video","43.529411764705884","6.25","5.797101449275362"
"VD_figure","66.25","48.78048780487805","35.8974358974359"
"VD_illusion","43.75","22.58064516129032","6.944444444444445"
"VS_ocr","55.55555555555556","34.61538461538461","14.814814814814813"
"VS_chart","50.76923076923077","20.0","30.263157894736842"
"VD_math","62.03703703703704","27.77777777777778","35.18518518518518"
"VD_ocr","71.91011235955057","41.86046511627907","41.86046511627907"
"VS_map","48.4375","18.181818181818183","9.375"
