"split","aAcc","fAcc","qAcc"
"Overall","63.30178759200841","29.47976878612717","33.84615384615385"
"VS","68.33333333333333","29.310344827586203","44.38202247191011"
"VD","60.236886632825716","29.565217391304348","27.075812274368232"
"VS_ocr","62.96296296296296","30.76923076923077","25.925925925925924"
"VS_table","71.42857142857143","32.142857142857146","53.48837209302325"
"VD_video","47.647058823529406","6.25","5.797101449275362"
"VD_math","61.111111111111114","25.0","33.33333333333333"
"VD_illusion","62.5","30.64516129032258","27.77777777777778"
"VD_ocr","76.40449438202246","55.81395348837209","53.48837209302325"
"VD_figure","63.74999999999999","31.70731707317073","25.64102564102564"
"VS_chart","71.53846153846153","30.0","55.26315789473685"
"VS_map","60.9375","22.727272727272727","21.875"
