"split","aAcc","fAcc","qAcc"
"Overall","62.56572029442692","34.104046242774565","36.7032967032967"
"VD","58.544839255499156","34.34782608695652","29.96389891696751"
"VS","69.16666666666667","33.62068965517241","47.19101123595505"
"VS_table","74.10714285714286","32.142857142857146","55.81395348837209"
"VS_map","59.375","31.818181818181817","18.75"
"VS_chart","74.61538461538461","35.0","63.1578947368421"
"VD_video","41.76470588235294","10.416666666666668","8.695652173913043"
"VD_illusion","61.80555555555556","37.096774193548384","29.166666666666668"
"VD_math","60.18518518518518","22.22222222222222","38.88888888888889"
"VS_ocr","57.407407407407405","34.61538461538461","22.22222222222222"
"VD_ocr","76.40449438202246","55.81395348837209","53.48837209302325"
"VD_figure","66.25","46.34146341463415","30.76923076923077"
