"split","aAcc","fAcc","qAcc"
"Overall","57.93901156677181","27.167630057803464","25.934065934065938"
"VS","57.77777777777777","17.24137931034483","28.08988764044944"
"VD","58.03722504230119","32.17391304347826","24.548736462093864"
"VD_illusion","55.55555555555556","33.87096774193548","16.666666666666664"
"VD_figure","71.25","51.21951219512195","41.02564102564102"
"VS_map","51.5625","9.090909090909092","12.5"
"VD_math","59.25925925925925","22.22222222222222","31.48148148148148"
"VS_chart","63.84615384615384","22.5","48.68421052631579"
"VS_ocr","53.70370370370371","23.076923076923077","11.11111111111111"
"VD_ocr","70.78651685393258","46.51162790697674","41.86046511627907"
"VD_video","46.470588235294116","8.333333333333332","7.246376811594203"
"VS_table","56.25","10.714285714285714","13.953488372093023"
