"split","aAcc","fAcc","qAcc"
"Overall","58.99053627760252","28.034682080924856","29.450549450549453"
"VD","55.668358714044","26.521739130434785","23.826714801444044"
"VS","64.44444444444444","31.03448275862069","38.20224719101123"
"VD_ocr","79.7752808988764","69.76744186046511","60.46511627906976"
"VD_math","57.407407407407405","16.666666666666664","31.48148148148148"
"VS_table","71.42857142857143","35.714285714285715","44.18604651162791"
"VS_map","57.8125","27.27272727272727","25.0"
"VS_ocr","51.85185185185185","23.076923076923077","14.814814814814813"
"VD_video","44.70588235294118","4.166666666666666","13.043478260869565"
"VD_illusion","52.083333333333336","20.967741935483872","12.5"
"VD_figure","56.25","24.390243902439025","12.82051282051282"
"VS_chart","66.92307692307692","35.0","48.68421052631579"
