"split","aAcc","fAcc","qAcc"
"Overall","67.50788643533123","43.0635838150289","41.098901098901095"
"VD","65.14382402707277","44.34782608695652","36.462093862815884"
"VS","71.38888888888889","40.51724137931034","48.31460674157304"
"VS_map","60.9375","27.27272727272727","28.125"
"VS_table","76.78571428571429","46.42857142857143","55.81395348837209"
"VS_chart","76.15384615384615","42.5","61.8421052631579"
"VD_ocr","79.7752808988764","60.46511627906976","60.46511627906976"
"VS_ocr","61.111111111111114","42.30769230769231","22.22222222222222"
"VD_figure","78.75","65.85365853658537","56.41025641025641"
"VD_math","56.481481481481474","22.22222222222222","27.77777777777778"
"VD_illusion","67.36111111111111","50.0","37.5"
"VD_video","54.70588235294118","20.833333333333336","15.942028985507244"
