"split","aAcc","fAcc","qAcc"
"Overall","53.20715036803365","25.43352601156069","22.857142857142858"
"VS","59.72222222222222","27.586206896551722","35.39325842696629"
"VD","49.23857868020304","24.347826086956523","14.801444043321299"
"VS_chart","57.692307692307686","20.0","44.73684210526316"
"VD_illusion","47.91666666666667","20.967741935483872","8.333333333333332"
"VD_ocr","66.29213483146067","37.2093023255814","32.55813953488372"
"VD_figure","70.0","51.21951219512195","38.46153846153847"
"VS_table","65.17857142857143","28.57142857142857","39.53488372093023"
"VS_map","51.5625","31.818181818181817","9.375"
"VS_ocr","62.96296296296296","34.61538461538461","33.33333333333333"
"VD_math","35.18518518518518","8.333333333333332","5.555555555555555"
"VD_video","40.588235294117645","6.25","4.3478260869565215"
