"split","aAcc","fAcc","qAcc"
"Overall","55.20504731861199","24.85549132947977","25.71428571428571"
"VS","58.88888888888889","23.275862068965516","35.39325842696629"
"VD","52.96108291032149","25.65217391304348","19.494584837545126"
"VD_illusion","47.91666666666667","24.193548387096776","9.722222222222223"
"VD_video","43.529411764705884","8.333333333333332","7.246376811594203"
"VS_ocr","59.25925925925925","26.923076923076923","22.22222222222222"
"VS_map","51.5625","18.181818181818183","12.5"
"VS_table","61.60714285714286","28.57142857142857","39.53488372093023"
"VD_figure","68.75","46.34146341463415","38.46153846153847"
"VD_ocr","66.29213483146067","37.2093023255814","32.55813953488372"
"VD_math","51.85185185185185","13.88888888888889","24.074074074074073"
"VS_chart","60.0","20.0","47.368421052631575"
