"split","aAcc","fAcc","qAcc"
"Overall","62.88117770767613","35.83815028901734","36.043956043956044"
"VS","69.72222222222221","37.93103448275862","48.31460674157304"
"VD","58.71404399323181","34.78260869565217","28.158844765342963"
"VD_ocr","75.28089887640449","55.81395348837209","51.162790697674424"
"VD_math","50.0","16.666666666666664","22.22222222222222"
"VS_map","57.8125","18.181818181818183","15.625"
"VS_ocr","66.66666666666666","46.15384615384615","40.74074074074074"
"VS_chart","73.07692307692307","42.5","61.8421052631579"
"VD_figure","77.5","60.97560975609756","56.41025641025641"
"VS_table","74.10714285714286","39.285714285714285","53.48837209302325"
"VD_video","47.05882352941176","6.25","5.797101449275362"
"VD_illusion","58.333333333333336","35.483870967741936","25.0"
