"split","aAcc","fAcc","qAcc"
"Overall","70.24185068349105","49.13294797687861","45.27472527472528"
"VS","76.11111111111111","53.44827586206896","55.0561797752809"
"VD","66.66666666666666","46.95652173913044","38.98916967509025"
"VD_math","68.51851851851852","47.22222222222222","42.592592592592595"
"VD_figure","78.75","65.85365853658537","56.41025641025641"
"VS_map","59.375","40.909090909090914","21.875"
"VD_video","55.294117647058826","20.833333333333336","21.73913043478261"
"VS_ocr","55.55555555555556","42.30769230769231","18.51851851851852"
"VS_table","83.03571428571429","50.0","62.7906976744186"
"VS_chart","86.92307692307692","70.0","77.63157894736842"
"VD_illusion","65.27777777777779","43.54838709677419","31.944444444444443"
"VD_ocr","77.52808988764045","62.7906976744186","58.139534883720934"
