"split","aAcc","fAcc","qAcc"
"Overall","62.9863301787592","38.72832369942196","32.08791208791209"
"VD","60.40609137055838","36.52173913043478","26.353790613718413"
"VS","67.22222222222223","43.103448275862064","41.01123595505618"
"VS_map","51.5625","36.36363636363637","12.5"
"VD_ocr","70.78651685393258","53.48837209302325","44.18604651162791"
"VS_chart","66.92307692307692","35.0","48.68421052631579"
"VD_illusion","54.166666666666664","38.70967741935484","16.666666666666664"
"VS_ocr","75.92592592592592","61.53846153846154","51.85185185185185"
"VD_math","60.18518518518518","22.22222222222222","29.629629629629626"
"VD_video","55.88235294117647","10.416666666666668","14.492753623188406"
"VS_table","72.32142857142857","42.857142857142854","41.86046511627907"
"VD_figure","70.0","58.536585365853654","41.02564102564102"
