"split","aAcc","fAcc","qAcc"
"Overall","60.56782334384858","34.39306358381503","30.10989010989011"
"VD","59.89847715736041","34.34782608695652","27.436823104693143"
"VS","61.66666666666667","34.48275862068966","34.26966292134831"
"VS_map","51.5625","31.818181818181817","12.5"
"VD_video","54.11764705882353","8.333333333333332","11.594202898550725"
"VD_ocr","69.66292134831461","51.162790697674424","41.86046511627907"
"VS_table","66.96428571428571","28.57142857142857","37.2093023255814"
"VD_figure","68.75","48.78048780487805","43.58974358974359"
"VD_math","59.25925925925925","30.555555555555557","37.03703703703704"
"VS_chart","59.23076923076923","27.500000000000004","39.473684210526315"
"VS_ocr","68.51851851851852","53.84615384615385","40.74074074074074"
"VD_illusion","56.25","35.483870967741936","18.055555555555554"
