"split","aAcc","fAcc","qAcc"
"Overall","70.24185068349105","48.84393063583815","45.05494505494506"
"VD","68.02030456852792","47.82608695652174","40.43321299638989"
"VS","73.88888888888889","50.86206896551724","52.24719101123596"
"VS_map","59.375","50.0","18.75"
"VS_table","78.57142857142857","46.42857142857143","58.139534883720934"
"VS_ocr","75.92592592592592","61.53846153846154","55.55555555555556"
"VD_video","59.411764705882355","16.666666666666664","21.73913043478261"
"VS_chart","76.15384615384615","47.5","61.8421052631579"
"VD_ocr","80.89887640449437","62.7906976744186","62.7906976744186"
"VD_figure","87.5","75.60975609756098","74.35897435897436"
"VD_math","67.5925925925926","41.66666666666667","46.2962962962963"
"VD_illusion","59.72222222222222","46.774193548387096","22.22222222222222"
