"split","aAcc","fAcc","qAcc"
"Overall","70.24185068349105","49.13294797687861","45.27472527472528"
"VS","73.33333333333333","50.0","52.80898876404494"
"VD","68.35871404399323","48.69565217391305","40.43321299638989"
"VS_table","75.0","39.285714285714285","58.139534883720934"
"VS_chart","77.6923076923077","50.0","63.1578947368421"
"VS_map","59.375","50.0","18.75"
"VS_ocr","75.92592592592592","61.53846153846154","55.55555555555556"
"VD_video","60.0","18.75","21.73913043478261"
"VD_figure","88.75","78.04878048780488","76.92307692307693"
"VD_illusion","59.72222222222222","46.774193548387096","22.22222222222222"
"VD_math","67.5925925925926","41.66666666666667","44.44444444444444"
"VD_ocr","80.89887640449437","62.7906976744186","62.7906976744186"
