"split","aAcc","fAcc","qAcc"
"Overall","68.13880126182966","43.93063583815029","45.27472527472528"
"VS","75.83333333333333","47.41379310344828","55.61797752808989"
"VD","63.45177664974619","42.173913043478265","38.628158844765345"
"VD_illusion","63.888888888888886","38.70967741935484","30.555555555555557"
"VS_chart","80.76923076923077","50.0","69.73684210526315"
"VD_ocr","82.02247191011236","67.44186046511628","67.44186046511628"
"VD_video","43.529411764705884","12.5","8.695652173913043"
"VS_ocr","68.51851851851852","42.30769230769231","40.74074074074074"
"VS_table","80.35714285714286","53.57142857142857","60.46511627906976"
"VD_figure","77.5","63.41463414634146","64.1025641025641"
"VD_math","68.51851851851852","33.33333333333333","46.2962962962963"
"VS_map","64.0625","40.909090909090914","28.125"
