"split","aAcc","fAcc","qAcc"
"Overall","70.87276550998949","49.71098265895954","49.67032967032967"
"VS","77.77777777777779","54.310344827586206","60.67415730337079"
"VD","66.66666666666666","47.391304347826086","42.59927797833935"
"VD_illusion","63.888888888888886","46.774193548387096","33.33333333333333"
"VS_ocr","72.22222222222221","57.692307692307686","44.44444444444444"
"VD_figure","86.25","73.17073170731707","71.7948717948718"
"VS_chart","82.3076923076923","60.0","72.36842105263158"
"VD_video","52.352941176470594","22.916666666666664","23.18840579710145"
"VS_table","81.25","53.57142857142857","65.11627906976744"
"VS_map","67.1875","40.909090909090914","40.625"
"VD_ocr","79.7752808988764","65.11627906976744","60.46511627906976"
"VD_math","67.5925925925926","30.555555555555557","44.44444444444444"
