"split","aAcc","fAcc","qAcc"
"Overall","62.35541535226078","36.99421965317919","33.4065934065934"
"VD","57.360406091370564","34.78260869565217","25.27075812274368"
"VS","70.55555555555556","41.37931034482759","46.06741573033708"
"VS_ocr","66.66666666666666","38.46153846153847","33.33333333333333"
"VD_video","47.647058823529406","10.416666666666668","5.797101449275362"
"VD_math","45.370370370370374","11.11111111111111","16.666666666666664"
"VS_chart","73.84615384615385","40.0","60.526315789473685"
"VD_illusion","53.47222222222222","33.87096774193548","15.277777777777779"
"VD_figure","80.0","60.97560975609756","58.97435897435898"
"VS_map","57.8125","36.36363636363637","15.625"
"VS_table","75.89285714285714","50.0","51.162790697674424"
"VD_ocr","76.40449438202246","58.139534883720934","53.48837209302325"
