"split","aAcc","fAcc","qAcc"
"Overall","70.76761303890642","45.3757225433526","47.69230769230769"
"VD","68.52791878172589","45.21739130434783","42.96028880866426"
"VS","74.44444444444444","45.689655172413794","55.0561797752809"
"VD_video","57.05882352941176","12.5","18.84057971014493"
"VS_table","78.57142857142857","46.42857142857143","62.7906976744186"
"VD_illusion","61.111111111111114","38.70967741935484","29.166666666666668"
"VS_ocr","72.22222222222221","53.84615384615385","44.44444444444444"
"VS_chart","80.0","47.5","69.73684210526315"
"VD_ocr","79.7752808988764","67.44186046511628","60.46511627906976"
"VD_figure","87.5","75.60975609756098","79.48717948717949"
"VD_math","73.14814814814815","38.88888888888889","51.85185185185185"
"VS_map","57.8125","31.818181818181817","18.75"
