"split","aAcc","fAcc","qAcc"
"Overall","61.9348054679285","36.99421965317919","33.84615384615385"
"VD","56.852791878172596","35.21739130434783","25.63176895306859"
"VS","70.27777777777777","40.51724137931034","46.62921348314607"
"VD_illusion","53.47222222222222","33.87096774193548","16.666666666666664"
"VD_video","45.294117647058826","10.416666666666668","5.797101449275362"
"VD_figure","80.0","60.97560975609756","58.97435897435898"
"VD_ocr","76.40449438202246","58.139534883720934","53.48837209302325"
"VS_ocr","66.66666666666666","38.46153846153847","33.33333333333333"
"VD_math","46.2962962962963","13.88888888888889","16.666666666666664"
"VS_map","57.8125","36.36363636363637","15.625"
"VS_table","75.0","46.42857142857143","53.48837209302325"
"VS_chart","73.84615384615385","40.0","60.526315789473685"
