"split","aAcc","fAcc","qAcc"
"Overall","63.722397476340696","39.017341040462426","38.24175824175824"
"VD","59.390862944162436","38.69565217391304","31.768953068592058"
"VS","70.83333333333334","39.6551724137931","48.31460674157304"
"VS_chart","73.07692307692307","42.5","61.8421052631579"
"VS_ocr","66.66666666666666","42.30769230769231","33.33333333333333"
"VD_figure","73.75","60.97560975609756","48.717948717948715"
"VD_math","50.92592592592593","22.22222222222222","22.22222222222222"
"VD_illusion","58.333333333333336","29.03225806451613","29.166666666666668"
"VS_table","80.35714285714286","46.42857142857143","60.46511627906976"
"VD_ocr","82.02247191011236","69.76744186046511","65.11627906976744"
"VD_video","47.05882352941176","16.666666666666664","11.594202898550725"
"VS_map","53.125","22.727272727272727","12.5"
