"split","aAcc","fAcc","qAcc"
"Overall","61.09358569926393","34.971098265895954","34.285714285714285"
"VS","70.83333333333334","39.6551724137931","50.56179775280899"
"VD","55.16074450084603","32.608695652173914","23.826714801444044"
"VD_math","42.592592592592595","13.88888888888889","14.814814814814813"
"VD_figure","73.75","58.536585365853654","48.717948717948715"
"VS_chart","80.76923076923077","47.5","72.36842105263158"
"VD_illusion","53.47222222222222","33.87096774193548","19.444444444444446"
"VS_map","62.5","36.36363636363637","28.125"
"VD_video","47.647058823529406","12.5","10.144927536231885"
"VS_table","73.21428571428571","35.714285714285715","51.162790697674424"
"VS_ocr","51.85185185185185","34.61538461538461","14.814814814814813"
"VD_ocr","70.78651685393258","44.18604651162791","41.86046511627907"
