"split","aAcc","fAcc","qAcc"
"Overall","70.97791798107255","50.86705202312138","47.69230769230769"
"VD","65.98984771573603","49.56521739130435","38.98916967509025"
"VS","79.16666666666666","53.44827586206896","61.23595505617978"
"VD_math","61.111111111111114","36.11111111111111","35.18518518518518"
"VD_ocr","80.89887640449437","62.7906976744186","60.46511627906976"
"VS_map","64.0625","45.45454545454545","28.125"
"VD_video","50.0","20.833333333333336","11.594202898550725"
"VS_chart","86.15384615384616","60.0","80.26315789473685"
"VS_table","83.92857142857143","57.14285714285714","65.11627906976744"
"VD_illusion","69.44444444444444","51.61290322580645","40.27777777777778"
"VD_figure","83.75","78.04878048780488","66.66666666666666"
"VS_ocr","70.37037037037037","46.15384615384615","40.74074074074074"
