"split","aAcc","fAcc","qAcc"
"Overall","65.29968454258676","39.884393063583815","37.582417582417584"
"VS","70.0","36.206896551724135","45.50561797752809"
"VD","62.43654822335025","41.73913043478261","32.49097472924188"
"VD_video","51.17647058823529","16.666666666666664","10.144927536231885"
"VS_map","53.125","22.727272727272727","15.625"
"VS_table","78.57142857142857","46.42857142857143","55.81395348837209"
"VD_illusion","65.97222222222221","50.0","36.11111111111111"
"VD_math","58.333333333333336","27.77777777777778","33.33333333333333"
"VD_ocr","76.40449438202246","58.139534883720934","53.48837209302325"
"VS_chart","76.92307692307693","42.5","63.1578947368421"
"VS_ocr","55.55555555555556","26.923076923076923","14.814814814814813"
"VD_figure","70.0","53.65853658536586","41.02564102564102"
