"split","aAcc","fAcc","qAcc"
"Overall","73.60672975814931","52.89017341040463","51.868131868131876"
"VD","69.37394247038917","50.43478260869565","43.32129963898917"
"VS","80.55555555555556","57.758620689655174","65.1685393258427"
"VS_ocr","77.77777777777779","65.38461538461539","55.55555555555556"
"VD_ocr","84.26966292134831","72.09302325581395","72.09302325581395"
"VS_map","64.0625","36.36363636363637","31.25"
"VD_video","57.05882352941176","25.0","21.73913043478261"
"VD_figure","81.25","68.29268292682927","61.53846153846154"
"VD_math","72.22222222222221","41.66666666666667","48.148148148148145"
"VS_table","79.46428571428571","46.42857142857143","62.7906976744186"
"VS_chart","90.76923076923077","72.5","84.21052631578947"
"VD_illusion","65.97222222222221","48.38709677419355","33.33333333333333"
