"split","aAcc","fAcc","qAcc"
"Overall","64.56361724500526","38.4393063583815","38.24175824175824"
"VD","63.113367174280874","41.30434782608695","33.57400722021661"
"VS","66.94444444444444","32.758620689655174","45.50561797752809"
"VD_math","57.407407407407405","25.0","31.48148148148148"
"VD_illusion","63.888888888888886","43.54838709677419","30.555555555555557"
"VS_ocr","59.25925925925925","42.30769230769231","25.925925925925924"
"VD_ocr","80.89887640449437","65.11627906976744","65.11627906976744"
"VS_chart","69.23076923076923","32.5","59.210526315789465"
"VD_figure","71.25","56.09756097560976","41.02564102564102"
"VS_map","64.0625","22.727272727272727","28.125"
"VS_table","69.64285714285714","32.142857142857146","46.51162790697674"
"VD_video","52.94117647058824","16.666666666666664","14.492753623188406"
