"split","aAcc","fAcc","qAcc"
"Overall","73.18611987381703","51.15606936416185","49.45054945054945"
"VS","78.33333333333333","56.896551724137936","60.67415730337079"
"VD","70.05076142131979","48.26086956521739","42.238267148014444"
"VS_chart","86.15384615384616","65.0","78.94736842105263"
"VD_video","67.64705882352942","29.166666666666668","30.434782608695656"
"VD_illusion","63.888888888888886","46.774193548387096","30.555555555555557"
"VS_table","79.46428571428571","50.0","60.46511627906976"
"VD_figure","86.25","80.48780487804879","71.7948717948718"
"VD_ocr","80.89887640449437","60.46511627906976","60.46511627906976"
"VS_ocr","74.07407407407408","61.53846153846154","48.148148148148145"
"VD_math","61.111111111111114","25.0","37.03703703703704"
"VS_map","64.0625","45.45454545454545","28.125"
